record_id,project_id,project_link,confidence,project_evidence,title
Pd79e2191e0da,2013300,possible,medium,"Project 2013300 is temporally compatible and concerns EQ-5D-5L valuation with life-duration framing, but the article gives no project ID, title, or project-specific funding statement.",Choice Defines Value: A Predictive Modeling Competition in Health Preference Research
P9f5e73c36b66,2015300,explicit,high,"Project ID 2015300 appears explicitly, and its QALY-balanced DCE-design aim and methods directly correspond to this severity-stratified DCE valuation study.",Severity-Stratified Discrete Choice Experiment Designs for Health State Evaluations
Pf53a5ee15eef,20180140,explicit,high,"The funding statement explicitly names EQ Project 20180140, which matches candidate project 20180140.",Adaptation of the Experimental Version of EQ-5D-Y-5L Into Bahasa Indonesia
Pdd3d4c609f52,1411-VS,explicit,high,"The funding statement explicitly names Grant Number 1411-VS, whose supplied candidate title exactly matches this article.",Valuing health-related quality of life: an EQ-5D-5L value set for Morocco.
P837f91603190,20180140,possible,medium,"Project 20180140 overlaps on Indonesian EQ-5D-Y-3L/-5L research and Purba, but its pediatric-patient validation focus does not specifically identify this general-population norms study.","Indonesia youth population norms for EQ-5D-Y-3 L, EQ-5D-Y-5 L and the PedsQL generic core scale: lower health related quality of life relates to high economic status and stress."
P6958d2dbffde,20180140,explicit,high,"The Funding section explicitly identifies EuroQol Group grant EQ Project 20180140, whose candidate description matches the Indonesian paediatric EQ-5D-Y 3L/5L and proxy psychometric study.",EQ-5D-Y-3L and EQ-5D-Y-5L proxy report: psychometric performance and agreement with self-report.
P9cd3ec6c2594,20180490,explicit,high,"The funding acknowledgement explicitly names EuroQol EQ Project 20180490, whose supplied title and methods match the article’s expanded cTTO EQ-5D-Y-3L valuation study.",Estimating an EQ-5D-Y-3L Value Set for Indonesia by Mapping the DCE onto TTO Values.
P5e59af1995bc,20180140,explicit,high,"Project ID 20180140 is explicitly present in the article text, and its stated paediatric Indonesian EQ-5D-Y-3L versus 5L psychometric aim and sample match the article.",Comparing measurement properties of EQ-5D-Y-3L and EQ-5D-Y-5L in paediatric patients.
P1de4bedca39b,1505-RA,explicit,high,Grant 1505-RA is stated explicitly and its supplied phase-2 Global HTA Agency Survey description matches the article's global survey of HTA practitioners' HRQoL evidence needs.,WHAT DO HTA AGENCIES NEED FOR GENERATING HEALTH-RELATED QUALITY OF LIFE EVIDENCE? FINDINGS FROM A GLOBAL SURVEY
Pae5185ee3e27,367-RA,explicit,high,The text explicitly gives project ID 367-RA and identifies the EQ-DAPHNIE project; candidate 367-RA is the Population Health Primary Data Collection Project describing the same initiative.,Design and implementation of data quality controls in the EQ-DAPHNIE study: insights from the pilot phase and 15-country analysis
P3c8f282ec847,367-RA,explicit,high,"The funding statement explicitly identifies EuroQol Research Foundation Grant Number 367-RA, whose candidate title is ‘Population Health Primary Data Collection Project’ and describes EQ-DAPHNIE infrastructure and data collection.",EuroQol data for assessment of population health needs and instrument evaluation (EQ-DAPHNIE): a study for enhancing population health assessment
P5e2520ed6043,344-VS,explicit,high,"The funding statement explicitly gives EuroQol Research Foundation Grant #344-VS, which exactly identifies candidate project 344-VS and its Pakistani EQ-5D-Y-3L valuation work.",Findings from a roundtable discussion with Pakistani stakeholders on measuring and valuing health and health-related quality of life for children and adolescents
P70ea9c866ad3,1644-RA,explicit,high,The article explicitly names project 1644-RA in its EuroQol funding statement; its breast-cancer EQ-HWB psychometric study is the candidate project’s stated work.,"The psychometric properties of the EQ-HWB and EQ-HWB-S in patients with breast cancer: a comparative analysis with EQ-5D-5L, FACT-8D and SWEMWBS"
P0640f26e484e,1644-RA,explicit,high,The funding statement explicitly identifies Project no. 1644-RA; the study is a 2023–24 Indonesian breast-cancer psychometric study using the same 300-patient cohort described by that candidate.,"Validity, test-retest reliability, and responsiveness of the Indonesian version of FACIT-COST measure for subjective financial toxicity"
P81b66c580a32,20180660,explicit,high,"The funding statement explicitly names EuroQol grant/project 20180660, which is the supplied candidate 'Developing an EQ-5D-3L Value Set and Population Norms for Pakistan – A Pilot Study.'",The EQ-5D-3L Valuation Study in Pakistan
P94a68185cdbf,20180230,explicit,high,"The article's funding metadata explicitly gives project ID 20180230, whose candidate title and 11-Asian-study DCE comparison aim match the article.",Do health preferences differ among Asian populations? A comparison of EQ-5D-5L discrete choice experiments data from 11 Asian studies
P9b0ce3730772,20180140,possible,medium,"Project 20180140 plausibly overlaps in Indonesian pediatric major thalassemia, caregiver/self-report measurement, and use of PedsQL, but this article does not identify the project or use EQ-5D-Y.",Perbandingan Self-Report dengan Caregiver-Report mengenai Health-Related Quality of Life Anak dengan Talasemia Mayor Usia 8-12 Tahun
Pa2b8960609e8,2013240,explicit,high,"The article explicitly identifies EuroQol EQ Project number 2013240; the candidate project concerns Indonesian EQ-5D-5L validation and population norms, matching the study’s aims and sample.",Quality of life of the Indonesian general population: Test-retest reliability and population norms of the EQ-5D-5L and WHOQOL-BREF
P0988dc752ec2,2013240,explicit,high,"The funding statement explicitly gives grant 2013240, whose candidate describes the Indonesian EQ-5D-5L valuation study and EQ-VT data collection used here.",Employing quality control and feedback to the EQ-5D-5L valuation protocol to improve the quality of data collection
P8602ac65b5dd,2016420,probable,medium,"Candidate 2016420 specifically concerns introduction/submission of the Indonesian EQ-5D-5L value set in 2016-17 and names Purba as PI; this 2017 Purba article derives that exact value set, though it does not name the project.",The Indonesian EQ-5D-5L Value Set
P3cdd5d7e312d,20170510,explicit,high,"The article explicitly lists ‘EuroQolEQ 20170510’; candidate 20170510 is titled ‘Valuation of the EQ-5D-5L in the French population,’ matching the study.",A French Value Set for the EQ-5D-5L
Pf43c5878914c,2015150,explicit,high,"The supplied article explicitly identifies ‘EQ Project 2015150,’ matching candidate project 2015150.",Cultural Values: Can They Explain Differences in Health Utilities between Countries?
Pd21c61eb7b4f,304-PHD,explicit,high,The article explicitly names EuroQol Research Foundation support for dissertation project 304-PHD; its child EQ-5D-Y-3L kaizen valuation is also the project’s stated work.,Revisiting the Valuation of Child Health-Related Quality of Life
P6f83eb0be663,304-PHD,explicit,high,"The acknowledgement explicitly identifies EuroQol support for M.J.’s dissertation ‘(304-PHD),’ and the study’s child-health kaizen valuation methods match that candidate project.",Measuring Effectiveness Based on Patient Experience (Instead of QALYs) in US Value Assessments
Pca479813d190,207-RA,explicit,high,The acknowledgements identify EuroQol awards 207-2020RA and 304-PHD; candidate 207-RA has the same scale/rate EQ-5D-5L valuation topic and candidate 304-PHD is explicitly named as dissertation support.,Scale and rate heterogeneity in the EQ-5D-5L valuation
Pca479813d190,304-PHD,explicit,high,The acknowledgements identify EuroQol awards 207-2020RA and 304-PHD; candidate 207-RA has the same scale/rate EQ-5D-5L valuation topic and candidate 304-PHD is explicitly named as dissertation support.,Scale and rate heterogeneity in the EQ-5D-5L valuation
P2b751a90c22f,304-PHD,explicit,high,The article explicitly identifies EuroQol Research Foundation project 304-PHD as support for Jumamyradov’s dissertation; the candidate’s title and abstract specifically describe kaizen tasks for child health valuation.,Child health valuation protocol for a discrete choice experiment comparing paired comparison and kaizen tasks and estimating US EQ-5D-Y-3L values on an experience scale
P197cf1f57e96,1711-RA,explicit,high,"The funding statement explicitly names EuroQol Research Foundation grant 1711-RA, whose supplied title and aims match this scoping review of collaborative engagement in health-state valuation.",Improving Collaborative Engagement in Health State Valuation: A Scoping Review of Current Practices and Emerging Recommendations
P31ae298aa33f,2016560,explicit,high,"The funding statement explicitly gives EuroQol grant reference 2016560, exactly matching the supplied candidate project ID.",Valuing child and adolescent health: a qualitative study on different perspectives and priorities taken by the adult general public
Pa6cdf9a9c957,2016560,explicit,high,The acknowledgement explicitly identifies EQ Project numbers 2016560 and 20190550 as funding this study.,Hypothetical versus experienced health state valuation: a qualitative study of adult general public views and preferences
Pa6cdf9a9c957,20190550,explicit,high,The acknowledgement explicitly identifies EQ Project numbers 2016560 and 20190550 as funding this study.,Hypothetical versus experienced health state valuation: a qualitative study of adult general public views and preferences
