batch_id,name,openalex_id,decision,reason
batch-03,Alice Yu,A5055148154,hold,"This is a Chang Gung University molecular-oncology profile dominated by neuroblastoma, anti-GD2 immunotherapy, glycosylation, and leukemia research. It is incompatible with the CHERE member's EQ-5D valuation, DCE, and EQ-HWB project record."
batch-04,Andrea L. Monteiro,A5024494805,accept,"Her record directly supports health-state valuation: Brazilian EQ-5D-3L valuation, EQ-5D Brazilian norms, and multiple EQ-HWB development and psychometric studies, with recurrent EuroQol coauthors including Simon Pickard."
batch-04,Andrew Lenny,A5029564514,accept,"The record directly matches the Youth/Valuation project through a review of EQ-5D-Y and CHU-9D child/adolescent valuation methods, alongside health-utility research and recurring EuroQol health-economics coauthors Louise Longworth and Koonal Shah."
batch-04,Andrew Lloyd,A5031114648,accept,"A large, coherent health-utility and EQ-5D portfolio—including EQ-5D-5L development, interim scoring, EQ-5D cancer utilities, and ISPOR utility-method reports—matches the Acaster Lloyd affiliation and all three EuroQol projects."
batch-04,Ann Charlotte Egmar,A5037683865,accept,"The hyphenated name matches, and her child respiratory-health record includes the EQ-5D-Y development, multinational feasibility/reliability/validity study, and EQ-5D-Y-5L revision, directly consistent with the asthma pilot project."
batch-04,Anna Krabbe-Lugner,A5047866823,accept,"Anna K. Lugnér is a compatible name form, and the record includes a detailed 2020 review of time trade-off methods plus health-economic modelling; this directly supports the Revisit TTO valuation project."
batch-05,Annette Regan,A5010948852,accept,"Profile is Annette K. Regan and coherently focuses on pregnancy, postpartum health, and maternal vaccination/COVID research. Its work includes COVID-19 vaccination in pregnancy and pregnancy HRQoL-related studies, directly consistent with the EQ-5D-5L pregnancy/postpartum projects."
batch-05,Annushiah Vasan Thakumar,A5007225491,accept,"Exact name and Taylor's University profile with a coherent Malaysian health-utility and psychometrics record: Malaysian EQ-5D-5L valuation, Malay/Malaysian English EQ-5D-5L psychometric assessment, and Singapore EQ-5D-5L value-set work. This directly supports the Malaysian EQ-TIPS/EQ-5D-Y project."
batch-05,Antony Martin,A5070568819,hold,"Although the profile includes health-economics and haemophilia work, it shows substantial apparent name-collision contamination: a 1975 Zambia book, a 2007 network-mobility authentication paper, tomato heat-tolerance research, and nanoparticle imaging papers. The mixed record is unsafe to attribute."
batch-05,Arthur Attema,A5082166488,accept,"Profile is Arthur E. Attema at Erasmus University Rotterdam with a highly coherent EQ-5D valuation, TTO, time-preference, and behavioural health-economics record. It includes the supplied projects' topics and matching 2025 papers on episodic future thinking and perspective/duration/death in valuation."
batch-05,Arjun Bhadhuri,A5064578943,accept,"Exact-name University of Basel profile coherently combines health economics with EQ-5D measurement and caregiver/post-stroke aphasia research. Examples include EQ-5D-3L/5L measurement properties, health spillovers for family members, and economic evaluations of post-stroke aphasia therapy."
batch-06,Arto Ohinmaa,A5087246819,accept,"Exact name and University of Alberta affiliation; extensive health-economics and quality-of-life record includes the Canadian EQ-5D-5L value set and EQ-5D European valuation work, directly consistent with the listed EuroQol projects."
batch-06,Asrul Shafie,A5089160643,accept,"Name is consistent with Asrul Akmal Shafie at Universiti Sains Malaysia. The record is coherently health economics, pharmaceutical policy and patient outcomes, including Malaysia-focused work, and fits the Malaysian EQ-5D-5L valuation and workshop projects."
batch-06,Ataru Igarashi,A5071771037,hold,"Although the name, University of Tokyo affiliation, and Japanese EQ-5D value-set work fit, the profile includes clearly discordant 1969 respiratory anthropology, 1981 dental folklore, and 1984-85 gynecology infection records. This substantial cross-era, cross-field contamination makes safe attribution uncertain."
batch-06,Aureliano Finch,A5055927783,accept,"Exact expanded name and EuroQol Research Foundation affiliation. The research record is strongly and specifically EuroQol-focused, with EQ-5D bolt-on, EQ-5D-Y, and Italian EQ-5D-5L valuation publications that directly match the listed projects."
batch-06,Ava Hoogenboom,A5117116214,accept,Expanded name is consistent and the Erasmus University Rotterdam record contains two directly relevant 2025 EQ-5D-Y child-health valuation papers. The focused health-economics portfolio supports the listed Melbourne population-health research visit.
batch-07,Barbara Spady,A5032609556,accept,"Barbara Conner-Spady matches the supplied name and University of Calgary affiliation. Her record is coherent in orthopaedic outcomes and health-related quality of life, including multiple EQ-5D studies in hip and knee replacement."
batch-07,Bas Janssen,A5020933378,hold,"The profile is for Mathieu F. Janssen, not Bas Janssen. Although its extensive EQ-5D research fits the project evidence, the incompatible given name prevents safe attribution."
batch-07,Beata Koń,A5070682056,accept,The exact-name profile is affiliated with Poland's National Health Insurance Fund and has a coherent health-services and health-economics record. Its productivity-cost-of-illness publications directly support the supplied EQ-5D productivity project.
batch-07,Begashaw Melaku Gebresillassie,A5013305477,accept,"The profile exactly matches the name and has a coherent medicines, patient-outcomes, and health-related quality-of-life record. Its 2026 scoping review mapping HRQoL tools in Africa directly aligns with project 1591-RA."
batch-07,Ben Van Hout,A5032690231,accept,"Ben van Hout matches the supplied name and has a coherent health-economics and EQ-5D valuation record. Key works include the England EQ-5D-5L value set and international valuation protocols, directly consistent with both Valuation projects."
batch-08,Benedicte Lescrauwaet,A5076552397,accept,"Exact name; the Ghent University Hospital record includes inherited-retinal-disease EQ-5D-5L Vision bolt-on work and a coherent ophthalmology, outcomes, and cost-effectiveness portfolio."
batch-08,Benjamin Matthew Craig,A5029949490,accept,"Exact name, ORCID, and University of South Florida affiliation; extensive EQ-5D, health valuation, DCE, child-health, and preference-methods work directly matches the listed EuroQol projects."
batch-08,Bernhard Michalowsky,A5088093819,accept,"Exact name and a highly coherent dementia, caregiver, psychometric, health-economic, and German care-research portfolio, directly consistent with the listed EQ-5D dementia and ataxia projects."
batch-08,Bernhard Slaap,A5001372652,accept,"Exact name and EuroQol Research Foundation affiliation; the compact record is dominated by EQ-5D valuation, value sets, nomenclature, and valuation-study quality-control work."
batch-08,Birol Yetim,A5048427287,accept,"Exact name and a coherent Turkish health policy, health-system performance, efficiency, access, and health-related quality-of-life record, consistent with leading a Turkish EQ-5D-5L valuation study."
batch-09,Bram Roudijk,A5028508726,accept,"Exact name with Erasmus MC affiliation and a highly coherent EQ-5D valuation record, including Netherlands youth tariffs, EQ-5D-5L value sets, and established EuroQol coauthors such as Devlin and Stolk."
batch-09,Brendan Mulhern,A5090013218,accept,"Exact name and University of Technology Sydney affiliation. The large, coherent record centers on EQ-5D/EQ-HWB, psychometrics, health-state valuation and quality of life, with frequent EuroQol collaborators including Brazier, Devlin, and Viney."
batch-09,Brigitte Essers,A5056962219,accept,"The Maastricht University Medical Centre profile has a coherent clinical health-economics and quality-of-life record. It includes economic evaluations and patient-outcome research, consistent with contribution to the Dutch EQ-5D-Youth tariff project."
batch-09,Caitlyn Solem,A5090387330,accept,"Exact name with GlaxoSmithKline affiliation. The record is a coherent pharmaceutical health-outcomes and health-economic portfolio across oncology, respiratory disease, infection, and patient-reported quality-of-life studies."
batch-09,Camilla Falivena,A5014952669,accept,"Exact-name profile includes the directly matching 2024 Italian EQ-HWB/EQ-HWB-S content-validity article. Its health-technology assessment, cost-utility, and health-policy work is consistent with the stated Italian EQ-HWB project."
batch-10,Carlos Wong,A5041610413,accept,Carlos King Ho Wong has a Hong Kong health-economics/quality-of-life record consistent with the Hong Kong EQ-5D valuation and paediatric psychometric projects. The broad modern clinical portfolio is coherent with this setting; the few much older unrelated works do not outweigh the direct match.
batch-10,Cate Bailey,A5020867003,accept,"Exact University of Melbourne affiliation and multiple direct EQ-HWB validation papers, including caregiver content validity and EQ-HWB-9 validation, match her listed EQ-HWB projects. Health-economic quality-of-life work and coauthors Nancy Devlin, Kim Dalziel, and Tessa Peasgood support one coherent identity."
batch-10,Cathrine Elgaard Jensen,A5102727513,accept,"The exact name and Aalborg University affiliation align with a concentrated Danish health-preference and EQ-5D-5L valuation record, including Danish population preferences, the Danish EQ-5D-5L value set, and stability of Danish preferences over time. This directly matches the listed COVID-preferences project."
batch-10,Chris Sampson,A5002636040,accept,Exact Office of Health Economics affiliation and a predominantly health-economic/quality-of-life record support the match. Direct publications on candidate EQ-5D bolt-ons and hearing-related quality of life align with his hearing bolt-on and bolt-on conceptualisation projects; valuation work also matches the UK value-set activity.
batch-10,Christine Mpundu-Kaambwa,A5020619329,accept,"Exact distinctive name and University of Melbourne affiliation match a paediatric health-related quality-of-life and health-economics record. Her work on EQ-5D-Y child/proxy agreement, pictorial paediatric PRO approaches, and EQ-5D-Y value-set choice directly supports both listed Youth/Valuation projects."
batch-11,Ciaran O'Neill,A5016414995,accept,"Queen's University Belfast affiliation and extensive health-economics/HRQoL record align with the Irish EQ-5D-5L valuation project, including the 2025 HRQoL value-set taxonomy. The two unrelated book chapters are isolated among an otherwise coherent clinical economics portfolio."
batch-11,Claire Gudex,A5047944478,accept,"University of Southern Denmark affiliation, health-economics focus, and direct EQ-5D record strongly match the Danish EQ-5D-5L preference-weights project, including EQ-5D-5L development, measurement, valuation, and Danish preference studies."
batch-11,Clara Mukuria,A5043083823,accept,"University of Sheffield affiliation, dominant HRQoL/valuation record, frequent Sheffield health-economics collaborators, and multiple direct EQ-HWB and EQ-5D-5L studies consistently match all listed EuroQol projects."
batch-11,Corneliu Bolbocean,A5018646670,accept,"The profile includes a coherent health-outcomes/economics strand relevant to the project: 2025 HRQoL research in very-preterm adults, a 2022 HRQoL meta-analysis, and collaboration with Stavros Petrou. Its pediatric and developmental-health portfolio is compatible with EQ-5D-Y research."
batch-11,Cynthia L. Gong,A5101451604,accept,"Children's Hospital of Los Angeles affiliation, pediatric health-economic work, and direct EQ-5D-5L publications—including the US valuation study and a US COVID population survey—match the adolescent complex-care HRQoL project."
batch-12,Darshini Govindasamy,A5050754442,accept,"Exact-name South African Medical Research Council profile with a coherent HIV and adolescent-health record. Its work includes wellbeing measurement for adolescents living with HIV, directly consistent with the KwaZulu-Natal EQ-5D-Y project."
batch-12,David Mott,A5009132187,hold,"Although the recent health-economics and EQ-5D-Y work matches the projects, the profile also contains a distinct 1983–98 CT imaging and radiotherapy publication record. That unrelated body of work is substantial name-collision contamination."
batch-12,David Parkin,A5081956728,hold,"The EQ-5D and health-economics record with Nancy Devlin matches the project, but the profile also contains a substantial unrelated 1959–67 cosmic-dust/planetary-science record and unrelated communication/culture chapters. It is materially name-collision contaminated."
batch-12,David Whitehurst,A5045933977,accept,"David G. T. Whitehurst is affiliated with Simon Fraser University as supplied. The coherent health-economics, quality-of-life, cost-utility and medical-decision-making portfolio fits the member evidence; the isolated 1977 aquaculture letter is not substantial contamination."
batch-12,Deborah Marshall,A5049401142,accept,"Exact-name University of Calgary profile with a large, coherent health-economics and rheumatology portfolio, including adolescent/pediatric healthcare, rheumatoid arthritis and patient-preference methods. This is consistent with EQ-5D-Y-5L validation in juvenile idiopathic arthritis."
batch-13,Deborah Street,A5053497885,accept,"UTS affiliation, design/valuation expertise, and extensive EQ-5D work directly support the Valuation project. EuroQol coauthors include John Brazier and Brendan Mulhern; a small number of anomalous older records does not outweigh the coherent 187-work record."
batch-13,Des Scott,A5038664789,accept,"Name and University of Cape Town affiliation match. The record is coherently centred on EQ-5D-Y measurement in South African children and recent EuroQol EQ-DAPHNIE work, consistent with the EQ-HWB project."
batch-13,Dominik Golicki,A5035126117,accept,"Exact name and Medical University of Warsaw affiliation match. Numerous EQ-5D valuation, Polish value-set, EQ-5D-Y, and measurement-property works directly substantiate the supplied Poland-focused Valuation and Descriptive Systems projects."
batch-13,Donna Rowen,A5067226056,accept,"The health-utility and valuation record is highly coherent with the Sheffield EuroQol member: extensive EQ-5D, child/adolescent valuation, EQ-HWB, and mapping work, with frequent EuroQol collaborators John Brazier and Brendan Mulhern."
batch-13,Edward Webb,A5011344482,hold,"Although the Leeds affiliation and some EQ-5D valuation work fit, the 60-work profile is materially mixed: it includes Classical Review publications from 1897–99, a 1958 forecasting dissertation, and a 2011 Turkish national-history paper, clear name-collision contamination."
batch-14,Eleanor Pullenayegum,A5029465719,accept,"Exact-name profile coherently matches a SickKids/University of Toronto health economist-methodologist. It includes EQ-5D-5L Canada and US valuation papers, health-utility modelling, and repeated valuation-focused work with Feng Xie; varied clinical studies fit a biostatistical collaboration portfolio."
batch-14,Elena Olariu,A5018887750,accept,"Exact-name profile directly contains the Romania EQ-5D-5L value-set paper, Romanian EQ-5D-3L/5L population norms, and the Romania general-population/Roma HRQoL protocol. These align precisely with the supplied Romanian EQ-5D valuation project; the wider mental-health and health-economic record is coherent."
batch-14,Eliza Wong,A5033480820,accept,"The specific name variant Eliza Lai-Yi Wong, Hong Kong-centered public-health record, and substantial HRQoL and valuation research are consistent with the supplied Hong Kong EQ-5D-Y value-set project. Its broad chronic-care, patient-experience, and health-preference portfolio remains coherent rather than indicating a collision."
batch-14,Elly Stolk,A5033903811,accept,"Exact-name profile is overwhelmingly focused on EQ-5D health-state valuation, DCEs, TTO, value-set quality control, and EQ-5D-Y work. Its leading coauthors and the Dutch tariff, international valuation protocol, and current EuroQol-instrument publications directly match the Foundation affiliation and listed projects."
batch-14,Elske van den Akker-van Marle,A5032469209,accept,"The distinctive full-name profile and Leiden University Medical Center affiliation match. Its coherent health-economics, quality-of-life, preference, cost-effectiveness, and value-based-healthcare portfolio supports the supplied EQ-5D descriptive-systems and dementia/wellbeing research; clinical applications are consistent, not collision evidence."
batch-15,Emelie Heintz,A5052327641,accept,"The exact-name Stockholm health-economics profile is strongly aligned with EQ-5D research: it includes EQ-5D-3L/5L validity, QALY weights, and health-technology evaluation. The broad Swedish clinical portfolio is coherent with outcomes and cost-effectiveness work."
batch-15,Emily McDool,A5006458172,accept,"Exact-name University of Sheffield profile directly matches all listed EQ-HWB and EQ-5D work: it includes EQ-HWB-S valuation and psychometric studies, the EQ-HWB-9 population validity study, and repeated collaboration with Mukuria, Rowen, Brazier, and Carlton."
batch-15,Eri Hoshino,A5068533812,hold,"Although the record includes recent preference-measure and caregiver quality-of-life work, it contains substantial incompatible material spanning inorganic air-sample chemistry, veterinary VDR pharmacology, renal biology, salivary-gland oncology, and cardiothoracic surgery. This supports name-collision contamination, so it is unsafe to assign to the EQ-5D-Y valuation researcher."
batch-15,Erica Lubetkin,A5037314317,accept,"Erica I. Lubetkin's exact-name CUNY profile is a long, coherent EQ-5D and population health-related quality-of-life record. It includes EQ-5D US-population analyses and mapping, current EQ-DAPHNIE papers, and recurring EuroQol collaborators Janssen, Haagsma, and Bonsel."
batch-15,Ernest Law,A5040405517,accept,"Ernest H. Law's exact-name Pfizer profile is a coherent pharmaceutical outcomes portfolio spanning oncology and dermatology, with direct EuroQol evidence including US EQ-5D-5L valuation and parallel EQ-5D-3L/5L valuation. The isolated 1917 record is an obvious minor outlier, not substantial contamination."
batch-16,Erwin Birnie,A5023843843,accept,"Exact name and UMC Groningen affiliation; a coherent outcomes/health-economics record across clinical studies includes EQ-5D version comparison and recent EQ-5D-5L psychometrics, consistent with the Capacity-2 outcomes-research project."
batch-16,Fanni Rencz,A5024021740,accept,"Exact name and Hungarian health-policy/health-economics record consistent with the stated affiliation. Extensive EQ-5D work includes Hungarian EQ-5D-3L/5L valuation, psoriasis measurement properties, EQ-5D in Central/Eastern Europe, and current bolt-on studies matching multiple listed projects."
batch-16,Fatima Al Sayah,A5026033494,accept,"Exact name and University of Alberta affiliation. The profile is coherently centered on health-related quality of life, PROMs, and EQ-5D, including UAE EQ-5D-5L valuation, EQ-DAPHNIE papers, Arabic-speaking populations, and EQ-5D-5L minimally important differences."
batch-16,Fan Yang,A5056976700,hold,"Although part of the record fits EQ-5D and renal quality-of-life research, it contains substantial incompatible contamination: 2025 works span memristor logic, lung-imaging AI, spine injury, esophageal case report, Kawasaki disease, and pelvic ultrasound. This is not a safely coherent single profile."
batch-16,Eszter Szlávicz,A5086041403,accept,"Exact name with a focused Hungarian dermatology/psychodermatology record. The profile includes qualitative content-validity work on EQ-5D-5L skin irritation and self-confidence bolt-ons in atopic dermatitis, directly aligned with the EQ-TIPS chronic skin-disease project."
batch-17,Federico Augustovski,A5053077563,accept,"Exact name and IECS affiliation; health-economic and quality-of-life portfolio directly matches EuroQol work, including EQ-HWB-9 content validity, HRQoL/QoL conceptual mapping, and EQ-5D valuation collaboration."
batch-17,Feng Xie,A5102994482,hold,"Although the profile includes McMaster health-economics coauthors and EQ-5D valuation work, it has substantial incompatible name-collision contamination: historical echocardiography plus numerous recent Chinese oncology, transplant, and clinical-trial records; reported affiliation is Qingdao University rather than McMaster."
batch-17,Fernando Argento,A5021426515,accept,"Exact name and IECS affiliation, with frequent IECS/EuroQol collaborators Federico Augustovski and Andrés Pichón-Rivière. Record includes EQ-HWB-9 Argentine content validity, EQ-HWB psychometric work, and HRQoL/QoL conceptual mapping; the broader clinical evidence-synthesis portfolio is coherent."
batch-17,Fredrick Purba,A5059806422,accept,"Name variant Fredrick Dermawan Purba and Padjadjaran University match. The record is centered on EQ-5D/EQ-HWB measurement and valuation, including the Indonesian EQ-5D-5L value set, Indonesian population norms, paediatric EQ-5D-Y comparison, and EQ-DAPHNIE work."
batch-17,Gerard De Pouvourville,A5085975930,accept,"Exact accented-name variant and coherent French health-economics record. Directly supports the supplied valuation project through 'Valuing EQ-5D using Time Trade-Off in France' and 'A French Value Set for the EQ-5D-5L,' alongside health technology assessment and pharmaceutical-economics work."
batch-18,Girma Tekle Gebremariam,A5008650274,accept,"Exact full name and Addis Ababa University affiliation; coherent Ethiopian HRQoL/cervical-cancer portfolio, including cervical-cancer quality-of-life validation and patient studies matching the project."
batch-18,Gerkens Sophie,A5063513647,accept,"Exact name and KCE health-policy/economic-evaluation record; includes the 2022 article 'An EQ-5D-5L Value Set for Belgium,' directly matching the Belgium valuation project."
batch-18,Goitom Molalign Takele,A5009462612,accept,"Exact full name and Mekelle University affiliation; Ethiopian health-services and diabetes record with recent work on generic HRQoL instruments for children/adolescents in LMICs, consistent with the EQ-5D-Y projects."
batch-18,Gouke Bonsel,A5047977076,accept,"Name variant Gouke J. Bonsel has a large, coherent EQ-5D/HRQoL and valuation record, including EQ-5D-5L and EQ-5D-Y development papers and trauma, pregnancy and Long COVID work matching the projects."
batch-18,Gisela Cristiane Miyamoto,A5024629360,accept,"Exact full name and Brazilian affiliation; coherent rehabilitation, economic-evaluation and HRQoL record, including a 2025 study comparing EQ-5D-Y-3L, EQ-5D-Y-5L and CHU9D in children."
batch-19,Guangjie Zhang,A5030831609,hold,"Profile has one EuroQol EQ-HWB/EQ-5D-5L paper and Busschbach coauthorship, but the record is substantially dominated by unrelated composting, food science, phytochemistry, agriculture, and an oil-and-gas paper, indicating name-collision contamination."
batch-19,Hannah Hussain,A5015275165,accept,"Office of Health Economics profile is coherent with the cognition bolt-on project: extensive HRQoL, EQ-5D-5L, dementia psychometrics and utility-mapping work, with repeated coauthorship with established EQ researchers Keetharuth, Rowen, Wailoo, Elliott, and Camacho."
batch-19,Hannah Penton,A5056335393,accept,"Profile directly matches the named EuroQol work: publications on EQ-5D-5L differential item functioning using IRT/logistic regression, psychometric assessment in older adults, and atopic-dermatitis outcome-measure psychometrics. The HRQoL portfolio is coherent."
batch-19,Haode Wang,A5073060343,accept,"Shanghai Medical Information Center profile is a coherent health-economics record matching the EQ-HWB project: valuing health and wellbeing by discrete choice experiment, health-preference and vaccine-preference studies, plus coauthorship with Donna Rowen. The small portfolio is internally consistent."
batch-19,Harri Sintonen,A5032927955,accept,"University of Helsinki affiliation exactly matches. The large, coherent health-economics and HRQoL record includes foundational 15D work, EQ-5D valuation, QALY effectiveness, and Finnish EQ-5D population research, all consistent with the named EuroQol researcher."
batch-20,Hsiang-Wen Lin,A5003956817,accept,"China Medical University profile has a consistent pharmacy, outcomes and health-utility record, including EQ-5D studies and Taiwan nationwide EQ-5D-Y valuation work. EQ-5D coauthors A. Simon Pickard and Nan Luo further support the Taiwan valuation identity."
batch-20,Hesam Ghiasvand,A5011771775,accept,"The University of Warwick profile is a coherent health-services, economic-evaluation and quality-of-life record. Its applied health-technology-assessment work is consistent with the EQ-5D vision bolt-on content-validity project; no incompatible identity evidence is supplied."
batch-20,Helen Harcombe,A5081829233,accept,"University of Otago record is a coherent New Zealand injury, occupational-health and musculoskeletal portfolio. Its strong Sarah Derrett coauthorship and prospective worker/injury cohort studies fit the NZ EQ-5D behavioural-risk project."
batch-20,Henry Bailey,A5090969739,accept,"The University of the West Indies profile has an EQ-5D valuation and health-economics record, including the exact head-on EQ-VT/crosswalk study and Trinidad and Tobago value-set work. Paul Kind and other EuroQol coauthors corroborate the identity."
batch-20,Hilton Lam,A5071601943,accept,"The University of the Philippines Manila profile is coherently public-health and health-economic, with quality-of-life and cost-effectiveness work in the Philippines. The small EQ-5D topic cluster supports the Philippine EQ-5D-5L valuation project."
batch-21,Ilan Koppen,A5031557006,accept,"Exact name and Emma Kinderziekenhuis affiliation; the profile is a coherent pediatric gastroenterology record. It includes pediatric functional-constipation quality-of-life research, directly consistent with the EQ-5D-Y pediatric gastroenterology project."
batch-21,Ilias Goranitis,A5023451391,accept,"Exact name and a coherent health-economics, quality-of-life, and rare-genomics record at the University of Melbourne. The profile includes a rare-genetic-conditions study of generic quality-of-life measures, directly matching the supplied psychometric project."
batch-21,Ines Buchholz,A5043257626,accept,"Exact name and a quality-of-life/psychometrics record at Universität Hamburg. It contains the EQ-5D-5L measurement-properties systematic review and the 2025 German skin, self-confidence, and social-health EQ-5D-5L bolt-on study matching both projects."
batch-21,Irina Kinchin,A5054485095,accept,"Exact name and a coherent Trinity College Dublin health-economics, quality-of-life, dementia, and palliative-care record. The 2025 Value in Health article comparing EQ-HWB, EQ-5D-5L and ICECAP-A in Ireland directly matches the supplied project."
batch-21,Iwan van der Horst,A5024802434,accept,"The exact-name profile is a large, coherent critical-care/ICU record, with extensive work on sepsis, cardiopulmonary support, and ICU outcomes. That specialty directly fits the supplied ICU proxy quality-of-life interview project; no conflicting identity signal is supplied."
batch-22,Jahangir Khan,A5052565475,hold,"The Bangladesh health-economics work fits the value-set projects, but the profile also includes several unrelated 2025 AI/cybersecurity and medical-imaging papers plus much older Pakistan biomedical work. This is substantial name-collision contamination, so it is not a safely coherent identity."
batch-22,James Shaw,A5055862397,hold,"The EQ-5D valuation and health-economics record fits James W. Shaw, but the profile also contains clearly incompatible 1926–77 endocrine/pancreatic works and a sizeable criminal-justice thread. These indicate substantial name-collision contamination, preventing safe inclusion as one coherent profile."
batch-22,Jan Abel Olsen,A5052181611,accept,"Exact name and UiT affiliation align with the supplied member evidence. The dominant record is health economics, preferences, QALYs, EQ-5D-5L and quality-of-life inequalities, with coauthors Paul Dolan, Jeff Richardson and Gang Chen; it directly supports the listed EQ-5D projects."
batch-22,Jan Busschbach,A5020122364,accept,"Exact name, Erasmus MC affiliation, and extensive EQ-5D research align directly with the member and valuation-project evidence. Key works cover EQ-5D-5L/3L measurement, interim scoring, Dutch tariff and valuation studies; the wider transplant and mental-health portfolio remains coherent with HRQoL research."
batch-22,Jan Faller,A5043601549,accept,"The exact-name Monash Health profile is a coherent health-economics record. Work on generic preference-based measures, informal carers, cost-effectiveness and mental-health interventions, with established health-economics coauthors, fits the supplied EuHEA/IHEA travel-scholarship evidence."
batch-23,Jan Heijdra Suasnabar,A5050459768,accept,"Exact name and Leiden University Medical Center affiliation; the record includes HRQoL measurement research and health-economic work, with Brendan Mulhern as a coauthor, coherently supporting the EQ-5D-5L older-populations project."
batch-23,Jan Henrik Terheyden,A5069023369,accept,"Exact name and University of Bonn affiliation. The dominant, cohesive record is ophthalmology/retinal disease with vision-related quality-of-life studies, directly consistent with EQ-5D-5L vision bolt-ons in macular degeneration and diabetic eye disease."
batch-23,Jan Verhaar,A5035697100,accept,"The Erasmus MC orthopaedic record is strongly coherent with the registry-based EQ-5D inequalities project: extensive hip/knee arthroplasty and osteoarthritis research, including a 2025 study of socioeconomic inequalities in PROMs among arthroplasty patients."
batch-23,Janine van Til,A5070605387,accept,"Exact name and University of Twente affiliation. The profile consistently covers health economics, quality of life, preferences, and patient-reported/shared decision-making outcomes, matching the project's clinical value and prediction of EQ-5D outcomes."
batch-23,Janine Verstraete,A5006452129,accept,"Exact name and University of Cape Town affiliation; extensive direct EQ-5D-Y, EQ-5D-Y proxy, TANDI, and young-child HRQoL research aligns closely with the listed Youth projects. The core contemporary record and EuroQol coauthors are coherent."
batch-24,Jennifer Jelsma,A5064611767,accept,"Exact name and University of Cape Town affiliation; extensive coherent rehabilitation and child HRQoL record includes EQ-5D-Y development, validation, and recent EQ-TIPS work, directly matching the supplied Youth projects."
batch-24,Jenny Downs,A5045593878,accept,"Exact name; a large, coherent paediatric neurodevelopmental and intellectual-disability research record, including Rett/CDKL5 and disability support, directly supports the EQ-5D-Y intellectual-disability project."
