name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
Annette Regan,A5010948852,accept,"Profile is Annette K. Regan and coherently focuses on pregnancy, postpartum health, and maternal vaccination/COVID research. Its work includes COVID-19 vaccination in pregnancy and pregnancy HRQoL-related studies, directly consistent with the EQ-5D-5L pregnancy/postpartum projects.",Annette K. Regan,0000-0002-3879-6193,Kaiser Permanente,,226,1796-RA;260-RA;384-RA
Annushiah Vasan Thakumar,A5007225491,accept,"Exact name and Taylor's University profile with a coherent Malaysian health-utility and psychometrics record: Malaysian EQ-5D-5L valuation, Malay/Malaysian English EQ-5D-5L psychometric assessment, and Singapore EQ-5D-5L value-set work. This directly supports the Malaysian EQ-TIPS/EQ-5D-Y project.",Annushiah Vasan Thakumar,0000-0001-7261-1255,Taylor's University,,32,2297-EO;2629-RA
Arthur Attema,A5082166488,accept,"Profile is Arthur E. Attema at Erasmus University Rotterdam with a highly coherent EQ-5D valuation, TTO, time-preference, and behavioural health-economics record. It includes the supplied projects' topics and matching 2025 papers on episodic future thinking and perspective/duration/death in valuation.",Arthur E. Attema,0000-0003-3607-6579,Erasmus University Rotterdam,,119,1602-RA;236-RA;237-RA;435-RA
Arjun Bhadhuri,A5064578943,accept,"Exact-name University of Basel profile coherently combines health economics with EQ-5D measurement and caregiver/post-stroke aphasia research. Examples include EQ-5D-3L/5L measurement properties, health spillovers for family members, and economic evaluations of post-stroke aphasia therapy.",Arjun Bhadhuri,0000-0003-1220-0731,University of Basel,,23,2506-RA
Arto Ohinmaa,A5087246819,accept,"Exact name and University of Alberta affiliation; extensive health-economics and quality-of-life record includes the Canadian EQ-5D-5L value set and EQ-5D European valuation work, directly consistent with the listed EuroQol projects.",Arto Öhinmaa,0000-0002-7094-1573,University of Alberta,"School of Public Health, University of Alberta, Edmonton, Canada",317,1744-EO;2015380
Asrul Shafie,A5089160643,accept,"Name is consistent with Asrul Akmal Shafie at Universiti Sains Malaysia. The record is coherently health economics, pharmaceutical policy and patient outcomes, including Malaysia-focused work, and fits the Malaysian EQ-5D-5L valuation and workshop projects.",Asrul Akmal Shafie,0000-0002-5629-9270,Universiti Sains Malaysia,,416,2016100;2016190;20190290
Aureliano Finch,A5055927783,accept,"Exact expanded name and EuroQol Research Foundation affiliation. The research record is strongly and specifically EuroQol-focused, with EQ-5D bolt-on, EQ-5D-Y, and Italian EQ-5D-5L valuation publications that directly match the listed projects.",Aureliano Paolo Finch,0000-0003-1438-321X,EuroQol Research Foundation,"EuroQol Office, EuroQol Research Foundation",47,122-RA;1927-RA;20170210;20190460
Ava Hoogenboom,A5117116214,accept,Expanded name is consistent and the Erasmus University Rotterdam record contains two directly relevant 2025 EQ-5D-Y child-health valuation papers. The focused health-economics portfolio supports the listed Melbourne population-health research visit.,Ava F H Hoogenboom,0009-0004-2252-454X,Erasmus University Rotterdam,,2,1934-TVG
Barbara Spady,A5032609556,accept,"Barbara Conner-Spady matches the supplied name and University of Calgary affiliation. Her record is coherent in orthopaedic outcomes and health-related quality of life, including multiple EQ-5D studies in hip and knee replacement.",Barbara Conner‐Spady,0000-0001-5674-4795,University of Calgary,University of Calgary,63,
Beata Koń,A5070682056,accept,The exact-name profile is affiliated with Poland's National Health Insurance Fund and has a coherent health-services and health-economics record. Its productivity-cost-of-illness publications directly support the supplied EQ-5D productivity project.,Beata Koń,0000-0003-2190-4546,National Health Insurance Fund,,34,91-RA
Begashaw Melaku Gebresillassie,A5013305477,accept,"The profile exactly matches the name and has a coherent medicines, patient-outcomes, and health-related quality-of-life record. Its 2026 scoping review mapping HRQoL tools in Africa directly aligns with project 1591-RA.",Begashaw Melaku Gebresillassie,0000-0003-0071-732X,Hunter Medical Research Institute,,58,1591-RA;436-RA
Ben Van Hout,A5032690231,accept,"Ben van Hout matches the supplied name and has a coherent health-economics and EQ-5D valuation record. Key works include the England EQ-5D-5L value set and international valuation protocols, directly consistent with both Valuation projects.",Ben van Hout,0000-0001-9698-6094,The Open Group,Open Health/University of Sheffield,120,2014025;20190940
Benedicte Lescrauwaet,A5076552397,accept,"Exact name; the Ghent University Hospital record includes inherited-retinal-disease EQ-5D-5L Vision bolt-on work and a coherent ophthalmology, outcomes, and cost-effectiveness portfolio.",Bénédicte Lescrauwaet,0000-0002-7976-0330,Ghent University Hospital,,81,2403-BT
Benjamin Matthew Craig,A5029949490,accept,"Exact name, ORCID, and University of South Florida affiliation; extensive EQ-5D, health valuation, DCE, child-health, and preference-methods work directly matches the listed EuroQol projects.",Benjamin M. Craig,0000-0003-1121-1316,University of South Florida,"University of South Florida, Tampa, USA",118,1769-RA;1850-RA;2013100;2013130;2015030;2015290;2016020;2016720;20170260;2266-TVG;2337-RA;2501-RA;302-EO;304-PHD;464-RA
Bernhard Michalowsky,A5088093819,accept,"Exact name and a highly coherent dementia, caregiver, psychometric, health-economic, and German care-research portfolio, directly consistent with the listed EQ-5D dementia and ataxia projects.",Bernhard Michalowsky,0000-0002-3425-0089,,"German Center for Neurodegenerative Diseases (DZNE), Greifswald, Germany & McMaster University, Hamilton, Canada",174,152-RA;1592-RA;1791-RA;2002-RA;244-RA;349-RA
Bernhard Slaap,A5001372652,accept,"Exact name and EuroQol Research Foundation affiliation; the compact record is dominated by EQ-5D valuation, value sets, nomenclature, and valuation-study quality-control work.",Bernhard Slaap,0000-0002-4301-4790,EuroQol Research Foundation,,8,20200050
Birol Yetim,A5048427287,accept,"Exact name and a coherent Turkish health policy, health-system performance, efficiency, access, and health-related quality-of-life record, consistent with leading a Turkish EQ-5D-5L valuation study.",Birol Yetim,0000-0002-1294-1874,Muş Alparslan University,,28,2247-VS
Bram Roudijk,A5028508726,accept,"Exact name with Erasmus MC affiliation and a highly coherent EQ-5D valuation record, including Netherlands youth tariffs, EQ-5D-5L value sets, and established EuroQol coauthors such as Devlin and Stolk.",Bram Roudijk,0000-0001-5000-0875,Erasmus MC,EuroQol Research Foundation,58,100-RA;169-RA;1694-RA;1923-RA;20180340R1;20190780;2647-RA
Brendan Mulhern,A5090013218,accept,"Exact name and University of Technology Sydney affiliation. The large, coherent record centers on EQ-5D/EQ-HWB, psychometrics, health-state valuation and quality of life, with frequent EuroQol collaborators including Brazier, Devlin, and Viney.",Brendan Mulhern,0000-0003-3656-8063,University of Technology Sydney,University of Technology Sydney,294,1903-RA;1926-RA;1976-TVG;2014010;2015460;2016260;2016650;20170670;20180300;20180460;234-VS;322-RA;99-RA
Brigitte Essers,A5056962219,accept,"The Maastricht University Medical Centre profile has a coherent clinical health-economics and quality-of-life record. It includes economic evaluations and patient-outcome research, consistent with contribution to the Dutch EQ-5D-Youth tariff project.",Brigitte A.B. Essers,0000-0002-7703-7114,Maastricht University Medical Centre,,114,2016740
Caitlyn Solem,A5090387330,accept,"Exact name with GlaxoSmithKline affiliation. The record is a coherent pharmaceutical health-outcomes and health-economic portfolio across oncology, respiratory disease, infection, and patient-reported quality-of-life studies.",Caitlyn T. Solem,,GlaxoSmithKline (United States),GSK,121,
Camilla Falivena,A5014952669,accept,"Exact-name profile includes the directly matching 2024 Italian EQ-HWB/EQ-HWB-S content-validity article. Its health-technology assessment, cost-utility, and health-policy work is consistent with the stated Italian EQ-HWB project.",Camilla Falivena,0000-0003-3259-095X,Libera Università Maria SS. Assunta,,21,354-RA
Carlos Wong,A5041610413,accept,Carlos King Ho Wong has a Hong Kong health-economics/quality-of-life record consistent with the Hong Kong EQ-5D valuation and paediatric psychometric projects. The broad modern clinical portfolio is coherent with this setting; the few much older unrelated works do not outweigh the direct match.,Carlos King Ho Wong,0000-0002-6895-6071,University of Leicester,London School Hygiene & Tropical Medicine,487,2012030;2014050;20180530;20190250;2421-RA;333-RA
Cate Bailey,A5020867003,accept,"Exact University of Melbourne affiliation and multiple direct EQ-HWB validation papers, including caregiver content validity and EQ-HWB-9 validation, match her listed EQ-HWB projects. Health-economic quality-of-life work and coauthors Nancy Devlin, Kim Dalziel, and Tessa Peasgood support one coherent identity.",Cate Bailey,0000-0001-5030-430X,The University of Melbourne,University of Melbourne,88,1559-RA;1566-RA;1772-RA;1872-RA;2032-RA;2096-RA;2439-RA;2440-RA;295-RA
Cathrine Elgaard Jensen,A5102727513,accept,"The exact name and Aalborg University affiliation align with a concentrated Danish health-preference and EQ-5D-5L valuation record, including Danish population preferences, the Danish EQ-5D-5L value set, and stability of Danish preferences over time. This directly matches the listed COVID-preferences project.",Cathrine Elgaard Jensen,0000-0001-7300-254X,Aalborg University,,12,1606-RA
Chris Sampson,A5002636040,accept,Exact Office of Health Economics affiliation and a predominantly health-economic/quality-of-life record support the match. Direct publications on candidate EQ-5D bolt-ons and hearing-related quality of life align with his hearing bolt-on and bolt-on conceptualisation projects; valuation work also matches the UK value-set activity.,Chris Sampson,0000-0001-9470-2369,Office Of Health Economics,Office of Health Economics,98,116-RA;2112-EOI;427-RA
Christine Mpundu-Kaambwa,A5020619329,accept,"Exact distinctive name and University of Melbourne affiliation match a paediatric health-related quality-of-life and health-economics record. Her work on EQ-5D-Y child/proxy agreement, pictorial paediatric PRO approaches, and EQ-5D-Y value-set choice directly supports both listed Youth/Valuation projects.",Christine Mpundu‐Kaambwa,0000-0002-8152-6068,The University of Melbourne,,49,1709-RA;2129-RA
Ciaran O'Neill,A5016414995,accept,"Queen's University Belfast affiliation and extensive health-economics/HRQoL record align with the Irish EQ-5D-5L valuation project, including the 2025 HRQoL value-set taxonomy. The two unrelated book chapters are isolated among an otherwise coherent clinical economics portfolio.",Ciarán O’Neill,0000-0001-7668-3934,Queen's University Belfast,,306,2013280
Claire Gudex,A5047944478,accept,"University of Southern Denmark affiliation, health-economics focus, and direct EQ-5D record strongly match the Danish EQ-5D-5L preference-weights project, including EQ-5D-5L development, measurement, valuation, and Danish preference studies.",Claire Gudex,0000-0003-3881-9890,University of Southern Denmark,University of Southern Denmark,125,20170400
Clara Mukuria,A5043083823,accept,"University of Sheffield affiliation, dominant HRQoL/valuation record, frequent Sheffield health-economics collaborators, and multiple direct EQ-HWB and EQ-5D-5L studies consistently match all listed EuroQol projects.",Clara Mukuria,0000-0003-4318-1481,University of Sheffield,University of Sheffield,128,1892-RA;2016240;20190310;2217-TR;2234-TVG;326-RA
Corneliu Bolbocean,A5018646670,accept,"The profile includes a coherent health-outcomes/economics strand relevant to the project: 2025 HRQoL research in very-preterm adults, a 2022 HRQoL meta-analysis, and collaboration with Stavros Petrou. Its pediatric and developmental-health portfolio is compatible with EQ-5D-Y research.",Corneliu Bolbocean,0000-0001-5782-1844,John Radcliffe Hospital,,44,1869-SG
Cynthia L. Gong,A5101451604,accept,"Children's Hospital of Los Angeles affiliation, pediatric health-economic work, and direct EQ-5D-5L publications—including the US valuation study and a US COVID population survey—match the adolescent complex-care HRQoL project.",Cynthia L. Gong,0000-0003-0159-1335,Children's Hospital of Los Angeles,,83,328-RA
Darshini Govindasamy,A5050754442,accept,"Exact-name South African Medical Research Council profile with a coherent HIV and adolescent-health record. Its work includes wellbeing measurement for adolescents living with HIV, directly consistent with the KwaZulu-Natal EQ-5D-Y project.",Darshini Govindasamy,0000-0001-5984-3588,South African Medical Research Council,,65,144-RA
David Whitehurst,A5045933977,accept,"David G. T. Whitehurst is affiliated with Simon Fraser University as supplied. The coherent health-economics, quality-of-life, cost-utility and medical-decision-making portfolio fits the member evidence; the isolated 1977 aquaculture letter is not substantial contamination.",David G. T. Whitehurst,0000-0002-7890-6756,Simon Fraser University,Simon Fraser University,107,2016350
Deborah Marshall,A5049401142,accept,"Exact-name University of Calgary profile with a large, coherent health-economics and rheumatology portfolio, including adolescent/pediatric healthcare, rheumatoid arthritis and patient-preference methods. This is consistent with EQ-5D-Y-5L validation in juvenile idiopathic arthritis.",Deborah A. Marshall,0000-0002-8467-8008,University of Calgary,,548,1752-RA
Deborah Street,A5053497885,accept,"UTS affiliation, design/valuation expertise, and extensive EQ-5D work directly support the Valuation project. EuroQol coauthors include John Brazier and Brendan Mulhern; a small number of anomalous older records does not outweigh the coherent 187-work record.",Deborah J. Street,0000-0002-4476-0656,University of Technology Sydney,University of Technology Sydney,187,20190350
Des Scott,A5038664789,accept,"Name and University of Cape Town affiliation match. The record is coherently centred on EQ-5D-Y measurement in South African children and recent EuroQol EQ-DAPHNIE work, consistent with the EQ-HWB project.",Des Scott,0000-0003-3943-7392,University of Cape Town,University of Cape Town,20,2248-TR
Dominik Golicki,A5035126117,accept,"Exact name and Medical University of Warsaw affiliation match. Numerous EQ-5D valuation, Polish value-set, EQ-5D-Y, and measurement-property works directly substantiate the supplied Poland-focused Valuation and Descriptive Systems projects.",Dominik Golicki,0000-0001-7741-4760,Medical University of Warsaw,Medical Univeristy of Warsaw,162,1575-VS;2015240;2015280;2016110;2038-RA;2100-EOI;214-RA;2479-RA;337-RA;339-RA
Donna Rowen,A5067226056,accept,"The health-utility and valuation record is highly coherent with the Sheffield EuroQol member: extensive EQ-5D, child/adolescent valuation, EQ-HWB, and mapping work, with frequent EuroQol collaborators John Brazier and Brendan Mulhern.",Donna Rowen,0000-0003-3018-5109,,University of Sheffield,274,134-RA;1524-VS;20190140;2201-RA;222-RA
Eleanor Pullenayegum,A5029465719,accept,"Exact-name profile coherently matches a SickKids/University of Toronto health economist-methodologist. It includes EQ-5D-5L Canada and US valuation papers, health-utility modelling, and repeated valuation-focused work with Feng Xie; varied clinical studies fit a biostatistical collaboration portfolio.",Eleanor Pullenayegum,0000-0003-4265-1330,University of Toronto,The Hospital for Sick Children,327,109-RA;2015130;2015140;20190270;20190430;2340-RA
Elena Olariu,A5018887750,accept,"Exact-name profile directly contains the Romania EQ-5D-5L value-set paper, Romanian EQ-5D-3L/5L population norms, and the Romania general-population/Roma HRQoL protocol. These align precisely with the supplied Romanian EQ-5D valuation project; the wider mental-health and health-economic record is coherent.",Elena Olariu,0000-0002-8718-5516,Matia Fundazioa,,33,20180030R1
Eliza Wong,A5033480820,accept,"The specific name variant Eliza Lai-Yi Wong, Hong Kong-centered public-health record, and substantial HRQoL and valuation research are consistent with the supplied Hong Kong EQ-5D-Y value-set project. Its broad chronic-care, patient-experience, and health-preference portfolio remains coherent rather than indicating a collision.",Eliza Lai‐Yi Wong,0000-0001-9983-6219,Department of Health,,373,20180750
Elly Stolk,A5033903811,accept,"Exact-name profile is overwhelmingly focused on EQ-5D health-state valuation, DCEs, TTO, value-set quality control, and EQ-5D-Y work. Its leading coauthors and the Dutch tariff, international valuation protocol, and current EuroQol-instrument publications directly match the Foundation affiliation and listed projects.",Elly Stolk,0000-0001-5968-0416,,EuroQol Research Foundation,161,1721-RA;1761-EO;2013090;2013300;2014060;2015430;2016410;2138-TR;2219-PCG;2262-RA;2644-EO
Elske van den Akker-van Marle,A5032469209,accept,"The distinctive full-name profile and Leiden University Medical Center affiliation match. Its coherent health-economics, quality-of-life, preference, cost-effectiveness, and value-based-healthcare portfolio supports the supplied EQ-5D descriptive-systems and dementia/wellbeing research; clinical applications are consistent, not collision evidence.",M. Elske van den Akker‐van Marle,0000-0002-5269-509X,Leiden University Medical Center,,209,1447-RA;1792-SG;2408-RA;2420-BT
Emelie Heintz,A5052327641,accept,"The exact-name Stockholm health-economics profile is strongly aligned with EQ-5D research: it includes EQ-5D-3L/5L validity, QALY weights, and health-technology evaluation. The broad Swedish clinical portfolio is coherent with outcomes and cost-effectiveness work.",Emelie Heintz,0000-0002-0715-7591,Stockholm School of Economics,,81,20180760
Emily McDool,A5006458172,accept,"Exact-name University of Sheffield profile directly matches all listed EQ-HWB and EQ-5D work: it includes EQ-HWB-S valuation and psychometric studies, the EQ-HWB-9 population validity study, and repeated collaboration with Mukuria, Rowen, Brazier, and Carlton.",Emily McDool,0000-0002-3530-7921,University of Sheffield,,25,1455-RA;1665-RA;2097-RA
Erica Lubetkin,A5037314317,accept,"Erica I. Lubetkin's exact-name CUNY profile is a long, coherent EQ-5D and population health-related quality-of-life record. It includes EQ-5D US-population analyses and mapping, current EQ-DAPHNIE papers, and recurring EuroQol collaborators Janssen, Haagsma, and Bonsel.",Erica I. Lubetkin,0000-0001-9962-7775,CUNY School of Law,City University of New York School of Medicine,94,
Ernest Law,A5040405517,accept,"Ernest H. Law's exact-name Pfizer profile is a coherent pharmaceutical outcomes portfolio spanning oncology and dermatology, with direct EuroQol evidence including US EQ-5D-5L valuation and parallel EQ-5D-3L/5L valuation. The isolated 1917 record is an obvious minor outlier, not substantial contamination.",Ernest H. Law,0000-0002-6111-8008,Pfizer (United States),Pfizer,126,
Erwin Birnie,A5023843843,accept,"Exact name and UMC Groningen affiliation; a coherent outcomes/health-economics record across clinical studies includes EQ-5D version comparison and recent EQ-5D-5L psychometrics, consistent with the Capacity-2 outcomes-research project.",Erwin Birnie,0000-0002-4534-4857,University Medical Center Groningen,,341,20200060
Fanni Rencz,A5024021740,accept,"Exact name and Hungarian health-policy/health-economics record consistent with the stated affiliation. Extensive EQ-5D work includes Hungarian EQ-5D-3L/5L valuation, psoriasis measurement properties, EQ-5D in Central/Eastern Europe, and current bolt-on studies matching multiple listed projects.",Fanni Rencz,0000-0001-9674-620X,Semmelweis University,"Corvinus University of Budapest, Department of Health Policy",245,119-RA;1700-RA;1800-RA;192-VS;2000-RA;20170500
Fatima Al Sayah,A5026033494,accept,"Exact name and University of Alberta affiliation. The profile is coherently centered on health-related quality of life, PROMs, and EQ-5D, including UAE EQ-5D-5L valuation, EQ-DAPHNIE papers, Arabic-speaking populations, and EQ-5D-5L minimally important differences.",Fatima Al Sayah,0000-0003-3891-5452,University of Alberta,"University of Alberta (Canada), Centre for Clinical, Health Economics, and Outcomes Research, CCHO (Lebanon, UAE, KSA)",103,102-RA;1465-VS;1696-RA;1931-RA;1974-VS;1984-RA;20190050;2116-EOI;2413-RA;2487-TVG;2490-EO;2560-RA;96-EO
Eszter Szlávicz,A5086041403,accept,"Exact name with a focused Hungarian dermatology/psychodermatology record. The profile includes qualitative content-validity work on EQ-5D-5L skin irritation and self-confidence bolt-ons in atopic dermatitis, directly aligned with the EQ-TIPS chronic skin-disease project.",Eszter Szlávicz,0000-0002-1083-0994,Veszprémi Érseki Hittudományi Fõiskola,,33,2400-RA
Federico Augustovski,A5053077563,accept,"Exact name and IECS affiliation; health-economic and quality-of-life portfolio directly matches EuroQol work, including EQ-HWB-9 content validity, HRQoL/QoL conceptual mapping, and EQ-5D valuation collaboration.",Federico Augustovski,0000-0002-2914-5022,Instituto de Efectividad Clínica y Sanitaria,Institute for Clinical Effectiveness and Health Policy (IECS),342,1605-RA;1891-RA;2012-RA;2013070;2015-RA;2016360;20170170;20170660;20180580;2119-RA
Fernando Argento,A5021426515,accept,"Exact name and IECS affiliation, with frequent IECS/EuroQol collaborators Federico Augustovski and Andrés Pichón-Rivière. Record includes EQ-HWB-9 Argentine content validity, EQ-HWB psychometric work, and HRQoL/QoL conceptual mapping; the broader clinical evidence-synthesis portfolio is coherent.",Fernando Argento,0000-0002-2492-8933,Instituto de Efectividad Clínica y Sanitaria,,45,2169-RA;2171-RA;2436-RA
Fredrick Purba,A5059806422,accept,"Name variant Fredrick Dermawan Purba and Padjadjaran University match. The record is centered on EQ-5D/EQ-HWB measurement and valuation, including the Indonesian EQ-5D-5L value set, Indonesian population norms, paediatric EQ-5D-Y comparison, and EQ-DAPHNIE work.",Fredrick Dermawan Purba,0000-0002-7336-3043,Padjadjaran University,Universitas Padjadjaran,148,1644-RA;1910-RA;1914-RA;2016420;20180140;20180430;20190130;20190440;2035-RA;2113-EOI;2177-RA;2203-RA;242-RA;2463-RA;2466-RA;442-RA
Gerard De Pouvourville,A5085975930,accept,"Exact accented-name variant and coherent French health-economics record. Directly supports the supplied valuation project through 'Valuing EQ-5D using Time Trade-Off in France' and 'A French Value Set for the EQ-5D-5L,' alongside health technology assessment and pharmaceutical-economics work.",Gérard de Pouvourville,0000-0002-5941-6823,École Supérieure des Sciences Économiques et Commerciales,,357,20170510;20190020
Girma Tekle Gebremariam,A5008650274,accept,"Exact full name and Addis Ababa University affiliation; coherent Ethiopian HRQoL/cervical-cancer portfolio, including cervical-cancer quality-of-life validation and patient studies matching the project.",Girma Tekle Gebremariam,0000-0002-2747-7955,Addis Ababa University,,22,343-RA
Gerkens Sophie,A5063513647,accept,"Exact name and KCE health-policy/economic-evaluation record; includes the 2022 article 'An EQ-5D-5L Value Set for Belgium,' directly matching the Belgium valuation project.",Sophie Gerkens,0000-0001-6211-3471,Belgian Health Care Knowledge Centre (KCE),,154,20170491
Goitom Molalign Takele,A5009462612,accept,"Exact full name and Mekelle University affiliation; Ethiopian health-services and diabetes record with recent work on generic HRQoL instruments for children/adolescents in LMICs, consistent with the EQ-5D-Y projects.",Goitom Molalign Takele,0000-0002-9344-3390,Mekelle University,,8,1735-RA;227-RA;317-RA;449-RA
Gouke Bonsel,A5047977076,accept,"Name variant Gouke J. Bonsel has a large, coherent EQ-5D/HRQoL and valuation record, including EQ-5D-5L and EQ-5D-Y development papers and trauma, pregnancy and Long COVID work matching the projects.",Gouke J. Bonsel,0000-0002-8364-1086,,EuroQol Research Foundation,362,2013150;2014090;2016160;2016670;2016750;20170360;238-RA;512-RA;645-RA
Gisela Cristiane Miyamoto,A5024629360,accept,"Exact full name and Brazilian affiliation; coherent rehabilitation, economic-evaluation and HRQoL record, including a 2025 study comparing EQ-5D-Y-3L, EQ-5D-Y-5L and CHU9D in children.",Gisela Cristiane Miyamoto,0000-0002-6826-4278,Universidade Cidade de São Paulo,,61,2308-VS;2410-RA;2468-RA;2482-EO
Hannah Hussain,A5015275165,accept,"Office of Health Economics profile is coherent with the cognition bolt-on project: extensive HRQoL, EQ-5D-5L, dementia psychometrics and utility-mapping work, with repeated coauthorship with established EQ researchers Keetharuth, Rowen, Wailoo, Elliott, and Camacho.",Hannah Hussain,0009-0002-5645-184X,Office Of Health Economics,,12,1967-RA
Hannah Penton,A5056335393,accept,"Profile directly matches the named EuroQol work: publications on EQ-5D-5L differential item functioning using IRT/logistic regression, psychometric assessment in older adults, and atopic-dermatitis outcome-measure psychometrics. The HRQoL portfolio is coherent.",Hannah Penton,0000-0001-9492-7875,Patient-Centered Outcomes Research Institute,,26,1453-RA;1493-RA;1494-RA
Haode Wang,A5073060343,accept,"Shanghai Medical Information Center profile is a coherent health-economics record matching the EQ-HWB project: valuing health and wellbeing by discrete choice experiment, health-preference and vaccine-preference studies, plus coauthorship with Donna Rowen. The small portfolio is internally consistent.",Haode Wang,0000-0002-0759-7087,Shanghai Medical Information Center,,7,1963-RA;2107-TVG
Harri Sintonen,A5032927955,accept,"University of Helsinki affiliation exactly matches. The large, coherent health-economics and HRQoL record includes foundational 15D work, EQ-5D valuation, QALY effectiveness, and Finnish EQ-5D population research, all consistent with the named EuroQol researcher.",Harri Sintonen,0000-0003-1252-0946,University of Helsinki,University of Helsinki/Department of Public Health,488,
