inspection_scope,name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
random_accepted,Barbara Spady,A5032609556,accept,"Barbara Conner-Spady matches the supplied name and University of Calgary affiliation. Her record is coherent in orthopaedic outcomes and health-related quality of life, including multiple EQ-5D studies in hip and knee replacement.",Barbara Conner‐Spady,0000-0001-5674-4795,University of Calgary,University of Calgary,63,
all_held,Bas Janssen,A5020933378,hold,"The profile is for Mathieu F. Janssen, not Bas Janssen. Although its extensive EQ-5D research fits the project evidence, the incompatible given name prevents safe attribution.",Mathieu F. Janssen,0000-0001-6602-6949,Erasmus MC,,117,155-RA;157-RA;2012040;2015450;2016620;20170600;240-RA;2594-RA;458-RA;461-RA
random_accepted,Begashaw Melaku Gebresillassie,A5013305477,accept,"The profile exactly matches the name and has a coherent medicines, patient-outcomes, and health-related quality-of-life record. Its 2026 scoping review mapping HRQoL tools in Africa directly aligns with project 1591-RA.",Begashaw Melaku Gebresillassie,0000-0003-0071-732X,Hunter Medical Research Institute,,58,1591-RA;436-RA
random_accepted,Ben Van Hout,A5032690231,accept,"Ben van Hout matches the supplied name and has a coherent health-economics and EQ-5D valuation record. Key works include the England EQ-5D-5L value set and international valuation protocols, directly consistent with both Valuation projects.",Ben van Hout,0000-0001-9698-6094,The Open Group,Open Health/University of Sheffield,120,2014025;20190940
random_accepted,Caitlyn Solem,A5090387330,accept,"Exact name with GlaxoSmithKline affiliation. The record is a coherent pharmaceutical health-outcomes and health-economic portfolio across oncology, respiratory disease, infection, and patient-reported quality-of-life studies.",Caitlyn T. Solem,,GlaxoSmithKline (United States),GSK,121,
random_accepted,Camilla Falivena,A5014952669,accept,"Exact-name profile includes the directly matching 2024 Italian EQ-HWB/EQ-HWB-S content-validity article. Its health-technology assessment, cost-utility, and health-policy work is consistent with the stated Italian EQ-HWB project.",Camilla Falivena,0000-0003-3259-095X,Libera Università Maria SS. Assunta,,21,354-RA
largest_accepted,Carlos Wong,A5041610413,accept,Carlos King Ho Wong has a Hong Kong health-economics/quality-of-life record consistent with the Hong Kong EQ-5D valuation and paediatric psychometric projects. The broad modern clinical portfolio is coherent with this setting; the few much older unrelated works do not outweigh the direct match.,Carlos King Ho Wong,0000-0002-6895-6071,University of Leicester,London School Hygiene & Tropical Medicine,487,2012030;2014050;20180530;20190250;2421-RA;333-RA
all_held,David Mott,A5009132187,hold,"Although the recent health-economics and EQ-5D-Y work matches the projects, the profile also contains a distinct 1983–98 CT imaging and radiotherapy publication record. That unrelated body of work is substantial name-collision contamination.",David Mott,0000-0001-5959-8447,University of Wisconsin–Madison,Office of Health Economics,63,104-RA;432-RA
all_held,David Parkin,A5081956728,hold,"The EQ-5D and health-economics record with Nancy Devlin matches the project, but the profile also contains a substantial unrelated 1959–67 cosmic-dust/planetary-science record and unrelated communication/culture chapters. It is materially name-collision contaminated.",David Parkin,0000-0002-9990-8208,,,221,20170440
largest_accepted,Deborah Marshall,A5049401142,accept,"Exact-name University of Calgary profile with a large, coherent health-economics and rheumatology portfolio, including adolescent/pediatric healthcare, rheumatoid arthritis and patient-preference methods. This is consistent with EQ-5D-Y-5L validation in juvenile idiopathic arthritis.",Deborah A. Marshall,0000-0002-8467-8008,University of Calgary,,548,1752-RA
all_held,Edward Webb,A5011344482,hold,"Although the Leeds affiliation and some EQ-5D valuation work fit, the 60-work profile is materially mixed: it includes Classical Review publications from 1897–99, a 1958 forecasting dissertation, and a 2011 Turkish national-history paper, clear name-collision contamination.",Edward Webb,0000-0001-7918-839X,University of Leeds,University of Leeds,61,2316-RA;289-RA
largest_accepted,Eliza Wong,A5033480820,accept,"The specific name variant Eliza Lai-Yi Wong, Hong Kong-centered public-health record, and substantial HRQoL and valuation research are consistent with the supplied Hong Kong EQ-5D-Y value-set project. Its broad chronic-care, patient-experience, and health-preference portfolio remains coherent rather than indicating a collision.",Eliza Lai‐Yi Wong,0000-0001-9983-6219,Department of Health,,373,20180750
random_accepted,Emily McDool,A5006458172,accept,"Exact-name University of Sheffield profile directly matches all listed EQ-HWB and EQ-5D work: it includes EQ-HWB-S valuation and psychometric studies, the EQ-HWB-9 population validity study, and repeated collaboration with Mukuria, Rowen, Brazier, and Carlton.",Emily McDool,0000-0002-3530-7921,University of Sheffield,,25,1455-RA;1665-RA;2097-RA
all_held,Eri Hoshino,A5068533812,hold,"Although the record includes recent preference-measure and caregiver quality-of-life work, it contains substantial incompatible material spanning inorganic air-sample chemistry, veterinary VDR pharmacology, renal biology, salivary-gland oncology, and cardiothoracic surgery. This supports name-collision contamination, so it is unsafe to assign to the EQ-5D-Y valuation researcher.",Eri Hoshino,0000-0003-2308-2048,National Center For Child Health and Development,,77,2085-VS
largest_accepted,Erwin Birnie,A5023843843,accept,"Exact name and UMC Groningen affiliation; a coherent outcomes/health-economics record across clinical studies includes EQ-5D version comparison and recent EQ-5D-5L psychometrics, consistent with the Capacity-2 outcomes-research project.",Erwin Birnie,0000-0002-4534-4857,University Medical Center Groningen,,341,20200060
all_held,Fan Yang,A5056976700,hold,"Although part of the record fits EQ-5D and renal quality-of-life research, it contains substantial incompatible contamination: 2025 works span memristor logic, lung-imaging AI, spine injury, esophageal case report, Kawasaki disease, and pelvic ultrasound. This is not a safely coherent single profile.",Fan Yang,0000-0003-4689-265X,,Analysis Group,,
largest_accepted,Federico Augustovski,A5053077563,accept,"Exact name and IECS affiliation; health-economic and quality-of-life portfolio directly matches EuroQol work, including EQ-HWB-9 content validity, HRQoL/QoL conceptual mapping, and EQ-5D valuation collaboration.",Federico Augustovski,0000-0002-2914-5022,Instituto de Efectividad Clínica y Sanitaria,Institute for Clinical Effectiveness and Health Policy (IECS),342,1605-RA;1891-RA;2012-RA;2013070;2015-RA;2016360;20170170;20170660;20180580;2119-RA
all_held,Feng Xie,A5102994482,hold,"Although the profile includes McMaster health-economics coauthors and EQ-5D valuation work, it has substantial incompatible name-collision contamination: historical echocardiography plus numerous recent Chinese oncology, transplant, and clinical-trial records; reported affiliation is Qingdao University rather than McMaster.",Feng Xie,0000-0003-3454-6266,Qingdao University,McMaster University,385,137-RA;1587-TVG;1704-RA;1793-RA;2013050;2013180;2013230;2013270;2015120;2016-RA;2016060;2016080;2016540;20170100;20180310;20191110;2023-RA;2170-RA;2566-RA;2593-RA;342-RA;345-PHD
largest_accepted,Gerard De Pouvourville,A5085975930,accept,"Exact accented-name variant and coherent French health-economics record. Directly supports the supplied valuation project through 'Valuing EQ-5D using Time Trade-Off in France' and 'A French Value Set for the EQ-5D-5L,' alongside health technology assessment and pharmaceutical-economics work.",Gérard de Pouvourville,0000-0002-5941-6823,École Supérieure des Sciences Économiques et Commerciales,,357,20170510;20190020
largest_accepted,Gouke Bonsel,A5047977076,accept,"Name variant Gouke J. Bonsel has a large, coherent EQ-5D/HRQoL and valuation record, including EQ-5D-5L and EQ-5D-Y development papers and trauma, pregnancy and Long COVID work matching the projects.",Gouke J. Bonsel,0000-0002-8364-1086,,EuroQol Research Foundation,362,2013150;2014090;2016160;2016670;2016750;20170360;238-RA;512-RA;645-RA
all_held,Guangjie Zhang,A5030831609,hold,"Profile has one EuroQol EQ-HWB/EQ-5D-5L paper and Busschbach coauthorship, but the record is substantially dominated by unrelated composting, food science, phytochemistry, agriculture, and an oil-and-gas paper, indicating name-collision contamination.",Guangjie Zhang,0000-0003-1311-8510,Murdoch University,,71,1758-EO;1985-EO
largest_accepted,Harri Sintonen,A5032927955,accept,"University of Helsinki affiliation exactly matches. The large, coherent health-economics and HRQoL record includes foundational 15D work, EQ-5D valuation, QALY effectiveness, and Finnish EQ-5D population research, all consistent with the named EuroQol researcher.",Harri Sintonen,0000-0003-1252-0946,University of Helsinki,University of Helsinki/Department of Public Health,488,
random_accepted,Hilton Lam,A5071601943,accept,"The University of the Philippines Manila profile is coherently public-health and health-economic, with quality-of-life and cost-effectiveness work in the Philippines. The small EQ-5D topic cluster supports the Philippine EQ-5D-5L valuation project.",Hilton Y. Lam,0000-0003-4042-5997,University of the Philippines Manila,,104,20170230
largest_accepted,Iwan van der Horst,A5024802434,accept,"The exact-name profile is a large, coherent critical-care/ICU record, with extensive work on sepsis, cardiopulmonary support, and ICU outcomes. That specialty directly fits the supplied ICU proxy quality-of-life interview project; no conflicting identity signal is supplied.",Iwan C.C. van der Horst,0000-0003-3891-8522,Cardiovascular Institute Hospital,,342,1539-SG
all_held,Jahangir Khan,A5052565475,hold,"The Bangladesh health-economics work fits the value-set projects, but the profile also includes several unrelated 2025 AI/cybersecurity and medical-imaging papers plus much older Pakistan biomedical work. This is substantial name-collision contamination, so it is not a safely coherent identity.",Jahangir Khan,0000-0002-6151-764X,Liverpool School of Tropical Medicine,,125,1669-VS;2480-EO
all_held,James Shaw,A5055862397,hold,"The EQ-5D valuation and health-economics record fits James W. Shaw, but the profile also contains clearly incompatible 1926–77 endocrine/pancreatic works and a sizeable criminal-justice thread. These indicate substantial name-collision contamination, preventing safe inclusion as one coherent profile.",James W. Shaw,0000-0002-7019-3720,Bristol-Myers Squibb (United States),Takeda Pharmaceuticals,156,
largest_accepted,Jan Busschbach,A5020122364,accept,"Exact name, Erasmus MC affiliation, and extensive EQ-5D research align directly with the member and valuation-project evidence. Key works cover EQ-5D-5L/3L measurement, interim scoring, Dutch tariff and valuation studies; the wider transplant and mental-health portfolio remains coherent with HRQoL research.",Jan J.V. Busschbach,0000-0002-8602-0381,Erasmus MC,Erasmus MC,523,2013240;2015230;2016040;2016421;20170160
random_accepted,Jan Henrik Terheyden,A5069023369,accept,"Exact name and University of Bonn affiliation. The dominant, cohesive record is ophthalmology/retinal disease with vision-related quality-of-life studies, directly consistent with EQ-5D-5L vision bolt-ons in macular degeneration and diabetic eye disease.",Jan Henrik Terheyden,0000-0002-0174-4066,University of Bonn,,97,2357-BT
largest_accepted,Jan Verhaar,A5035697100,accept,"The Erasmus MC orthopaedic record is strongly coherent with the registry-based EQ-5D inequalities project: extensive hip/knee arthroplasty and osteoarthritis research, including a 2025 study of socioeconomic inequalities in PROMs among arthroplasty patients.",Jan A.N. Verhaar,0000-0003-3016-9600,Erasmus MC,,575,200-RA
random_accepted,Janine van Til,A5070605387,accept,"Exact name and University of Twente affiliation. The profile consistently covers health economics, quality of life, preferences, and patient-reported/shared decision-making outcomes, matching the project's clinical value and prediction of EQ-5D outcomes.",Janine A. van Til,0000-0002-5416-5893,University of Twente,,135,285-PHD
all_held,Jiyoung Park,A5100409602,hold,"This 261-work profile is substantially mixed: it combines fiber-optics, transport, corporate governance, music education, pharmacology, psychology and health work. It shows no EQ-5D-Y or psychometric record tying it safely to the project.",Jiyoung Park,0000-0003-1374-9187,,,,2450-RA
all_held,John Brazier,A5007276743,hold,"The health-economics and EQ-5D record is plausible, but the profile is substantially mixed: it includes 1874–77 Australian mollusc/taxonomy papers and a 2025 biochemistry meeting report, incompatible with the Sheffield health-economics identity.",John Brazier,0000-0001-8645-4780,Novartis (Switzerland),University of Sheffield,860,2014080;2016660;2016710
all_held,John Hartman,A5108501222,hold,"The selected profile is explicitly Karen Hartman, not John Hartman. Its social-work, library-guide, psychology, and cardiology record has no coherent connection to the GSK valuation-project evidence.",Karen Hartman,,,GSK,239,2016680;2016690;20180560
all_held,Josephine Walker,A5038317615,hold,"Although the name is similar, the record is chiefly a Bristol hepatitis C/HIV transmission and infectious-disease modelling portfolio, not EQ-5D valuation; it also contains incompatible 1925 and 1962–69 biomedical works, indicating substantial profile contamination.",Josephine G. Walker,0000-0002-9732-5738,At Bristol,,164,1732-VS
all_held,Juan Pedro Alonso,A5109481311,hold,"The chosen profile is María del Mar Alonso Montejo, not Juan Pedro Alonso. Its record concerns paediatric diabetes, neonatal care, thrombosis, and case reports, with no supplied evidence connecting it to the Argentina EQ-5D response-scale project.",María del Mar Alonso Montejo,,,,,2592-RA
largest_accepted,Juanita Haagsma,A5060133399,accept,"Juanita A. Haagsma at Erasmus MC has a coherent trauma, injury, health-outcomes, and quality-of-life record. Her substantial work on injury recovery, health impact, and EQ-5D-relevant outcomes fits the extensive Erasmus MC EuroQol descriptive-systems and COVID projects.",Juanita A. Haagsma,0000-0002-2055-548X,Erasmus MC,Erasmus MC,360,141-RA;1498-PHD;151-RA;1604-RA;1954-RA;20180330;20180380;20180630;20190120;2159-RA;2426-PHD;243-RA;2456-BT;315-RA;420-RA;460-RA;77-RA
all_held,Judith Bosmans,A5016039203,hold,"Although the modern record is a coherent Dutch health-economic portfolio relevant to EQ-5D valuation, it includes clearly incompatible historical works from 1974, 1982, 1988, and 1994 on fungi and other unrelated clinical topics. This is substantial name-collision contamination, so the profile is unsafe to include.",Judith E. Bosmans,0000-0002-1443-1026,Department of Health,,377,71-RA
largest_accepted,Julie Ratcliffe,A5070505553,accept,"Exact name, Flinders affiliation, and a strongly coherent health-economics and aged-care quality-of-life record fit the project. Specific works include EQ-5D-5L South Australian population norms, Australian EQ-5D weights, generic preference-based instruments in older care settings, and aged-care quality-of-life research.",Julie Ratcliffe,0000-0001-7365-1988,Flinders University,,507,194-RA
all_held,Katie Page,A5103147397,hold,"The supplied person is Katie Page, but the profile display name is Karen Page, an incompatible given name. Its broad record is chiefly cardiac, pregnancy, cancer, and other clinical research; one hearing quality-of-life review is insufficient to establish it as the named researcher or the cognitive/visual-impairment project investigator.",Karen Page,0000-0001-9183-9175,University of Technology Sydney,,276,20180301
all_held,Kristina Ludwig,A5035184665,hold,"Although the Bielefeld EQ-5D valuation record matches, the profile includes incompatible 1965–69 food-emulsifier publications and a 2002 brain-injury paper, indicating name-collision contamination in the combined record.",Kristina Ludwig,0000-0002-4306-4667,Bielefeld University,"(1) Department of Health Economics & Health Care Management, School of Public Health, Bielefeld University, Germany; (2) EuroQol Research Foundation",46,1762-RA
all_held,Lan Gao,A5043687438,hold,"The Deakin health-economics and stroke portfolio partly fits the projects, but the profile also contains incompatible 2004–07 cardiac-anesthesia and traditional-Chinese-medicine works, showing name-collision contamination.",Lan Gao,0000-0001-9734-1140,Deakin University,,211,1771-RA;198-RA;2141-RA;2363-BT
all_held,Lars Ehlers,A5054828864,hold,"While the Danish EQ-5D-5L valuation publications fit the project, the profile also contains incompatible 1997 dementia, 1999 internet-history, 2000 intranet, and 2025 German bioterrorism works, indicating substantial merged-identity contamination.",Lars Holger Ehlers,0000-0001-6512-5566,Nordic School of Public Health,,310,20170401
all_held,Leida Lamers,A5091647381,hold,"The EQ-5D, Dutch tariff, health-economics works and relevant coauthors fit, but the record has substantial unrelated contamination: PEM electrolyzer engineering (2024), cardiac pump physiology (1983), and equine lameness studies.",Leida M. Lamers,,Institut für Forschung und Transfer,"Ministry of Health, Welfare and Sports",51,
all_held,Lina Maria Serna Higuita,A5022647682,hold,"Although the exact name and medical-informatics affiliation are present, the record is overwhelmingly renal/transplant/dialysis research with nephrology coauthors. It provides no clear EQ-5D, cancer distress, or PROMs connection to the supplied project.",Lina María Serna-­Higuita,0000-0001-5182-8295,Institute for Medical Informatics and Biostatistics,,228,2338-RA
all_held,Ling Jie Cheng,A5082193621,hold,"Recent EQ VAS and health-related quality-of-life work aligns, but the profile contains substantial incompatible name-collision material, including 2000 guinea-pig cholecystitis, 2006 microfluidics, 2009 sheep osteopenia, and 2012 rat studies.",Ling Jie Cheng,0000-0002-5338-578X,National University of Singapore,University of Oxford,150,1663-TVG;1961-EO;2078-RA;2246-EO;2267-EO;2329-RA;2531-EO;2605-RA
largest_accepted,Mark Sculpher,A5060049178,accept,"Exact name, University of York affiliation, and a large coherent health-economics record (cost-effectiveness, QALYs, valuation and HTA) are consistent with the EQ-5D-5L valuation project.",Mark Sculpher,0000-0003-3746-9913,University of York,,641,20180710
random_accepted,Martijn Doeleman,A5038383689,accept,"Martijn J. H. Doeleman at Utrecht has a focused juvenile idiopathic arthritis record. His 2025 dissertation exactly matches project 2101-EO, and the profile includes JIA quality-of-life monitoring using EQ-5D-5L-Y.",Martijn J. H. Doeleman,0000-0003-4786-4108,Utrecht University,,13,2101-EO
largest_accepted;random_accepted,Martin Härter,A5048738092,accept,"Universität Hamburg profile is a coherent mental-health, patient-centred communication and quality-of-life record, including SDM-Q-9 psychometrics and health-systems/QoL work consistent with the EQ-5D project.",Martin Härter,0000-0001-7443-9890,Universität Hamburg,,856,1719-RA
random_accepted,Martine Hoogendoorn,A5033706754,accept,"Erasmus MC profile centres on COPD and health economics and includes the exact 2021 EQ-5D-5L Plus Respiratory Bolt-On Birmingham COPD Cohort paper, directly matching both respiratory bolt-on projects.",Martine Hoogendoorn,0000-0002-7122-9780,Erasmus MC,,106,20190850;2339-BT
largest_accepted,Maureen Rutten-van Molken,A5010272673,accept,"Exact name and Erasmus University Rotterdam affiliation; extensive health-economics, quality-of-life, and utility-measurement record aligns with the EQ-5D-5L+R valuation project.",Maureen Rutten‐van Mölken,0000-0001-8706-3159,Erasmus University Rotterdam,,478,2015020
all_held,Mihir Gandhi,A5087601665,hold,"Although the Duke-NUS affiliation and several quality-of-life collaborations fit, the profile includes clearly unrelated 1979 veterinary xanthine-oxidase papers, 1994 renal cell biology, and diverse surgical/oncology records, indicating substantial name-collision contamination.",Mihir Gandhi,0000-0002-8902-2710,Duke-NUS Medical School,Duke-NUS Medical School,168,20170180;2224-RA;389-RA
all_held,Milad Karimi,A5076374306,hold,"The EQ-5D valuation papers and EuroQol coauthors fit, but the profile also contains a distinct cluster of mineral-extraction/electrochemistry papers plus unrelated leukemia and theology works. This is substantial mixed-identity contamination despite the relevant core.",Milad Karimi,0000-0002-5298-174X,Yazd University,,56,2016560;20190550
all_held,Min-Joo Woo,A5028665396,hold,"The chosen profile is named Woo-Jung Song, not Min-Joo Woo, and its extensive record is focused on asthma, chronic cough, and respiratory medicine rather than EQ-5D valuation. The name and research record are incompatible.",Woo‐Jung Song,0000-0002-4630-9922,,,,2013020
all_held,Minghui Li,A5100400064,hold,"Although the profile contains Chinese EQ-5D and EQ-VT work, it has substantial incompatible contamination: 2025 robotics, recommendation systems, prompt-injection papers, plus earlier philosophy, geology, and law works.",Minghui Li,0000-0003-3673-5925,,University of Tennessee,,2016580;20180620
all_held,Minh Pham,A5077706356,hold,"The profile is for Phạm Minh Khuê, not Minh Pham, at Hai Phong University of Medicine and Pharmacy; its record centers on HIV, hepatitis, tuberculosis, and health literacy, not the supplied EuroQol work.",Phạm Minh Khuê,0000-0003-2974-3484,Hai phong University Of Medicine and Pharmacy,,131,1970-RA;2136-TVG;2305-BT
largest_accepted,Márta Péntek,A5064557440,accept,"Exact name and Obuda University affiliation; extensive coherent health-economics and quality-of-life record includes EQ-5D in Central/Eastern Europe, Hungarian EQ-5D valuation, and EQ-5D utility mapping.",Márta Péntek,0000-0001-9636-6012,Obuda University,Obuda University,349,
all_held,Nan Luo,A5064398143,hold,"Although the NUS affiliation and several EQ-5D valuation papers fit, the record has substantial unrelated contamination: synthetic-cell biology, biosensor immunoassay, navigation, and highly cited cancer-immunology papers. This is not a safely coherent single profile.",Nan Luo,0000-0001-7980-6979,National University of Singapore,National University of Singapore,477,128-RA;1504-RA;1505-RA;1517-RA;1522-RA;1535-RA;1599-RA;1608-RA;1738-TVG;1741-RA;180-RA;1818-RA;188-RA;2012060;2014100;2015220;2015410;2016010;2016070;2016130;2016230;2016290;2016310;2016600;20170330;20170430;20170450;20170460;20170640;20180060;20180160;20180250;20180270;20180600;2019-EO;20190010;20190600;20190820;20190830;2120-RA;2176-RA;2222-EO;232-RA;2362-BT;2418-BT;2451-RA;2455-PHD;274-RA;320-VS;321-VS;364-RA;402-RA;439-PHD;69-RA;76-RA
largest_accepted,Nancy Devlin,A5103206776,accept,"Exact name and University of Melbourne affiliation; a strongly coherent health-economics and EQ-5D valuation record. Core works include the England EQ-5D-5L value set, EQ-5D and the EuroQol Group, EQ-5D-Y development, and current child valuation/EQ-TIPS studies.",Nancy Devlin,0000-0002-1561-5361,The University of Melbourne,University of Melbourne,380,1404-RA;1497-RA;2012050;2013040;2014020;2014170;2015060;2015100;2016320;2016570;2016571;2016630;2016631;20170010;20180210;20180650;20190220;202-RA;2274-TVG;370-RA;399-RA
all_held,Ning Yan Gu,A5063972558,hold,"Although several EQ-5D and health-economics works fit the projects, this profile is substantially mixed: it also contains unrelated blind signal-processing papers, a 1997 dementia paper, and other incompatible records. It is not safe to treat as one coherent identity.",Ning Yan Gu,0000-0002-1250-7605,Exact Sciences (United States),University of San Francisco,84,246-RA;358-RA;409-RA;84-RA
random_accepted,Oliver Rivero-Arias,A5121462085,accept,"Exact name and University of Oxford affiliation. The neonatal and infant-care portfolio coheres with the project on family spillovers in necrotising enterocolitis, and includes a children-and-young-people time-use questionnaire for economic evaluation; no conflicting identity signal is present.",Oliver Rivero-Arias,,University of Oxford,University of Oxford,19,20180240;2021-RA;206-RA
random_accepted,Paul Kind,A5013594779,accept,"Exact name and a highly coherent, extensive EQ-5D record: EQ-5D-5L development and interim scoring, EQ-5D-Y development, UK population health surveys, TTO, and EuroQol tariff studies. The University of Leeds affiliation and collaborators also fit; one old unrelated ophthalmology paper is not substantial contamination.",Paul Kind,0000-0003-2377-1652,University of Leeds,"Health Economics Policy Lab (HEPL), University College London",240,1583-RA;1786-RA;2009018;2010011;2014120;2014220;2015350;2015420;2016050;2016200;20191040;20191050;78-RA
all_held,Pedro Ferreira,A5048178253,hold,"Although Pedro Lopes Ferreira has a plausible Portuguese health/QoL core, this 347-work profile has substantial incompatible name-collision material: 2025 vehicle re-identification, Mozambique conflict, cardiac-device infection corrigendum, and a FeCo alloy paper. These unrelated fields prevent safe inclusion.",Pedro Lopes Ferreira,0000-0002-9448-9542,University of Lisbon,,349,2015110
random_accepted,Peep Stalmeier,A5013523692,accept,"Exact name and Radboud affiliation align. The record directly includes Dutch EQ-5D tariff work and recent time-trade-off, worse-than-dead, and severe-health-state valuation studies matching the listed valuation projects.",Peep F. M. Stalmeier,0000-0002-7553-562X,Radboud University Nijmegen,Radboudumc,163,115-RA;1487-RA;2013010;2015150
all_held,Philip Clarke,A5072230333,hold,"Although the Melbourne health-economics and EQ-5D/UKPDS work fits, the profile also contains clearly incompatible 1955 nutrition, 1969 metrology, and 1977/1979 neutron-diffraction works. These constitute substantial name-collision contamination.",Philip Clarke,0000-0002-7555-5348,The University of Melbourne,,501,118-RA;1415-RA;310-RA
all_held,Rachel Tan,A5047279366,hold,"The profile has a strong EQ-5D/HRQoL cluster with Nan Luo and Michael Herdman, but also includes clearly unrelated consumer-marketing and immunology records, indicating substantial same-name profile contamination.",Rachel Lee-Yin Tan,0000-0002-4610-1195,,IQVIA,37,
all_held,Richard Brooks,A5112107099,hold,"Although it includes seminal EuroQol/EQ-5D publications, the profile is substantially mixed with unrelated legal, political-history, philosophy, planning, and regional-economics records, so it is unsafe as one identity.",Richard Brooks,,Guiyang Medical University,Retirement Association,66,
largest_accepted,Richard Norman,A5101841802,accept,"Exact name, ORCID, and Curtin affiliation align. The dominant record is a coherent health-economics/EQ-5D valuation portfolio, including Australian EQ-5D weights, DCE work, and the Australian 5L value-set study matching his projects.",Richard Norman,0000-0002-3112-3893,Curtin University,Curtin University,468,1578-RA;2015310;2016250;20170410;20170560;83-VS
all_held,Ruixuan Jiang,A5049026946,hold,"Merck affiliation and several EQ-5D/health-economics works fit, but the record has substantial incompatible contamination: 2026 subglacial-radar datasets plus 2000–2006 leukemia, selenium/adenoma, and genetic-polyp publications. These form a distinct, implausible research identity.",Ruixuan Jiang,0000-0003-1737-2989,"Merck & Co., Inc., Rahway, NJ, USA (United States)","Merck & Co., Inc.,",58,
largest_accepted,Sander van Kuijk,A5087173002,accept,"The expanded exact name and Maastricht UMC affiliation fit a coherent clinical-epidemiology record. COVID-19 research, quality-of-life outcomes, and health-economic collaborators (including Carmen Dirksen) align with the long-COVID and EQ-5D bolt-on projects. The one 1986 PACS item is isolated, not substantial contamination.",Sander M. J. van Kuijk,0000-0003-2796-729X,Maastricht University Medical Centre,,669,1569-RA;1983-PHD;2368-RA
