name,openalex_id,decision,reason,chosen_name,orcid,affiliation,member_affiliation,total_works,project_ids
Guangjie Zhang,A5030831609,hold,"Profile has one EuroQol EQ-HWB/EQ-5D-5L paper and Busschbach coauthorship, but the record is substantially dominated by unrelated composting, food science, phytochemistry, agriculture, and an oil-and-gas paper, indicating name-collision contamination.",Guangjie Zhang,0000-0003-1311-8510,Murdoch University,,71,1758-EO;1985-EO
Jahangir Khan,A5052565475,hold,"The Bangladesh health-economics work fits the value-set projects, but the profile also includes several unrelated 2025 AI/cybersecurity and medical-imaging papers plus much older Pakistan biomedical work. This is substantial name-collision contamination, so it is not a safely coherent identity.",Jahangir Khan,0000-0002-6151-764X,Liverpool School of Tropical Medicine,,125,1669-VS;2480-EO
James Shaw,A5055862397,hold,"The EQ-5D valuation and health-economics record fits James W. Shaw, but the profile also contains clearly incompatible 1926–77 endocrine/pancreatic works and a sizeable criminal-justice thread. These indicate substantial name-collision contamination, preventing safe inclusion as one coherent profile.",James W. Shaw,0000-0002-7019-3720,Bristol-Myers Squibb (United States),Takeda Pharmaceuticals,156,
Jiyoung Park,A5100409602,hold,"This 261-work profile is substantially mixed: it combines fiber-optics, transport, corporate governance, music education, pharmacology, psychology and health work. It shows no EQ-5D-Y or psychometric record tying it safely to the project.",Jiyoung Park,0000-0003-1374-9187,,,,2450-RA
Josephine Walker,A5038317615,hold,"Although the name is similar, the record is chiefly a Bristol hepatitis C/HIV transmission and infectious-disease modelling portfolio, not EQ-5D valuation; it also contains incompatible 1925 and 1962–69 biomedical works, indicating substantial profile contamination.",Josephine G. Walker,0000-0002-9732-5738,At Bristol,,164,1732-VS
John Hartman,A5108501222,hold,"The selected profile is explicitly Karen Hartman, not John Hartman. Its social-work, library-guide, psychology, and cardiology record has no coherent connection to the GSK valuation-project evidence.",Karen Hartman,,,GSK,239,2016680;2016690;20180560
John Brazier,A5007276743,hold,"The health-economics and EQ-5D record is plausible, but the profile is substantially mixed: it includes 1874–77 Australian mollusc/taxonomy papers and a 2025 biochemistry meeting report, incompatible with the Sheffield health-economics identity.",John Brazier,0000-0001-8645-4780,Novartis (Switzerland),University of Sheffield,860,2014080;2016660;2016710
Juan Pedro Alonso,A5109481311,hold,"The chosen profile is María del Mar Alonso Montejo, not Juan Pedro Alonso. Its record concerns paediatric diabetes, neonatal care, thrombosis, and case reports, with no supplied evidence connecting it to the Argentina EQ-5D response-scale project.",María del Mar Alonso Montejo,,,,,2592-RA
Judith Bosmans,A5016039203,hold,"Although the modern record is a coherent Dutch health-economic portfolio relevant to EQ-5D valuation, it includes clearly incompatible historical works from 1974, 1982, 1988, and 1994 on fungi and other unrelated clinical topics. This is substantial name-collision contamination, so the profile is unsafe to include.",Judith E. Bosmans,0000-0002-1443-1026,Department of Health,,377,71-RA
Katie Page,A5103147397,hold,"The supplied person is Katie Page, but the profile display name is Karen Page, an incompatible given name. Its broad record is chiefly cardiac, pregnancy, cancer, and other clinical research; one hearing quality-of-life review is insufficient to establish it as the named researcher or the cognitive/visual-impairment project investigator.",Karen Page,0000-0001-9183-9175,University of Technology Sydney,,276,20180301
Kristina Ludwig,A5035184665,hold,"Although the Bielefeld EQ-5D valuation record matches, the profile includes incompatible 1965–69 food-emulsifier publications and a 2002 brain-injury paper, indicating name-collision contamination in the combined record.",Kristina Ludwig,0000-0002-4306-4667,Bielefeld University,"(1) Department of Health Economics & Health Care Management, School of Public Health, Bielefeld University, Germany; (2) EuroQol Research Foundation",46,1762-RA
Lan Gao,A5043687438,hold,"The Deakin health-economics and stroke portfolio partly fits the projects, but the profile also contains incompatible 2004–07 cardiac-anesthesia and traditional-Chinese-medicine works, showing name-collision contamination.",Lan Gao,0000-0001-9734-1140,Deakin University,,211,1771-RA;198-RA;2141-RA;2363-BT
Lars Ehlers,A5054828864,hold,"While the Danish EQ-5D-5L valuation publications fit the project, the profile also contains incompatible 1997 dementia, 1999 internet-history, 2000 intranet, and 2025 German bioterrorism works, indicating substantial merged-identity contamination.",Lars Holger Ehlers,0000-0001-6512-5566,Nordic School of Public Health,,310,20170401
Leida Lamers,A5091647381,hold,"The EQ-5D, Dutch tariff, health-economics works and relevant coauthors fit, but the record has substantial unrelated contamination: PEM electrolyzer engineering (2024), cardiac pump physiology (1983), and equine lameness studies.",Leida M. Lamers,,Institut für Forschung und Transfer,"Ministry of Health, Welfare and Sports",51,
Lina Maria Serna Higuita,A5022647682,hold,"Although the exact name and medical-informatics affiliation are present, the record is overwhelmingly renal/transplant/dialysis research with nephrology coauthors. It provides no clear EQ-5D, cancer distress, or PROMs connection to the supplied project.",Lina María Serna-­Higuita,0000-0001-5182-8295,Institute for Medical Informatics and Biostatistics,,228,2338-RA
Ling Jie Cheng,A5082193621,hold,"Recent EQ VAS and health-related quality-of-life work aligns, but the profile contains substantial incompatible name-collision material, including 2000 guinea-pig cholecystitis, 2006 microfluidics, 2009 sheep osteopenia, and 2012 rat studies.",Ling Jie Cheng,0000-0002-5338-578X,National University of Singapore,University of Oxford,150,1663-TVG;1961-EO;2078-RA;2246-EO;2267-EO;2329-RA;2531-EO;2605-RA
Mihir Gandhi,A5087601665,hold,"Although the Duke-NUS affiliation and several quality-of-life collaborations fit, the profile includes clearly unrelated 1979 veterinary xanthine-oxidase papers, 1994 renal cell biology, and diverse surgical/oncology records, indicating substantial name-collision contamination.",Mihir Gandhi,0000-0002-8902-2710,Duke-NUS Medical School,Duke-NUS Medical School,168,20170180;2224-RA;389-RA
Milad Karimi,A5076374306,hold,"The EQ-5D valuation papers and EuroQol coauthors fit, but the profile also contains a distinct cluster of mineral-extraction/electrochemistry papers plus unrelated leukemia and theology works. This is substantial mixed-identity contamination despite the relevant core.",Milad Karimi,0000-0002-5298-174X,Yazd University,,56,2016560;20190550
Min-Joo Woo,A5028665396,hold,"The chosen profile is named Woo-Jung Song, not Min-Joo Woo, and its extensive record is focused on asthma, chronic cough, and respiratory medicine rather than EQ-5D valuation. The name and research record are incompatible.",Woo‐Jung Song,0000-0002-4630-9922,,,,2013020
Minghui Li,A5100400064,hold,"Although the profile contains Chinese EQ-5D and EQ-VT work, it has substantial incompatible contamination: 2025 robotics, recommendation systems, prompt-injection papers, plus earlier philosophy, geology, and law works.",Minghui Li,0000-0003-3673-5925,,University of Tennessee,,2016580;20180620
Minh Pham,A5077706356,hold,"The profile is for Phạm Minh Khuê, not Minh Pham, at Hai Phong University of Medicine and Pharmacy; its record centers on HIV, hepatitis, tuberculosis, and health literacy, not the supplied EuroQol work.",Phạm Minh Khuê,0000-0003-2974-3484,Hai phong University Of Medicine and Pharmacy,,131,1970-RA;2136-TVG;2305-BT
Nan Luo,A5064398143,hold,"Although the NUS affiliation and several EQ-5D valuation papers fit, the record has substantial unrelated contamination: synthetic-cell biology, biosensor immunoassay, navigation, and highly cited cancer-immunology papers. This is not a safely coherent single profile.",Nan Luo,0000-0001-7980-6979,National University of Singapore,National University of Singapore,477,128-RA;1504-RA;1505-RA;1517-RA;1522-RA;1535-RA;1599-RA;1608-RA;1738-TVG;1741-RA;180-RA;1818-RA;188-RA;2012060;2014100;2015220;2015410;2016010;2016070;2016130;2016230;2016290;2016310;2016600;20170330;20170430;20170450;20170460;20170640;20180060;20180160;20180250;20180270;20180600;2019-EO;20190010;20190600;20190820;20190830;2120-RA;2176-RA;2222-EO;232-RA;2362-BT;2418-BT;2451-RA;2455-PHD;274-RA;320-VS;321-VS;364-RA;402-RA;439-PHD;69-RA;76-RA
Ning Yan Gu,A5063972558,hold,"Although several EQ-5D and health-economics works fit the projects, this profile is substantially mixed: it also contains unrelated blind signal-processing papers, a 1997 dementia paper, and other incompatible records. It is not safe to treat as one coherent identity.",Ning Yan Gu,0000-0002-1250-7605,Exact Sciences (United States),University of San Francisco,84,246-RA;358-RA;409-RA;84-RA
Pedro Ferreira,A5048178253,hold,"Although Pedro Lopes Ferreira has a plausible Portuguese health/QoL core, this 347-work profile has substantial incompatible name-collision material: 2025 vehicle re-identification, Mozambique conflict, cardiac-device infection corrigendum, and a FeCo alloy paper. These unrelated fields prevent safe inclusion.",Pedro Lopes Ferreira,0000-0002-9448-9542,University of Lisbon,,349,2015110
Philip Clarke,A5072230333,hold,"Although the Melbourne health-economics and EQ-5D/UKPDS work fits, the profile also contains clearly incompatible 1955 nutrition, 1969 metrology, and 1977/1979 neutron-diffraction works. These constitute substantial name-collision contamination.",Philip Clarke,0000-0002-7555-5348,The University of Melbourne,,501,118-RA;1415-RA;310-RA
Rachel Tan,A5047279366,hold,"The profile has a strong EQ-5D/HRQoL cluster with Nan Luo and Michael Herdman, but also includes clearly unrelated consumer-marketing and immunology records, indicating substantial same-name profile contamination.",Rachel Lee-Yin Tan,0000-0002-4610-1195,,IQVIA,37,
Richard Brooks,A5112107099,hold,"Although it includes seminal EuroQol/EQ-5D publications, the profile is substantially mixed with unrelated legal, political-history, philosophy, planning, and regional-economics records, so it is unsafe as one identity.",Richard Brooks,,Guiyang Medical University,Retirement Association,66,
Ruixuan Jiang,A5049026946,hold,"Merck affiliation and several EQ-5D/health-economics works fit, but the record has substantial incompatible contamination: 2026 subglacial-radar datasets plus 2000–2006 leukemia, selenium/adenoma, and genetic-polyp publications. These form a distinct, implausible research identity.",Ruixuan Jiang,0000-0003-1737-2989,"Merck & Co., Inc., Rahway, NJ, USA (United States)","Merck & Co., Inc.,",58,
Shunya Ikeda,A5064794823,hold,"Although the profile includes Japanese EQ-5D valuation papers, it has substantial apparent name-collision contamination: unrelated CAR-T, oral microbiology, ICU, audiology, nursing, and 1970s–1990s works alongside the health-economics record.",Shunya Ikeda,0000-0002-1866-2155,Hiroshima University,,300,2013140;2014040
Sun Sun,A5081188742,hold,"Although it contains relevant EQ-5D work with Burstrom and Lindholm, this generic-name profile has substantial incompatible contamination: smart grids, microgrids, wireless communications, superconductivity, database design, and video generation alongside the health record.",Sun Sun,0000-0001-5948-3025,,Parexel/Umeå University,,1561-RA
Thao Thai,A5050171927,hold,"Name is compatible, but the 8-work record is 2018–2020 Vietnamese HIV, dengue, cardiovascular and media research, with no EQ-HWB, psychometric, mental-health, Australian, or supplied-project connection.",Thao Phuong Thi Thai,,,,8,1797-RA;1887-RA;1896-RA
Xin Zhang,A5100427821,hold,"Profile is Lixin Zhang, not Xin Zhang, and is dominated by plant biology, natural products, genomics, and unrelated highly heterogeneous works; it provides no coherent EQ-5D/atopic-dermatitis research identity.",Lixin Zhang,0000-0003-0894-9520,University of Science and Technology Liaoning,,1125,1972-RA;2649-EO
Yan Feng,A5053760337,hold,"Although the name can be reordered as Feng Yan, the reported affiliation is a Chinese hydrology laboratory and the record centers on neurology, hemorrhage, and molecular cancer research, not QMUL health economics or EQ-5D valuation.",Feng Yan,0000-0001-8663-6859,State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering,Queen Mary University of London,545,1650-RA;2015090;2015330;2016330;20180740
Yap Xin Yi,A5058382403,hold,"Profile name Yajun Yi is incompatible with Yap Xin Yi. Its dominant record is molecular oncology/prostate and head-and-neck cancer, with older unrelated biomedical works; the single EQ-TIPS conference abstract is insufficient amid substantial name-collision contamination.",Yajun Yi,0000-0002-7135-6325,Beijing Children’s Hospital,,79,2290-EO
Yiting Luo,A5101270824,hold,"This 52-work profile is substantially mixed and overwhelmingly unrelated to health-outcomes research: wireless localization, nonlinear optical crystals, hydrogels, biosensing, business, and materials work. One paediatric HRQoL review cannot safely identify it with the EQ-5D climate and valuation researcher.",Yiting Luo,,Anhui Polytechnic University,,52,1867-RA;2036-RA;2458-RA
Zhihao Yang,A5028809099,hold,"Although 71 works concern EQ-5D/EQ-HWB and the Guiyang Medical University affiliation matches, the profile has substantial collision contamination: 2010-14 civil/geotechnical and coal-reservoir papers plus 2026 molecular-property and marine-phytoplankton papers are unrelated to the EuroQol record.",Zhihao Yang,0000-0001-5468-0847,Guiyang Medical University,Guizhou Medical University,108,1485-RA;1534-EO;1598-RA;1941-RA;20180070R1;20180230;20180610;20190150R1;20190151;20190370;20190900;20191020;215-2020RA;2180-RA;221-RA;2225-BT;2276-RA;2348-BT;353-RA;456-RA;75-EO;92-2020RA
