review_scope,name,chosen_id,chosen_name,orcid,affiliation,member_affiliation,qa_decision,qa_reason,additional_profile_ids_held,alternatives,project_ids
additional_profile_ids,Wolfgang Greiner,A5001823062,Wolfgang Greiner,0000-0001-9552-6969,Bielefeld University,Bielefeld University,accept,"Exact-name Bielefeld University profile includes the German EQ-5D-5L value set, EQ-5D-Y development and validation, and extensive health-economics work, directly matching the supplied EuroQol projects.",A5076750502,A5076750502=Wolfgang Greiner(4 eq),1603-RA;2012020;2013200;2014030;2014160;2015200;2016530;20170020;20180010;20180260;20180510;2433-RA
additional_profile_ids,Elly Stolk,A5033903811,Elly Stolk,0000-0001-5968-0416,,EuroQol Research Foundation,accept,"Exact-name profile is overwhelmingly focused on EQ-5D health-state valuation, DCEs, TTO, value-set quality control, and EQ-5D-Y work. Its leading coauthors and the Dutch tariff, international valuation protocol, and current EuroQol-instrument publications directly match the Foundation affiliation and listed projects.",A5078693305,A5078693305=EA Stolk(5 eq),1721-RA;1761-EO;2013090;2013300;2014060;2015430;2016410;2138-TR;2219-PCG;2262-RA;2644-EO
additional_profile_ids,Jennifer Jelsma,A5064611767,Jennifer Jelsma,0000-0003-4049-8395,University of Cape Town,University of Cape Town,accept,"Exact name and University of Cape Town affiliation; extensive coherent rehabilitation and child HRQoL record includes EQ-5D-Y development, validation, and recent EQ-TIPS work, directly matching the supplied Youth projects.",A5139685966,A5139685966=Jennifer Jelsma(3 eq),1713-RA;2013110;2014200;2016120;2016180;20170250;20170540;20170650;20190030;20190500;20191210
primary_binary_qa;additional_profile_ids,Bas Janssen,A5020933378,Mathieu F. Janssen,0000-0001-6602-6949,Erasmus MC,,hold,"The profile is for Mathieu F. Janssen, not Bas Janssen. Although its extensive EQ-5D research fits the project evidence, the incompatible given name prevents safe attribution.",A5111827091,A5111827091=Bas Janssen(37 eq); A5058167663=MF Bas Janssen(1 eq),155-RA;157-RA;2012040;2015450;2016620;20170600;240-RA;2594-RA;458-RA;461-RA
additional_profile_ids,Simon Pickard,A5058888906,A. Simon Pickard,0000-0001-5645-7091,University of Illinois Chicago,University of Illinois - Chicago,accept,"A. Simon Pickard at University of Illinois Chicago has a coherent HRQL and health-economics record, with numerous directly relevant EQ-5D valuation, measurement, population-norm, and youth-preference works matching the supplied projects.",A5103487818,A5103487818=AS Pickard(21 eq),2014130;2015190;2016090;2016210;2016470;20180080;20180520;20190360;20190410;20190800
additional_profile_ids,Juan M. Ramos-Goñi,A5047957689,Juan Manuel Ramos-Goñi,0000-0002-9568-5190,SGH Warsaw School of Economics,Maths in Health,accept,"Juan Manuel Ramos-Goñi's profile is directly aligned: extensive EQ-5D valuation, protocol, quality-control, population-norm, and utility-calculation work, with EuroQol valuation coauthors, matches his Maths in Health affiliation and listed valuation/tool projects.",A5049678494,A5049678494=Juan Manuel Ramos Goñi(9 eq); A5136612135=Juan M. Ramos-Goñi(1 eq),2013320;2014210;2016430;2016510;2016610;20170310R2;2588-TR;450-RA;74-RA
primary_binary_qa,Ling Jie Cheng,A5082193621,Ling Jie Cheng,0000-0002-5338-578X,National University of Singapore,University of Oxford,hold,"Recent EQ VAS and health-related quality-of-life work aligns, but the profile contains substantial incompatible name-collision material, including 2000 guinea-pig cholecystitis, 2006 microfluidics, 2009 sheep osteopenia, and 2012 rat studies.",,A5002268768=Ling Cheng(1 eq); A5100430876=Xi Zhang(6 eq),1663-TVG;1961-EO;2078-RA;2246-EO;2267-EO;2329-RA;2531-EO;2605-RA
additional_profile_ids,Zhuxin Mao,A5002022038,Zhuxin Mao,0000-0002-7444-1584,University of Antwerp,University of Antwerp,accept,"Exact name and University of Antwerp affiliation, with a coherent health-economics and health-related quality-of-life record. Multiple EQ-5D/EQ-HWB China studies directly match the supplied EuroQol projects, and frequent collaborators include Antwerp health-economics researchers. The older agricultural papers are a limited early cluster, not enough to outweigh the strong matching record.",A5123300040,A5116549914=Zhuxin Mao(1 eq); A5123300040=Zhuxin Mao(2 eq),103-RA;1580-RA;1588-RA;20190990;20191000;2084-RA;2422-RA;398-RA
additional_profile_ids,Maja Kuharic,A5007210675,Maja Kuharić,0000-0003-3696-9086,Northwestern University,Northwestern University,accept,"The Northwestern University affiliation matches exactly, and the record contains multiple core EQ-HWB publications: its development, item validation, comparison with EQ-5D, and studies in Italian and US caregiver populations. Coauthors include established EQ-HWB collaborators.",A5137004902;A5139409824,A5060066674=Bruce W. Sherman(1 eq); A5137004902=Maja Kuharic(2 eq); A5139409824=Maja Kuharic(2 eq),1514-RA;1811-RA;1915-RA;2037-RA;2040-RA;2042-RA;414-PHD
additional_profile_ids,Nick Bansback,A5052496992,Nick Bansback,0000-0002-1510-3462,Providence Health Care,School of Population and Public Health,accept,"Exact name and a coherent Canadian health-economics, PROMs, shared decision-making, and utility-valuation record. It includes the Canadian EQ-5D-5L value set, discrete-choice utility work, and collaboration with EuroQol researchers including Nancy Devlin and John Brazier.",A5108322539,A5108322539=Nick Bansback(3 eq),1624-EO;1880-TVG;2013290;2015040;2016030;20190470;2133-TVG
additional_profile_ids,Bernhard Michalowsky,A5088093819,Bernhard Michalowsky,0000-0002-3425-0089,,"German Center for Neurodegenerative Diseases (DZNE), Greifswald, Germany & McMaster University, Hamilton, Canada",accept,"Exact name and a highly coherent dementia, caregiver, psychometric, health-economic, and German care-research portfolio, directly consistent with the listed EQ-5D dementia and ataxia projects.",A5113279604,A5113279604=Bernhard Michalowsky(4 eq),152-RA;1592-RA;1791-RA;2002-RA;244-RA;349-RA
additional_profile_ids,Eleanor Pullenayegum,A5029465719,Eleanor Pullenayegum,0000-0003-4265-1330,University of Toronto,The Hospital for Sick Children,accept,"Exact-name profile coherently matches a SickKids/University of Toronto health economist-methodologist. It includes EQ-5D-5L Canada and US valuation papers, health-utility modelling, and repeated valuation-focused work with Feng Xie; varied clinical studies fit a biostatistical collaboration portfolio.",A5023955515,A5023955515=E. Pullenayegum(7 eq),109-RA;2015130;2015140;20190270;20190430;2340-RA
additional_profile_ids,Lidia Engel,A5039737173,Lidia Engel,0000-0002-7959-3149,Australian Regenerative Medicine Institute,Monash University,accept,"Exact-name profile coherently matches her Monash health-economics and PROMs work: EQ-HWB development, caregiver spillovers, aged-care research, and frequent collaboration with Mulhern, McCaffrey, and other relevant researchers.",A5126529010,A5117412550=Lidia Engel(1 eq); A5126529010=Lidia Engel(8 eq); A5133152037=Lidia Engel(1 eq),1481-PHD;150-RA;2008-RA;20190960;2173-RA;2453-RA
primary_binary_qa,Alice Yu,A5055148154,Alice L. Yu,0000-0003-2444-0505,Chang Gung University,Centre for Health Economics and Research Evaluation (CHERE),hold,"This is a Chang Gung University molecular-oncology profile dominated by neuroblastoma, anti-GD2 immunotherapy, glycosylation, and leukemia research. It is incompatible with the CHERE member's EQ-5D valuation, DCE, and EQ-HWB project record.",,,1888-RA;1890-RA;20180150;2335-RA;2584-RA
additional_profile_ids,Jan Busschbach,A5020122364,Jan J.V. Busschbach,0000-0002-8602-0381,Erasmus MC,Erasmus MC,accept,"Exact name, Erasmus MC affiliation, and extensive EQ-5D research align directly with the member and valuation-project evidence. Key works cover EQ-5D-5L/3L measurement, interim scoring, Dutch tariff and valuation studies; the wider transplant and mental-health portfolio remains coherent with HRQoL research.",A5136664917,A5136664917=Jan Busschbach(2 eq),2013240;2015230;2016040;2016421;20170160
primary_binary_qa,Yan Feng,A5053760337,Feng Yan,0000-0001-8663-6859,State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering,Queen Mary University of London,hold,"Although the name can be reordered as Feng Yan, the reported affiliation is a Chinese hydrology laboratory and the record centers on neurology, hemorrhage, and molecular cancer research, not QMUL health economics or EQ-5D valuation.",,,1650-RA;2015090;2015330;2016330;20180740
additional_profile_ids,Aureliano Finch,A5055927783,Aureliano Paolo Finch,0000-0003-1438-321X,EuroQol Research Foundation,"EuroQol Office, EuroQol Research Foundation",accept,"Exact expanded name and EuroQol Research Foundation affiliation. The research record is strongly and specifically EuroQol-focused, with EQ-5D bolt-on, EQ-5D-Y, and Italian EQ-5D-5L valuation publications that directly match the listed projects.",A5101780892;A5128721368,A5101780892=Aureliano Paolo Finch(6 eq); A5132652328=Aureliano Finch(1 eq); A5128721368=Aureliano Finch(2 eq),122-RA;1927-RA;20170210;20190460
additional_profile_ids,Elske van den Akker-van Marle,A5032469209,M. Elske van den Akker‐van Marle,0000-0002-5269-509X,Leiden University Medical Center,,accept,"The distinctive full-name profile and Leiden University Medical Center affiliation match. Its coherent health-economics, quality-of-life, preference, cost-effectiveness, and value-based-healthcare portfolio supports the supplied EQ-5D descriptive-systems and dementia/wellbeing research; clinical applications are consistent, not collision evidence.",A5018584587,A5018584587=Elske M van den Akker-van Marle(4 eq); A5098757921=M. Elske van den Akker – van Marle(1 eq),1447-RA;1792-SG;2408-RA;2420-BT
additional_profile_ids,Jia Jia Lee,A5050544932,Jia Jia Lee,0000-0001-7821-9131,,,accept,"The record contains EQ-5D-5L Singapore norms and health-related quality-of-life research in obesity, bariatric care, and children; this is coherent with the proposed EQ-HWB and EQ-5D-Y projects.",A5066191705;A5083334093,A5066191705=Beatrice Lee(2 eq); A5083334093=Kai Yi Lee(2 eq); A5100755625=Anna Lee(1 eq); A5037128541=Kyoung Suk Lee(1 eq); A5036716004=Huey-Er Lee(1 eq); A5014379458=Shaun Wen Huey Lee(1 eq); A5047279366=Rachel Lee-Yin Tan(1 eq); A5114057860=Yanni Jia(1 eq); A5072736104=Yung Seng Lee(1 eq); A5013850344=Nicole Kim Luan Lee(1 eq); A5077558407=P. Lee(1 eq); A5084226720=Misook L. Chung(1 eq); A5029678714=Eleena Shi Lynn Lee(1 eq); A5045869662=Chris Ban Loong Lee(1 eq); A5039183742=Shaun Qing Wei Lee(1 eq); A5086600809=Kheng Hock Lee(1 eq); A5014071868=Melanie Yee Lee Siaw(1 eq); A5044352202=Michelle Jia Xin Lee(1 eq); A5013704489=Joyce V. Lee(1 eq); A5115589358=Deborah Lee(1 eq); A5049216605=Sheldon Shao Guang Lee(1 eq); A5059757998=Kai Lee Woo(1 eq); A5050328284=Si Jia Lee(1 eq),1971-EO;2125-RA;2179-RA;2299-EO
primary_binary_qa,Lan Gao,A5043687438,Lan Gao,0000-0001-9734-1140,Deakin University,,hold,"The Deakin health-economics and stroke portfolio partly fits the projects, but the profile also contains incompatible 2004–07 cardiac-anesthesia and traditional-Chinese-medicine works, showing name-collision contamination.",,,1771-RA;198-RA;2141-RA;2363-BT
primary_binary_qa;additional_profile_ids,Ning Yan Gu,A5063972558,Ning Yan Gu,0000-0002-1250-7605,Exact Sciences (United States),University of San Francisco,hold,"Although several EQ-5D and health-economics works fit the projects, this profile is substantially mixed: it also contains unrelated blind signal-processing papers, a 1997 dementia paper, and other incompatible records. It is not safe to treat as one coherent identity.",A5088843664,A5088843664=Ning Yan Gu(3 eq),246-RA;358-RA;409-RA;84-RA
additional_profile_ids,Wenjing Zhou,A5080372262,Wenjing Zhou,0000-0003-0770-4564,,,accept,"Exact-name profile has repeated Busschbach and Herdman coauthorship and articles explicitly validating Chinese EQ-5D-Y, EQ-TIPS, EQ-5D-5L, and EQ-HWB-S in children and carers—a direct project match.",A5025879429;A5045524881,A5025879429=Huifen Zhou(2 eq); A5045524881=Zhou Wenjing(2 eq); A5101270720=Wenjing Zhou(1 eq); A5102868531=Huifen Zhou(1 eq); A5100733635=Zhou Ying(1 eq); A5033264921=Sisi Zhou(1 eq),1654-TVG;1742-EO;1874-TVG;2152-RA
additional_profile_ids,Andrew Lloyd,A5031114648,Andrew Lloyd,0000-0002-7597-6556,Lloyd's,Acaster Lloyd,accept,"A large, coherent health-utility and EQ-5D portfolio—including EQ-5D-5L development, interim scoring, EQ-5D cancer utilities, and ISPOR utility-method reports—matches the Acaster Lloyd affiliation and all three EuroQol projects.",A5004304607;A5079822735,A5004304607=Andrew R. Lloyd(10 eq); A5079822735=Andrew W. Lloyd(2 eq),1475-RA;1806-RA;20190510
additional_profile_ids,Jan Abel Olsen,A5052181611,Jan Abel Olsen,0000-0001-9472-2669,UiT The Arctic University of Norway,"Department of Community Medicine, UiT The Arctic University of Norway",accept,"Exact name and UiT affiliation align with the supplied member evidence. The dominant record is health economics, preferences, QALYs, EQ-5D-5L and quality-of-life inequalities, with coauthors Paul Dolan, Jeff Richardson and Gang Chen; it directly supports the listed EQ-5D projects.",A5125645599,A5110162663=Jan-Abel Olsen(1 eq); A5125645599=Jan Abel Olsen(2 eq),1830-RA;1973-TVG;2295-RA
primary_binary_qa,John Brazier,A5007276743,John Brazier,0000-0001-8645-4780,Novartis (Switzerland),University of Sheffield,hold,"The health-economics and EQ-5D record is plausible, but the profile is substantially mixed: it includes 1874–77 Australian mollusc/taxonomy papers and a 2025 biochemistry meeting report, incompatible with the Sheffield health-economics identity.",,,2014080;2016660;2016710
primary_binary_qa,John Hartman,A5108501222,Karen Hartman,,,GSK,hold,"The selected profile is explicitly Karen Hartman, not John Hartman. Its social-work, library-guide, psychology, and cardiology record has no coherent connection to the GSK valuation-project evidence.",,,2016680;2016690;20180560
primary_binary_qa;additional_profile_ids,Mihir Gandhi,A5087601665,Mihir Gandhi,0000-0002-8902-2710,Duke-NUS Medical School,Duke-NUS Medical School,hold,"Although the Duke-NUS affiliation and several quality-of-life collaborations fit, the profile includes clearly unrelated 1979 veterinary xanthine-oxidase papers, 1994 renal cell biology, and diverse surgical/oncology records, indicating substantial name-collision contamination.",A5112963139,A5112963139=Mihir Gandhi(4 eq),20170180;2224-RA;389-RA
primary_binary_qa,Minh Pham,A5077706356,Phạm Minh Khuê,0000-0003-2974-3484,Hai phong University Of Medicine and Pharmacy,,hold,"The profile is for Phạm Minh Khuê, not Minh Pham, at Hai Phong University of Medicine and Pharmacy; its record centers on HIV, hepatitis, tuberculosis, and health literacy, not the supplied EuroQol work.",,A5100633569=Ngoc Minh Pham(1 eq),1970-RA;2136-TVG;2305-BT
primary_binary_qa,Philip Clarke,A5072230333,Philip Clarke,0000-0002-7555-5348,The University of Melbourne,,hold,"Although the Melbourne health-economics and EQ-5D/UKPDS work fits, the profile also contains clearly incompatible 1955 nutrition, 1969 metrology, and 1977/1979 neutron-diffraction works. These constitute substantial name-collision contamination.",,A5043755237=Graham Clarke(1 eq); A5101846816=Philip A. Clarke(1 eq),118-RA;1415-RA;310-RA
additional_profile_ids,Shankar Prinja,A5071690494,Shankar Prinja,0000-0001-7719-6986,Post Graduate Institute of Medical Education and Research,,accept,"PGIMER health-economics and health-systems profile is strongly coherent with the India valuation projects. It includes the exact 2022 Value in Health article developing the Indian EQ-5D-5L value set, alongside India-focused economic evaluation and healthcare financing work.",A5108973227,A5108973227=Shankar Prinja(3 eq),20170520;2033-RA;2220-VS
primary_binary_qa,Thao Thai,A5050171927,Thao Phuong Thi Thai,,,,hold,"Name is compatible, but the 8-work record is 2018–2020 Vietnamese HIV, dengue, cardiovascular and media research, with no EQ-HWB, psychometric, mental-health, Australian, or supplied-project connection.",,,1797-RA;1887-RA;1896-RA
primary_binary_qa,Yiting Luo,A5101270824,Yiting Luo,,Anhui Polytechnic University,,hold,"This 52-work profile is substantially mixed and overwhelmingly unrelated to health-outcomes research: wireless localization, nonlinear optical crystals, hydrogels, biosensing, business, and materials work. One paediatric HRQoL review cannot safely identify it with the EQ-5D climate and valuation researcher.",,A5102541048=Yiting Luo(1 eq),1867-RA;2036-RA;2458-RA
additional_profile_ids,madeeha malik,A5053689562,Madeeha Malik,0000-0001-5824-9405,Health Services Academy,,accept,The profile is a Pakistan-based pharmaceutical policy and outcomes researcher and includes the 2025 Pakistani stakeholder study on measuring and valuing child/adolescent health-related quality of life. This directly aligns with her Pakistan EQ-5D/EQ-5D-Y valuation projects.,A5101765730,A5101765730=Madeeha Malik(3 eq),1670-VS;20180660;344-VS
primary_binary_qa,Akanksha Akanksha,A5101596594,Akanksha Akanksha,,University of Technology Sydney,,hold,"The profile is substantially mixed: alongside two relevant EQ-HWB/QALY works, it contains extensive unrelated chemistry, medicinal-plant, engineering, coal, and glaciology publications. This is substantial name-collision contamination and cannot safely identify the EuroQol researcher.",,A5100727879=Ajay Singh(7 eq),1799-RA;2511-RA
additional_profile_ids,Ben Van Hout,A5032690231,Ben van Hout,0000-0001-9698-6094,The Open Group,Open Health/University of Sheffield,accept,"Ben van Hout matches the supplied name and has a coherent health-economics and EQ-5D valuation record. Key works include the England EQ-5D-5L value set and international valuation protocols, directly consistent with both Valuation projects.",A5061316225,A5061316225=Ben A. van Hout(9 eq),2014025;20190940
additional_profile_ids,Christine Mpundu-Kaambwa,A5020619329,Christine Mpundu‐Kaambwa,0000-0002-8152-6068,The University of Melbourne,,accept,"Exact distinctive name and University of Melbourne affiliation match a paediatric health-related quality-of-life and health-economics record. Her work on EQ-5D-Y child/proxy agreement, pictorial paediatric PRO approaches, and EQ-5D-Y value-set choice directly supports both listed Youth/Valuation projects.",A5057576997,A5057576997=Billingsley Kaambwa(4 eq),1709-RA;2129-RA
primary_binary_qa,David Mott,A5009132187,David Mott,0000-0001-5959-8447,University of Wisconsin–Madison,Office of Health Economics,hold,"Although the recent health-economics and EQ-5D-Y work matches the projects, the profile also contains a distinct 1983–98 CT imaging and radiotherapy publication record. That unrelated body of work is substantial name-collision contamination.",,A5089519347=David A. Mott(1 eq),104-RA;432-RA
primary_binary_qa,Edward Webb,A5011344482,Edward Webb,0000-0001-7918-839X,University of Leeds,University of Leeds,hold,"Although the Leeds affiliation and some EQ-5D valuation work fit, the 60-work profile is materially mixed: it includes Classical Review publications from 1897–99, a 1958 forecasting dissertation, and a 2011 Turkish national-history paper, clear name-collision contamination.",,,2316-RA;289-RA
