record_id,title,production_batch,production_outcome,production_code,production_reason,audit_batch,audit_outcome,audit_code,audit_reason,outcome_agreement
P1141d34456d2,Implementability of a co-designed programme to increase tailored exercise to reduce falls in older people from culturally and linguistically diverse communities: protocol for a pilot randomised controlled trial.,batch-0030,exclude,E4,[E4] This protocol evaluates feasibility and implementation of an exercise intervention to reduce falls.,batch-0001,exclude,E4,[E4] This trial protocol evaluates the feasibility and implementation of a falls exercise program rather than a health measure.,true
Pc31cae779c4c,Balancing safety and effectiveness: parent preferences for fecal microbiota transplant and established therapies in pediatric inflammatory bowel disease-results of a multicenter Canadian study.,batch-0019,exclude,E3,"[E3] The DCE examines parent preferences and trade-offs among pediatric IBD therapies, including fecal microbiota transplant.",batch-0001,exclude,E3,[E3] The DCE elicits parent preferences for pediatric inflammatory bowel disease treatments and their safety and effectiveness attributes.,true
P8e8d3be1c8da,Economic Evaluation of Including Biomarker Testing in the Biologic Therapy Withdrawal Decision-Making Process in Non-Systemic Juvenile Idiopathic Arthritis: The International UCAN CAN-DU and CURE Study,batch-0062,exclude,E2,[E2] This health-economic model compares biomarker-guided biologic withdrawal using costs and QALYs as model results.,batch-0001,exclude,E2,[E2] QALYs are outcomes in a cost-effectiveness model of biomarker-guided withdrawal of biologic therapy.,true
P72cba429f618,"Epidemiology and economic burden of medically attended influenza and influenza-like illness in Germany, 2016-2019.",batch-0012,exclude,E4,"[E4] This claims-based study reports influenza epidemiology, healthcare use, and direct costs rather than measurement or valuation research.",batch-0001,exclude,E4,"[E4] The study estimates influenza incidence, complications, resource use, and direct costs rather than measurement or valuation methods.",true
Pd0b5ec0069a5,Distribution Patterns and Assembly Mechanisms of Rhizosphere Soil Microbial Communities in Schisandra sphenanthera Across Altitudinal Gradients,batch-0078,exclude,E4,[E4] This is an environmental microbiology study of rhizosphere community ecology.,batch-0001,exclude,E4,[E4] The article concerns rhizosphere microbial ecology and is unrelated to health measurement or health-state valuation.,true
P7e0c4874b507,"ESG Performance, Debt Financing, and R&amp;D Output: Evidence From the Healthcare Sector",batch-0013,exclude,E4,"[E4] This econometric study examines ESG performance, debt financing, and firm R&D output.",batch-0001,exclude,E4,"[E4] The article studies ESG performance, debt financing, and corporate research output rather than health measurement or valuation.",true
P0cfe6556573a,Translating potential improvement in the precision and accuracy of lung nodule measurements on computed tomography scans by software derived from artificial intelligence into impact on clinical practice—a simulation study,batch-0094,exclude,E4,"[E4] This simulation assesses AI-assisted lung-nodule measurement for clinical management, not health measurement or valuation.",batch-0001,exclude,E4,"[E4] The simulation evaluates anatomical lung-nodule measurement for clinical diagnosis and management, not health or wellbeing measurement.",true
P064e7fbc3f47,Seizing the silent vision loss: cost-utility analysis of population-based glaucoma screening in India.,batch-0027,exclude,E2,[E2] Cost-utility model uses QALYs to evaluate alternative glaucoma screening strategies.,batch-0001,exclude,E2,[E2] The study is a cost-utility model of glaucoma screening in which QALYs are economic evaluation results.,true
Pc21e7607529b,Health Utility Decrements Associated With Social Isolation and Loneliness: Evidence From Australian Longitudinal Data,batch-0075,exclude,E1,[E1] SF-6D utility is an outcome used to estimate the association of social isolation and loneliness with health utility.,batch-0001,exclude,E1,[E1] SF-6D utilities are outcomes used to estimate the burden associated with social isolation and loneliness.,true
Pe5090fcec6ca,Cost-Effectiveness of Community-Based Interventions for Hypertension Prevention and Management: A Protocol,batch-0083,exclude,E2,[E2] Protocol for a systematic review of cost-effectiveness evidence on community hypertension interventions.,batch-0002,exclude,E2,"[E2] This protocol concerns a systematic review of economic evaluations of hypertension interventions, not measurement or valuation methods.",true
P678376fbdea1,Enhancing Continuous Medication Safety Through e-Prescription and Clinical Decision Support Systems in Outpatient Practices and Pharmacies: Protocol for a Multiperspective Study (eRIKA Study).,batch-0010,exclude,E4,"[E4] Protocol evaluates a medication-safety intervention using clinical, economic, and implementation outcomes.",batch-0002,exclude,E4,"[E4] The protocol evaluates a medication-safety service through clinical, economic, and implementation outcomes rather than health measurement.",true
Pebd4ed8d0226,Charting the path to better diabetes outcomes: Revealing psychosocial influences on medication adherence through the information-motivation-behavioral skills model among adults with type 2 diabetes,batch-0085,exclude,E4,"[E4] This cross-sectional study examines psychosocial determinants of medication adherence and glycaemic control, not health measurement or valuation.",batch-0002,exclude,E4,[E4] The study models psychosocial factors associated with medication adherence and glycemic control rather than a health measure.,true
P5ef1ae01f406,How does an intervention work?—English Version,batch-0050,exclude,E4,"[E4] This methodological discussion concerns effectiveness research for a pain-therapy intervention, not health measurement or valuation.",batch-0002,exclude,E4,"[E4] The article describes methods for explaining how a complex pain intervention works, not health measurement or valuation.",true
P240c0e07412d,Disease activity trajectories in juvenile dermatomyositis from childhood to adulthood,batch-0100,exclude,E4,"[E4] This clinical cohort identifies juvenile dermatomyositis disease-activity trajectories and predictors, not a measurement method.",batch-0002,exclude,E1,[E1] The disease activity score is used to identify clinical trajectories and treatment response rather than evaluated as an instrument.,true
Pec33a491c709,Single and combined anti-COVID-19 drugs among hospitalised patients: abridged secondary publication.,batch-0085,exclude,E5,[E5] The supplied abstract is only a repeated title and provides no usable article information for screening.,batch-0002,exclude,E5,[E5] The abstract only repeats the title and provides no usable article abstract for assessing the central object.,true
Pa33c02db507d,"Predictors of physical activity among pregnant women in Harare, Zimbabwe",batch-0067,exclude,E1,[E1] EQ-5D-5L is one questionnaire among covariates in a study of physical-activity predictors in pregnancy.,batch-0002,exclude,E1,[E1] EQ-5D-5L is one questionnaire used to study predictors of physical activity in pregnant women.,true
P066d33efcffd,Lower Extremity Tendinopathies are Associated with Metabolic and Chronic Diseases: A Systematic Review,batch-0092,exclude,E4,"[E4] This systematic review examines associations between tendinopathies and chronic diseases, not health measurement or valuation.",batch-0002,exclude,E4,[E4] The review assesses associations between tendinopathies and chronic diseases rather than health measurement or valuation.,true
P15dc10ceedc2,Exploring the impact of virtual reality-based mathematics learning on students' motivation: Protocol for a systematic review and meta-analysis.,batch-0031,exclude,E5,"[E5] This is a protocol for a future systematic review, not a completed eligible article abstract.",batch-0002,exclude,E4,[E4] This education review protocol concerns virtual-reality mathematics learning and is outside health measurement and valuation.,true
Pe6ce40f447b0,Polysomnographic titration of non-invasive ventilation in motor neurone disease (3TLA): study protocol for a randomised controlled trial,batch-0083,exclude,E1,"[E1] Trial protocol evaluates NIV titration in motor neurone disease, with patient-reported outcomes only as study outcomes.",batch-0002,exclude,E1,[E1] Patient-reported measures are trial outcomes in a protocol testing assisted ventilation titration rather than measurement objects.,true
P4e46e06eccbf,Assessing the association of physical distancing to avoid COVID-19 with health-related quality of life in immunocompromised adolescents: results from the cross-sectional observational EAGLE study,batch-0008,exclude,E1,"[E1] EQ-5D, PedsQL, and related measures are outcomes for assessing physical-distancing associations.",batch-0002,exclude,E1,"[E1] HRQoL, EQ-5D utility, and related measures are outcomes used to study physical distancing among immunocompromised adolescents.",true
Pbd748226e344,Feasibility Study for Implementing Disease‐Modifying Therapies in Alzheimer's Disease: Process Measures and Patient Pathways across Ireland,batch-0073,exclude,E4,"[E4] This feasibility protocol studies service pathways for Alzheimer therapies, not a health measurement or valuation method.",batch-0002,exclude,E4,[E4] The feasibility study maps service pathways for implementation of Alzheimer therapies rather than health measurement.,true
Pb55941750683,Exploring the potential relationships between idiopathic scoliosis and various multifactorial diseases: a systematic scoping review.,batch-0072,exclude,E4,"[E4] This scoping review concerns idiopathic scoliosis comorbidities, not health measurement or valuation.",batch-0002,exclude,E4,[E4] The review synthesizes comorbid conditions associated with scoliosis and does not study health measurement or valuation.,true
P937fa69f768e,Australian parents' perspectives on extended genomic screening: what information to return and when?,batch-0015,exclude,E4,"[E4] This qualitative study explores parents' genomic-screening information and consent preferences, not a health measure or valuation method.",batch-0002,exclude,E4,"[E4] Focus groups examine parent views about returning genomic screening information, not a health measurement instrument.",true
Pc87f361243fb,Development and Validation of a Risk Prediction Model to Identify Women With Chronic Obstructive Pulmonary Disease for Proactive Palliative Care.,batch-0076,exclude,E4,[E4] Develops a clinical mortality prediction model to target COPD palliative-care referrals.,batch-0002,exclude,E4,"[E4] The article develops a clinical mortality risk model to guide palliative referrals, not a health or wellbeing measure.",true
P0949b2a72add,The Reporting Quality of Machine Learning Studies on Pediatric Diabetes Mellitus: Systematic Review.,batch-0093,exclude,E4,"[E4] This review assesses reporting standards for pediatric-diabetes machine-learning studies, not health measurement or valuation.",batch-0002,exclude,E4,[E4] The review evaluates reporting quality in pediatric diabetes machine-learning studies rather than a health measurement method.,true
P741e46b11a50,Heterogeneity in clinical judgment of septal lead position and capture type in left bundle branch area pacing,batch-0056,exclude,E4,"[E4] This study evaluates ECG judgment and QRS-area for cardiac pacing capture, not health measurement or health-state valuation.",batch-0002,exclude,E4,"[E4] The study tests clinical ECG judgment of pacing capture and lead location, not health or wellbeing measurement.",true
P03721db290e9,"Optimising the diagnostic accuracy of First post-contrAst SubtracTed breast MRI (FAST MRI) through interpretation-training: a multicentre e-learning study, mapping the learning curve of NHS Breast Screening Programme (NHSBSP) mammogram readers using an enriched dataset",batch-0091,exclude,E4,[E4] This e-learning study evaluates reader training and diagnostic accuracy for breast MRI interpretation.,batch-0002,exclude,E4,[E4] The study evaluates training for diagnostic interpretation of breast MRI rather than health measurement or valuation.,true
Pa531f68e6efc,The Effect of Age on Improvement in Health‐Related Quality of Life After Percutaneous Coronary Intervention,batch-0016,exclude,E1,[E1] HRQoL instruments are used to measure outcomes of percutaneous coronary intervention by age group.,batch-0002,exclude,E1,[E1] The 15D and SAQ-7 scores are outcomes used to compare clinical improvement after PCI across age groups.,true
P8d3a3c95b73c,"Effects of urban greenspace on time to major adverse cardiovascular events among women with breast cancer in the US: Insights from the Greater Milwaukee, WI Area",batch-0062,exclude,E4,[E4] This cohort study estimates associations between urban greenspace and cardiovascular events among breast-cancer survivors.,batch-0002,exclude,E4,[E4] The study estimates the association of urban tree cover with cardiovascular events in breast cancer survivors.,true
Pd10a6328658f,Household indebtedness and multidimensional poverty: evidence from China,batch-0078,exclude,E4,"[E4] This econometric study concerns household debt and multidimensional poverty, not health measurement.",batch-0003,exclude,E4,[E4] The article examines household debt and multidimensional poverty rather than health measurement or health-state valuation.,true
Pcb5b70fbb68f,Number of people treated for hepatitis C virus infection in 2014-2023 and applicable lessons for new HBV and HDV therapies,batch-0077,exclude,E4,"[E4] This study estimates hepatitis C treatment uptake and policy lessons, with no health measurement or valuation research.",batch-0003,exclude,E4,[E4] The study estimates hepatitis C treatment uptake across countries and does not evaluate a health measure or valuation method.,true
P93fe1ea78431,Facilitators and barriers of public–private partnerships for universal health coverage in sub-Saharan Africa: a scoping review,batch-0063,exclude,E4,"[E4] This scoping review examines public-private partnerships and universal health coverage policy, not measurement or valuation.",batch-0003,exclude,E4,[E4] The review concerns health-system partnerships and universal health coverage rather than health measurement or valuation.,true
P05638f3c10a4,Exploring gender disparities in the disease and economic tobacco-attributable burden in Latin America,batch-0092,exclude,E4,"[E4] This model quantifies tobacco-attributable disease and economic burden by gender, rather than studying a measure or valuation method.",batch-0003,exclude,E2,"[E2] DALYs and costs are burden estimates used to compare tobacco impacts by gender, not valuation methods under study.",true
Pbe7905bdbb52,Artificial intelligence in radiation therapy treatment planning: A discrete choice experiment.,batch-0074,exclude,E3,[E3] The discrete choice experiment studies professionals' preferences for features of AI radiation-treatment planning systems.,batch-0003,exclude,E3,[E3] The DCE elicits professional preferences for attributes of AI systems used in radiation treatment planning.,true
P2c95c3f7fed2,Core drug use indicators in Nigerian health facilities: a systematic review (1994–2024),batch-0037,exclude,E4,[E4] This systematic review assesses rational drug-use indicators and national drug policy effects.,batch-0003,exclude,E4,[E4] The review compares drug-prescribing indicators in Nigerian facilities rather than health or wellbeing measurement.,true
P3dce4f0ff57a,Usability testing of an individualized decision aid for total knee arthroplasty,batch-0041,exclude,E4,[E4] This evaluates usability of a clinical treatment decision aid rather than a health measurement instrument.,batch-0003,exclude,E4,[E4] The study tests the usability of a knee-treatment decision aid and does not develop or evaluate a health measure.,true
P191009c59a97,Mapping gaps and exploring impairment and disability prevalence in South Asian (SAARC) countries: a scoping review,batch-0097,exclude,E4,[E4] This review synthesizes disability prevalence and burden evidence rather than evaluating a health measurement method.,batch-0003,exclude,E4,"[E4] The review synthesizes prevalence of impairment and disability, with methods discussed only as sources of heterogeneity.",true
P0041e193c954,PP76 “It Is Better For Me To Die Than To Be Disgraced”: Perceptions Of Worse-Than-Death Health States In Ghana,batch-0090,exclude,E5,"[E5] This record is a conference abstract, an ineligible publication format for this screen.",batch-0003,exclude,E5,"[E5] The PP76 label identifies an ineligible conference abstract, although its topic concerns worse-than-death health states.",true
P7fe7cb86ffa4,OP23 Developing A Personalized Decision Aid Incorporating A Discrete Choice Experiment: A Case Study In Ulcerative Colitis,batch-0058,exclude,E5,[E5] This OP23 conference abstract is an ineligible format; it describes a DCE-based treatment decision aid rather than health-state valuation.,batch-0003,exclude,E5,[E5] The OP23 label identifies an ineligible conference abstract about a treatment decision aid.,true
Pe43e1bf41b84,Patient Perceptions of Medication Therapy for Prevention of Posttraumatic Osteoarthritis Following Anterior Cruciate Ligament Injury: A Qualitative Content Analysis,batch-0083,exclude,E4,"[E4] Qualitatively explores willingness to use preventive medication after ACL injury, not development or evaluation of a health measure.",batch-0003,exclude,E4,[E4] Interviews examine willingness to use preventive medication and trial attributes rather than health measurement or valuation.,true
P434558e1c87f,Health utility book: A systematic review and meta-analysis of health utilities in gastric cancer,batch-0043,exclude,E2,[E2] This review compiles gastric-cancer utility estimates chiefly for selection in economic evaluations.,batch-0003,exclude,E1,[E1] The review synthesizes gastric-cancer utility outcomes for burden estimates and later economic evaluations.,true
P3b0355854b5d,Intention to Use RSVpreF Vaccine or Nirsevimab to Prevent Infant RSV Among Pregnant Individuals,batch-0040,exclude,E4,[E4] This survey evaluates pregnant individuals intentions and beliefs regarding infant RSV immunization products.,batch-0003,exclude,E4,[E4] The survey studies intended uptake and beliefs about two infant RSV prevention products rather than health measurement.,true
Pd3d12a4bc76e,Development of the natural history component of an early economic model for primary sclerosing cholangitis,batch-0079,exclude,E2,[E2] This Markov cost-effectiveness model tracks QALYs as outcomes while modelling primary sclerosing cholangitis progression.,batch-0003,exclude,E2,[E2] The article develops a disease-progression economic model in which QALYs are tracked model outputs.,true
P2d765b514b57,"Patient perspectives on reirradiation for recurrent cancer, to inform future clinical trial design",batch-0004,exclude,E4,[E4] This qualitative study explores patient and carer perspectives on reirradiation and future cancer trial design.,batch-0003,exclude,E4,"[E4] Interviews examine patient and carer views about reirradiation and future trial design, not health measurement.",true
P3f6782a1b90d,Timing of Initial Hair Regrowth and Clinical Trial-Defined Response Following Ritlecitinib Treatment in Patients With Alopecia Areata,batch-0041,exclude,E4,[E4] This post-hoc trial analysis examines clinical hair-regrowth response to ritlecitinib.,batch-0003,exclude,E4,[E4] The analysis estimates time to clinical hair-regrowth response during drug treatment rather than a health measure.,true
Pe3d3cca151f2,Routine mid-gestational prediction of later preeclampsia,batch-0083,exclude,E4,"[E4] Develops a clinical prediction model for later preeclampsia, not a health measurement or valuation method.",batch-0003,exclude,E4,[E4] The article develops a clinical risk model for later preeclampsia rather than a health or wellbeing measure.,true
P9d3cd8716be4,Parental depression in the relationship between parental stress and child health among low-income families in Hong Kong,batch-0066,exclude,E1,[E1] Questionnaire health-related quality of life data are used to study parental stress and child-health relationships.,batch-0003,exclude,E1,"[E1] HRQoL questionnaires are variables used to study parental stress, depression, and child health relationships.",true
P4c11d924c70f,Public Preferences and Willingness to Pay for a Multidisciplinary Colorectal and Pelvic Reconstruction Service.,batch-0008,exclude,E3,[E3] The DCE elicits public preferences and willingness to pay for a multidisciplinary care service.,batch-0003,exclude,E3,[E3] The DCE elicits public preferences and willingness to pay for attributes of a multidisciplinary care service.,true
Pf9cffda8a842,Healthcare pathways and social experiences of Lewy body dementia and Alzheimer's disease in Ireland,batch-0089,exclude,E4,[E4] This qualitative study examines dementia diagnostic and care experiences rather than a health measurement or valuation method.,batch-0003,exclude,E4,"[E4] Interviews examine diagnostic pathways, service access, and social experiences of dementia rather than health measurement.",true
P8a2908082f99,Equality of opportunity and the intergenerational transmission of lifestyles: some normative implications,batch-0061,exclude,E4,"[E4] The questionnaire study examines public attitudes to fair allocation and smoking-related health inequalities, not measurement or valuation.",batch-0004,exclude,E4,[E4] The experiment studies public attitudes toward fair allocation for smoking-related inequality rather than health-state valuation.,true
P008d40a1acd0,Preparing for the EU HTA Regulation: Insights from the Dutch Perspective.,batch-0025,exclude,E4,"[E4] This paper addresses implementation of EU health-technology-assessment regulation and national HTA processes, not measurement or valuation methods.",batch-0004,exclude,E4,[E4] The paper describes national implementation of an EU HTA regulation and does not study health measurement or valuation.,true
Pc104991b8d09,Acceptability and perceived barriers to adoption of the core outcome set for maternal and neonatal health research and surveillance during emerging and ongoing epidemic threats (MNH-EPI-COS). An online survey,batch-0074,exclude,E4,"[E4] This survey assesses adoption barriers for a maternal-neonatal core outcome set, not a health measurement instrument.",batch-0004,retain,R2,"[R2] The study evaluates the acceptability, outcome definitions, and data-collection feasibility of a standardized maternal and neonatal core outcome set.",false
P0bb73be96421,The Cost-Effectiveness of Seizure Dogs for Persons Living With Severe Refractory Epilepsy: Results From the EPISODE Study,batch-0093,exclude,E2,[E2] This microsimulation estimates costs and QALYs for seizure dogs as an economic evaluation.,batch-0004,exclude,E2,[E2] This cost-effectiveness study models costs and QALYs for seizure dogs as economic evaluation results.,true
P4fa63c527cad,Impoverishing Health Expenditure in Iran Before and After the COVID-19 Pandemic: A National Cross-sectional Study,batch-0046,exclude,E4,[E4] This national study measures impoverishing health expenditure and financial protection trends.,batch-0004,exclude,E4,[E4] The study estimates household impoverishment caused by health expenditures and does not concern health measurement or valuation.,true
P0255202c8797,An investigation into patterns of Alcohol drinking in Scotland after the introduction of minimum unit pricing,batch-0091,exclude,E4,[E4] This study evaluates the effect of Scotland's minimum unit pricing policy on alcohol consumption.,batch-0004,exclude,E4,[E4] The study estimates the effect of alcohol minimum pricing on drinking behavior rather than health measurement or valuation.,true
Ped8da1e938e5,Efficacy of Psychodynamic Psychotherapy in Serious Physical Illness: Systematic Review and Meta‐Analysis,batch-0085,exclude,E4,"[E4] This meta-analysis evaluates psychotherapy efficacy for depression and anxiety in physical illness, not measurement or valuation.",batch-0004,exclude,E1,[E1] Depression and anxiety measures are clinical outcomes in a review of psychotherapy effectiveness among physically ill patients.,true
P02438f1ef16f,Comparison of Bivalent and Monovalent mRNA Vaccine Boosters.,batch-0091,exclude,E4,[E4] This cohort study compares bivalent and monovalent vaccine boosters on mortality and hospitalization.,batch-0004,exclude,E4,[E4] The cohort study compares hospitalization and mortality after two COVID-19 vaccine boosters.,true
P2cecfd5365b4,Determinants of Middle and High School Teachers' Well-Being: A Systematic Review.,batch-0037,exclude,E4,[E4] This review identifies determinants of teacher well-being rather than developing or evaluating a measure.,batch-0004,exclude,E1,[E1] Wellbeing is the outcome whose determinants are synthesized; the review does not develop or evaluate a wellbeing measure.,true
Pbef6e623447a,Methods for Evaluation of Surrogate Endpoints for HTA Decision Making: A Good Practices Report of an ISPOR Task Force,batch-0018,exclude,E4,"[E4] This task-force report recommends methods for validating surrogate endpoints for HTA, without a direct health-measurement or health-state-valuation focus.",batch-0004,retain,R2,[R2] The task force report develops methods and good practices for validating surrogate health endpoints against patient-relevant outcomes.,false
P29fa78335431,Comprehensive primary health care for cost-effective scale-up of depression screening in India: an economic modelling study,batch-0037,exclude,E2,[E2] This economic model calculates cost-utility and QALYs for depression screening implementation.,batch-0004,exclude,E2,[E2] The article is an economic model of depression screening in which QALYs and cost-utility are results.,true
P46ef5634c035,Web-Based Cancer Symptom Self-Management System,batch-0044,exclude,E1,[E1] The cancer trial uses PROMIS patient-reported measures only as outcomes of a self-management intervention.,batch-0004,exclude,E1,[E1] PROMIS symptom scores are trial outcomes used to test a web-based cancer self-management intervention.,true
Pe8a33f1b5e19,Did a digital quality of life (QOL) assessment and practice support system in home health care improve the QOL of older adults living with life-limiting conditions and of their family caregivers? A mixed-methods pragmatic randomized controlled trial,batch-0084,exclude,E1,[E1] Tests whether access to QOL data improves patient and caregiver QOL; QOL assessment is an intervention outcome.,batch-0004,retain,R2,"[R2] The digital system for collecting, displaying, and integrating quality-of-life assessment data into home care is the primary intervention under evaluation.",false
P53d0dd9db9a1,From Fragmentation to Reform: Mapping the Lived Experience of Lewy Body Dementia Care in Ireland,batch-0047,exclude,E4,[E4] This qualitative study maps experiences and service gaps in Lewy body dementia care.,batch-0004,exclude,E4,[E4] The qualitative study maps dementia diagnosis and care pathways and proposes service reform rather than health measurement.,true
P4500da701a6f,Cosmetic outcome and patient satisfaction following percutaneous thermal ablation of early-stage breast cancer; results of an open label randomized phase 2 trial,batch-0043,exclude,E1,[E1] Patient-reported cosmetic and satisfaction measures are outcomes of thermal-ablation treatment.,batch-0004,exclude,E1,[E1] Cosmetic outcome and satisfaction questionnaires are outcomes used to compare breast-cancer treatment techniques.,true
P6ed5991396e4,Process Evaluation of a Dementia Prevention Program for Aboriginal Australians (DAMPAA) Using a Theory of Change Framework,batch-0054,exclude,E4,"[E4] It is a process evaluation of a dementia-prevention program, not research on a health measure or valuation method.",batch-0004,exclude,E4,[E4] The process evaluation studies implementation and effects of a dementia prevention program rather than a health measure.,true
Pfc0faf9453e2,Socioeconomic inequalities in health-related quality of life during the COVID-19 pandemic: a six-country comparison using the EQ-5D-5 L.,batch-0025,exclude,E1,[E1] EQ-5D-5L level-sum scores are outcomes used to compare socioeconomic groups during the pandemic.,batch-0004,exclude,E1,[E1] EQ-5D-5L scores are outcomes used to compare socioeconomic health inequalities across countries.,true
P844a23f9b837,Comprehension of and preferences for visualization of patient-reported outcome data to support clinical decision making: A systematic review,batch-0014,exclude,E4,"[E4] Reviews visualization preferences for communicating PROM results in clinical decisions, not evaluation of a health measure.",batch-0004,retain,R2,[R2] The review directly evaluates user comprehension and preferences for visualization formats used to communicate PROM data.,false
P14fb3aac8baa,Immunogenicity of COVID-19 Vaccines During Pregnancy: A Systematic Review and Comparison of Pregnant Versus Nonpregnant Persons.,batch-0031,exclude,E4,"[E4] Systematic review evaluates COVID-19 vaccine immunogenicity in pregnancy, not health measurement or valuation.",batch-0004,exclude,E4,[E4] The review compares immune responses to COVID-19 vaccination in pregnant and nonpregnant persons.,true
P99c6e0107b77,OECD Ülkelerinde Sağlık Sistem Performansı: Türkiye’nin Konumu Üzerine Çok Kriterli Bir İnceleme,batch-0015,exclude,E4,[E4] This study ranks national health-system performance using policy indicators and multicriteria decision methods.,batch-0004,exclude,E4,[E4] The study ranks national health-system performance with administrative indicators rather than evaluating a health measure.,true
Pea6dd44cb509,Characterizing a heterogeneous chronic patient population for redesigning person-centred bundled payment models using risk-mitigating measures,batch-0084,exclude,E4,"[E4] Uses claims clusters to redesign bundled-payment care packages and financial risk, not health measurement or valuation.",batch-0005,exclude,E4,[E4] The article operationalizes a bundled payment model for chronic care and studies provider financial risk rather than health measurement.,true
Pf8200bda174d,The impact of high versus standard enteral protein provision on functional recovery following intensive care admission: A pre-planned Bayesian analysis of the PRECISe trial,batch-0088,exclude,E1,"[E1] EQ-5D-5L utility is a clinical trial endpoint for comparing protein provision, not the research object.",batch-0005,exclude,E1,[E1] EQ-5D-5L utility is a clinical trial outcome used to compare high and standard protein provision in intensive care.,true
P900e90c06829,Improving the Oral Health of Older People In Care Homes: the TOPIC randomised feasibility study.,batch-0015,exclude,E1,[E1] The study tests an oral-health intervention; residents' quality of life is only an outcome.,batch-0005,exclude,E4,[E4] The feasibility study evaluates implementation of an oral-health intervention in care homes rather than a health measure.,true
P7eabf252e699,Latent profiles of movement behaviour compositions and their associations with adiposity and health-related quality of life in Australian children: a cross-sectional and 12-month longitudinal study,batch-0013,exclude,E1,[E1] Parent-reported HRQoL is an outcome used to assess associations with children’s movement-behaviour profiles.,batch-0005,exclude,E1,[E1] HRQoL is an outcome used to compare movement-behavior profiles in children rather than a measure under evaluation.,true
