record_id	feedback
V2-P038	Replace Design d1. `NOT_REPORTED` is not a controlled value for `component_approach`. The article does not state whether the three software pilot tests used quantitative, qualitative, participatory, or another listed approach. Remove d1 and add a `Gap` for part1 with `gap_state: NOT_REPORTED` and the missing key `component_approach`. Also add the omitted quantitative-analysis uses: chi-squared tests for demographic balance and data-quality comparisons, and t-tests for vividness and mean AUC comparisons. These are direct current-study quantitative analyses. Keep the Study unit, primary family, main instruments, principal findings, and recorded source conflict unchanged.
V2-P039	Keep the inclusion decision, EuroQol support, publication form, single Study, primary family, purposes, design, data use, scientific uses, principal findings, and interpretations. Delete StakeholderInvolvement si1 because the source reports advisory feedback but does not report how it influenced the work, as required by the involvement rule. Delete Limitation l3 or represent it as an open concept/caveat about proposed future involvement methods; do not present it as a limitation of Study s1. Revise Concept c2 to separate the proposed methods from the age issue: list deliberative groups, ranking selected states or domains, assessment of adult-elicited preferences, and approaches that avoid dead or very severe states; then state separately that suitable methods may differ by age and that possible modifications for older children require investigation.
V2-P040	Keep the inclusion decision, single Study, HEALTH_PREFERENCE_RESEARCH family, purpose, status, and design axes. Make these local repairs: (1) change iu1 and iu2 to preserve the exact instrument variant label “official Hungarian version of the EQ-5D-Y-3L”; keep registry_id empty for deterministic registry review. Add instrument_language “Hungarian” to ad1 and ad2, but do not infer that the interview language was Hungarian. (2) Change su4 for RStudio from QUANTITATIVE_ANALYSIS to VISUALIZATION_OR_REPORTING because the article identifies RStudio only as the environment used to generate the Bland–Altman plot. (3) Add a DIRECT_CURRENT_ACTIVITY/QUANTITATIVE_ANALYSIS MethodUse for the subgroup-classification rule: classification was based on the child-perspective value, and values equal to zero were assigned as better-than-dead or worse-than-dead according to whether conventional TTO or lead-time TTO was completed. Link it to sf3 and findings f3–f4 as supported by the record structure. (4) Amend f4 or add a separate finding to state that the significant worse-than-dead severe/worst difference was primarily driven by the worst state; report that severe states alone had mean difference −0.05 with p = 0.170. Do not change the existing overall and combined severe/worst values.
V2-P041	In finding f4, correct the denominator for the zero-TTO-value percentages. The 275 of 28.1% and 65 of 3.9% values use 980 pre-retraining and 1,680 post-retraining TTO health-state valuations, respectively, from 10 tasks in 98 and 168 interviews. Do not state the interviews themselves as the denominator for these percentages. In finding f1, remove outcome o1 from `about`: o1 is the part1 qualitative outcome about reported problems and solutions, while f1 is a part2 recruitment-flow finding. Link f1 to the relevant recruitment method and samples, such as mu1, sa5, sa6, and sa9, or create a part2 recruitment outcome if an Outcome link is required.
V2-P042	Keep the conflicting cognition values unchanged and add a SourceConflict linked to sa4, f1, and f3. Record the descriptive-results claim of 5346 respondents, 19.6% with any cognition problem, and 2.7% with an extreme problem. Record the Table 2 claim of 4298, 949, and 157 respondents at cognition levels 1, 2, and 3, which totals 5404. In f2, change the correlation denominator from “six EQ-5D + C dimensions” to “5346 analyzed respondents”; retain the six dimensions as the comparison scope. In f4, assign 0.456 to the EQ-5D-3L model and use no self-comparator; assign 0.469 to the EQ-5D + C model with the EQ-5D-3L model as comparator. In f5, replace each R² range with separate model-specific values: 0.556 and 0.565 for TBI, and 0.445 and 0.458 for non-TBI. No change is needed to inclusion, support, Study unit, family, instruments, methods, or principal conclusions.
V2-P043	Keep the disposition, EuroQol support, publication form, single Study, primary family, purposes, design axes, instruments, and existing principal conclusions. Add a responsiveness Finding that reports the abstract’s selected aggregate results: cognition delta 0.04 for the TBI subgroup and delta 0.05 for the PTSD subgroup, with almost no change in respondents with neither condition; link it to o4, iu1, sf1, and sf2. Add MethodUse records for “simple imputation, based on responses to other items of the IES-R,” “Chi-square tests,” and “Mann–Whitney U tests.” Assign DIRECT_CURRENT_ACTIVITY and QUANTITATIVE_ANALYSIS to each method, and state their exact roles: IES-R missing-item imputation and responder-versus-non-responder comparisons, respectively.
V2-P044	Correct the main instrument roles. Add DIRECT_CURRENT_ACTIVITY/PREDICTOR_MEASURE uses for the EQ-5D-5L dimensions, CIS fatigue score, and cognition dimension where they are independent variables in the regressions. Add DIRECT_CURRENT_ACTIVITY/OUTCOME_MEASURE uses for CIS fatigue and cognition where they are dependent variables in the Table 4 regressions. Retain the CIS comparator use for the head-to-head and correlation analyses and the cognition measurement-property-test-object use. The SOURCE_STUDY_ACTIVITY/PREDICTOR_MEASURE roles for CIS and cognition are not supported; change them to OUTCOME_MEASURE or remove them if the source-study role cannot be established. Update Outcomes and Administrations to link to the applicable new uses, including the existing administration details for every duplicate scientific use of each collected instrument. Consolidate du1–du3 into one DataUse for the December 2018 online survey because they are variable groups from the same prior research data source with the same origin and level. Do not link the prevalence finding f1 to the measurement-property outcome o1; create or use a HEALTH_STATUS_OR_EQ_VAS outcome for fatigue and cognitive-problem prevalence and link f1 to it. Add the omitted distributional finding that 20 of 432 respondents (5%) had the 11111 profile, which the authors interpreted as a small ceiling effect.
V2-P045	Keep the inclusion decision, EuroQol support, publication form, single Study, VALUE_SET_DEVELOPMENT family, study states, product, and principal value-set results. Make these changes: (1) add HEALTH_STATE_VALUATION as a lower-ranked purpose because the study directly elicited preferences with C-TTO and DCE; (2) correct the C-TTO flow: record 10,000 observations as collected or completed before exclusions, 1,164 as excluded, and 8,836 as analyzed. Do not label all 10,000 as ANALYZED; (3) add a separate DataUse for the census, NHTS, and labor-force estimates used as aggregate documentary comparison data in Table 1; (4) record the exact official English, Tagalog or Filipino, and Cebuano EQ-5D-5L or EQ-VT versions used. Keep these distinct from oral interviewer support in other Philippine languages; (5) add the EQ VAS as an exact instrument use and link outcome o4 to it; (6) remove md8 and su3 as EXPERIMENTAL_DESIGN uses. The article reports assignment to existing blocks and randomized presentation order, which belong in TaskDesign. It does not report that EQ-VT or the random-assignment procedure constructed the experimental design; (7) add an EQ-5D-5L SCORING_INPUT InstrumentUse for the health-state calculations. Link the Thai value-set ScoringUse to it instead of iu2, which has HEALTH_STATE_DESCRIPTION as its function; (8) add a ScoringUse for the Philippine EQ-5D-5L value set because the authors applied it to the 3,125 health states to generate the reported utilities; (9) revise ad2 and ad4 so that the software language and oral interviewer language support are separate. Do not imply that an unavailable EQ-VT language version was used. The source reports standardized translated EQ-5D-5L wording for describing health states, not a complete translated EQ-VT protocol; (10) keep scf1. Results and Table 3 identify the preferred model as the 8-parameter homoscedastic TTO-only random-intercept model, while the limitations section calls it a hybrid model; (11) keep scf2 and make the related finding explicitly table-specific. Table 3 gives pain/discomfort the largest coefficient and mobility the second largest, but the Discussion states the reverse order; (12) retain the finding that hybrid models did not materially improve performance over the TTO-only model and link it to the model-performance outcome.
V2-P046	Make these local corrections. (1) Delete MethodUse mu3. Random item order is a TaskDesign fact, not an EXPERIMENTAL_DESIGN method. Remove mu3 from td1.applies_to and keep the reported order only in td1.order. Do not infer a randomization unit because the article does not identify one. (2) Remove “understanding,” “relevance to health condition,” “acceptability,” and “perceived cognitive burden” from td2.attributes. These were categories produced by content analysis, not designed task attributes. Keep them in Finding f7. (3) Correct Finding f4 and add a SourceConflict. The Results narrative says there was no significant difference between moderate and severe anxiety, but Table 4 reports different results by dimension: composite A/D, p=0.629 and d=0.11; anxiety subdimension, p=0.260 and d=0.19; depression subdimension, p=0.018 and d=0.34. Record the table result and preserve the conflicting narrative claim instead of stating the no-difference result without qualification. Use n=185 versus n=104 as the denominator for these comparisons. (4) Replace the non-denominator text in the other f4 effect-size aggregates with the source group counts: n=173 versus n=104 for d=0.81 and n=109 versus n=101 for d=1.63.
V2-P047	Delete InstrumentUse iu1. The study examines the validity and obsolescence of three EQ-5D-3L value sets; it does not test a measurement property of the EQ-5D-3L instrument. Remove iu1 from instrument_use_ids in Outcomes o1 and o2. Keep iu2 and iu3 because they correctly record the source studies' use of EQ-5D-3L to describe and value health states. Add an UNMODELED_ASPECT Gap stating that the three existing value sets are current-study analysis objects, because the record cannot express that role directly. Keep the METHODS_RESEARCH family, study parts, data uses, model, findings, limitations, and SourceConflict sc1 unchanged.
V2-P048	Add two SourceConflict records. First, preserve the conflicting descriptions of the diseased-group interview format: condition-based “focus groups” versus individual hospital interviews. Link this conflict to s1, part3, mu1, and ad3. Keep ad3 as individual interviewer-led administration because that description is repeated and the participant notation identifies group interviews only for the healthy group, but do not silently discard the focus-group statement. Second, preserve the sex-distribution conflict between the Results narrative (“half” female) and Table 1 (14 female and 16 male), and link it to s1 and the formal participant sample. No other material change is needed.
V2-P049	Keep the inclusion decision, EuroQol support, publication form, single Study, APPLIED_USE_RESEARCH family, three StudyParts, principal findings, limitations, and SourceConflict. Add a rank-2 METHOD_OR_PROTOCOL_QUALITY purpose for the stated aim to reflect and report on the co-design process. Add a part1 EQ-5D-Y-5L InstrumentUse with DIRECT_CURRENT_ACTIVITY context for the sensitisation completion and link it to td1 and the applicable Administration. Add a part3 EQ-5D-Y-5L InstrumentUse with DIRECT_CURRENT_ACTIVITY context and IMPLEMENTATION_OBJECT function for the mock workflow test; link it to td2 and ad6. Add a study-level Epic MyChart SoftwareUse with CURRENT_STUDY_OBJECT context and DATA_COLLECTION function because MyChart is part of the designed implementation workflow; retain su6 for its direct use during optimisation. Change prod1 from SOFTWARE_OR_DECISION_SUPPORT to IMPLEMENTATION_GUIDANCE because the P-PROM ROCK Program combines education, displays, workflow integration, family resources, and clinician resources. If the explicit one-page Clinical Decision Support Tool is retained as a separate Product, classify that separate product as SOFTWARE_OR_DECISION_SUPPORT. In td2, remove “Mock patient and mock clinician roles” from alternatives and remove the reported post-session discussion from stopping_rule; those facts are already represented by ad6 and the task order/procedure. Apply the same rule to td1: move its consensus statement from stopping_rule to order or procedure because the article does not report a formal stopping criterion.
V2-P050	Add a SourceConflict for the principal sub-theme alignment result. Preserve the two unresolved source claims separately: 68% alignment and 18/57 alignment. State that 18/57 equals about 31.6%, not 68%, and do not infer whether the intended numerator was 18 or approximately 39. Revise f3 so that it does not present “68% (18/57)” or “18 of 57 aligned” as one settled result; link it to the new SourceConflict. Keep the 88% (7/8) theme result because it is arithmetically consistent after rounding. In f1, remove the aggregate that assigns the value 6 to the comprehension finding: six is the total pilot sample, but the source does not state that all six participants found “poor well-being” difficult. Keep six only in sam1, or state it only as the total pilot sample without using it as the denominator or value for that finding.
V2-P051	Keep the inclusion decision, EuroQol support, publication form, single Study, two principal empirical parts, METHODS_RESEARCH family, purpose, and reported status. Remove d2 and d6: the article reports respondent feedback but does not report qualitative collection, qualitative analysis, or mixed-method integration. Change du2 to PARTICIPANT_RESPONSE and remove “qualitative” claims unless another source gives direct evidence. Change sam7 from IDENTIFIED to APPROACHED because the article states that invitations were distributed to these panel sizes. Add the reported 200-respondent-per-country soft-launch sample with source-faithful stage text. Add the omitted translation and local-adaptation workflow as a flat StudyPart with component TRANSLATION_ADAPTATION_WORKFLOW, temporal NOT_APPLICABLE, comparison NONCOMPARATIVE, and allocation NOT_APPLICABLE; move si2 to this part and add a DOCUMENTARY_SOURCE DataUse for survey content, a DIRECT_CURRENT_ACTIVITY MethodUse with function INSTRUMENT_TRANSLATION_OR_ADAPTATION, and separate TRANSLATION_SOURCE and TRANSLATION_TARGET InstrumentUses for the finalized source survey and localized survey versions. Add the principal omitted quality-control methods: Dynata IP duplicate monitoring, government-ID validation, Virtual Resume matching, and AI-driven QualityScore, each as a QUALITY_CONTROL MethodUse with its exact source label. Add poststratification weighting as a part2 QUANTITATIVE_ANALYSIS MethodUse. Add the real-time monitoring dashboards as a SoftwareUse with function VISUALIZATION_OR_REPORTING. Change Google reCAPTCHA v3 SoftwareUse su2 from DATA_COLLECTION to DATA_MANAGEMENT; keep its separate QUALITY_CONTROL MethodUse. Split iu8 into separate exact uses for the EQ-HWB short and long versions. Add the directly reported final-survey instruments ASCOT, WHO-5, “2-item versions of the PHQ-9,” and “2-item versions of the GAD-7,” using exact source labels, CURRENT_HEALTH_MEASUREMENT, and empty registry IDs pending identity review; extend adm2 to these uses. Remove iu5 and iu10 as VALUATION_TARGET uses: the EQ-5D-5L descriptive system was used to classify responses to the vignette, while the vignette health state belongs in TaskDesign. Add a SourceConflict stating that the abstract reports 68,411 main-phase respondents, while the 15 country completer counts in Table 1 sum to 68,416; do not silently replace either statement. Add another SourceConflict for Table 4: its footnote defines proportional quota achievement as quota n/sample n, but its values use sample n/quota n, as shown by 340/541 = 62.9% for UK participants aged 18–24.
V2-P052	Keep the inclusion decision, Study unit, family, purposes, parts, designs, instruments, principal findings, and limitations. Make these local repairs. (1) Replace pop1.inclusion_description with the general population requirements: age 18 years or older and consent through the UKMSR Terms of Service. Do not apply the complete-EQ-5D restriction to all parts. Keep the part1 criterion as response to at least one regularly administered instrument in Spring 2023. Put the complete Spring 2023 EQ-5D-3L response and at least four additional occasions restriction on part2 and part3 only. (2) Add the exact part3 event-selection rules. For relapse, record the matching calendar month and year, a preceding value within 400 days, no current relapse at that preceding assessment, and permission for repeated qualifying events. For symptom onset, record onset during the study period, a preceding value within 400 days, a value within 30 days after onset, at least two new symptoms between assessments, use of the first onset date for a repeatedly reported symptom, and permission for repeated qualifying episodes. Represent these as part3 SAMPLING MethodUse records or in the linked sample eligibility descriptions. (3) Split iu3, iu4, scu1, and scu2 into part2 and part3 uses. Utility scoring did not apply to the part1 missing-data analysis. Change the scoring labels to exact cited products: the Dolan (1997) UK EQ-5D-3L value set and the Goodwin, Green, and Spencer (2015) MSIS-8D preference-based index or tariff algorithm. Keep registry identifiers empty until deterministic review. (4) Add Bonferroni correction as a measurement-property analysis method for part2 and part3, with the reported adjusted threshold of p < 0.000962. (5) Preserve the authors’ conclusion that the MSIS-8D had superior content validity as an Interpretation. Do not create a measured CONTENT_VALIDITY outcome because the current study did not directly perform a content-validity analysis. (6) Add a SourceConflict for the ethics identifier: Methods reports 21/SS/0085, but Declarations reports 21/SW/0085.
V2-P053	Keep the inclusion decision, EuroQol support, single Study, primary family, design, main instruments, methods, and principal results. Make these local repairs: (1) Remove Outcome o2 and Finding f5 as scientific outcome records. The English, German, and European value-set comparison is a scoring decision reported in Methods, not an author-defined outcome. Retain the ScoringUse records and state that the English and German value sets were evaluated as alternatives, while the European value set produced the reported utility indices. (2) Replace pop1's inferred age range with source-reported information, such as the mean baseline age of 50.45 years and the age categories in Table 1. The category bounds do not prove that observed ages ranged exactly from 18 to 89. (3) Give the f4 aggregate values an exact denominator of 344 patients if Figure 2 confirms that denominator. Otherwise, remove those aggregate values because the paragraph does not give a dimension-specific denominator. (4) Revise l2 to say that the pooled source data span more than 15 years. The article does not say that the two datasets differ from each other by more than 15 years. (5) Add a SourceConflict for RLS: Methods and Table 3 include RLS in the primary panel model, but Strengths and Limitations says that diagnostic differences led to exclusion of RLS from the main analysis. (6) Add a SourceConflict for baseline disease status: Sample Selection calls the baseline patients manifest cases, while Strengths and Limitations says that eight patients with premanifest cerebellar syndrome were retained.
V2-P054	Keep the inclusion decision, EuroQol support, publication form, single Study, METHODS_RESEARCH family, and three dataset StudyParts. Add principal findings for each dataset: CVP severe-side-effect risk was the most important attribute and vaccination effectiveness had the largest main effect; CSOR emergency major operations was the most important effect and the six-to-two reduction was largest; Y-3L pain or discomfort was the most important effect and the reduction from a lot to some pain or discomfort was largest. Add the important method-performance finding that relaxing the additivity assumption did not significantly change any CSOR or Y-3L conditional-logit estimate. Correct f4 so that “all ZBT estimates” covers all three surveys, not only Y-3L; keep the separate result that all Y-3L conditional-logit estimates were positive and significant. State for every analyzed population that this synthesis used panel respondents only; remove the claim in pop3 that the analyzed population included respondents from other online sources. Add an exact part3 MethodUse for “paired-comparison tasks” as both a source-study preference-elicitation activity and a current-study comparison object, and link td6 and the predictive-validity findings to it. Remove the InstrumentUse links from o1 and o2 because task time, button use, and positional behavior concern the task methods and TaskDesign records, not the descriptive-system instruments. Add a SourceConflict for the statement that each respondent completes “20 kaizen tasks” while the same sentence reports “T = 2”; keep the reported 60-respondent prediction but show this unresolved task-count conflict.
V2-P055	"Make these local corrections: (1) Change iu5 source_label from the whole ""CarerQol"" instrument to ""CarerQol items a, b, and e (caregiver fulfilment, care-recipient relationship problems, and financial problems)."" The study used only these three selected items. Keep COMPARATOR only as a comparison of selected content, and do not imply that participants completed the full CarerQol. Update td2 and related references to use the same exact label. (2) Change ad1 completion to participant self-report during an interviewer-facilitated think-aloud interview, with interviewer explanation, demonstration, and probing. The source does not state that the interviewer administered the EQ-HWB responses. (3) Remove pr2 as a governing ProtocolUse. The authors report use of COSMIN concepts as the framework for content analysis, but they do not report that the cited COSMIN checklist governed the study protocol. Retain this fact in mu5 and the content-validity outcomes. (4) Add the author interpretation that the seeing and hearing items may be removed from the long EQ-HWB because the authors judged them less relevant and stated that removal would not affect instrument cohesion. Link it to f1 and iu1. Also preserve the conclusion that further research is warranted on their placement and relevance."
V2-P056	Keep the inclusion decision, EuroQol support, ORIGINAL_RESEARCH_ARTICLE form, single Study, VALUE_SET_DEVELOPMENT family, purposes, and main value-set findings. Add a publication-level `corrects` link from this article to the retracted predecessor, DOI 10.1007/s40273-021-01002-z. Record that DOI 10.1007/s40273-021-01055-0 is the retraction notice that retracts the predecessor; do not assign RETRACTED status or a notice form to the current article. Add a SourceConflict for the DCE description: the task section says that participants chose between two impaired health states, but the analysis section describes the binary outcome as 0 for dead and 1 for full health. Preserve both statements and do not silently replace them with A/B coding. Add a SourceConflict between the broad nationally representative claim and the reported underrepresentation of rural, illiterate, and elderly participants. Add the source-reported full-sample stage of 1303 completed interviews or participants from Table 1. Link the participant and interview flow samples to pop1 where applicable. Keep 1378 as the conducted or enrolled flow count, 216 as the pilot count, 75 and 113 as separate exclusions, and 974 as analyzed. Change mu1 to study-level because the sampling section governs the whole study, including the pilot and formal phases. Remove PREDICTOR_MEASURE from iu5: the country-specific questionnaire was used to describe demographics and views, and the article does not report it as a predictor. Use an UNMAPPED_VALUE gap for its instrument function. Remove the unsupported claim in du3, si1, and f2 that participant feedback caused the visual-aid adaptation. The source supports a causal influence only for replacement of the wheelchair example with the migraine example; it says that the visual aids were used and tested, but it does not say that participant feedback caused their introduction. Delete du3 as a separate qualitative data source unless evidence of a defined qualitative collection is available. In ad3, keep `Egyptian Arabic` as the instrument language and keep graphics and colored cards only under assistance or channel. Add a principal finding that 40.9% of the 8842 unflagged cTTO observations were worse than dead. Add the authors’ interpretation that this high proportion could relate to cultural and social factors and to reported concern about being a burden on family and friends.
