batch_id	record_id	verdict	source_locations	repair	ontology_gap
A011	V2-P038	MINOR	Full article, Methods—Sampling and data collection, paragraph 1 | Full article, Methods—Analysis strategy, paragraph 1 | Full article, Results—Sample description, paragraph 1 and Table 1 | Full article, Results—Data quality, paragraph 1 and Table 2 | Full article, Results—Time preference, paragraph 1 and Table 3 | VOCABULARY.tsv, design/component_approach	Replace Design d1. `NOT_REPORTED` is not a controlled value for `component_approach`. The article does not state whether the three software pilot tests used quantitative, qualitative, participatory, or another listed approach. Remove d1 and add a `Gap` for part1 with `gap_state: NOT_REPORTED` and the missing key `component_approach`. Also add the omitted quantitative-analysis uses: chi-squared tests for demographic balance and data-quality comparisons, and t-tests for vividness and mean AUC comparisons. These are direct current-study quantitative analyses. Keep the Study unit, primary family, main instruments, principal findings, and recorded source conflict unchanged.	
A012	V2-P039	MINOR	Full article, Acknowledgements: “The authors want to thank an advisory group ... for its feedback on an earlier version of this paper.” No effect of that feedback is reported. | Full article, section “Nothing about us without us,” paragraph beginning “Rather than aiming for conventional methods”: ethical concerns, cognitive demands, and difficulty reaching consensus are challenges of the proposed involvement approaches, not limitations of the reported conceptual assessment. | Full article, section “Nothing about us without us,” paragraph beginning “Rather than aiming for conventional methods”: deliberative groups, ranking states or domains, and assessing adult-elicited preferences are proposed approaches; the later sentences separately state that methods may differ by age and that modifications for older children require investigation.	Keep the inclusion decision, EuroQol support, publication form, single Study, primary family, purposes, design, data use, scientific uses, principal findings, and interpretations. Delete StakeholderInvolvement si1 because the source reports advisory feedback but does not report how it influenced the work, as required by the involvement rule. Delete Limitation l3 or represent it as an open concept/caveat about proposed future involvement methods; do not present it as a limitation of Study s1. Revise Concept c2 to separate the proposed methods from the age issue: list deliberative groups, ranking selected states or domains, assessment of adult-elicited preferences, and approaches that avoid dead or very severe states; then state separately that suitable methods may differ by age and that possible modifications for older children require investigation.	
A013	V2-P040	MINOR	Full article, Methods > EQ-5D-Y-3L, final sentence: “This study used the official Hungarian version of the EQ-5D-Y-3L.” | Full article, Methods > Data description, paragraphs 1–2: EQ-VT administration and child- and adult-perspective valuation phases | Full article, Methods > Statistical analysis, paragraph 1: better-than-dead/worse-than-dead classification was based on the child-perspective value; zero values were classified by the completed TTO task type | Full article, Methods > Statistical analysis, final sentence: the Bland–Altman plot was generated with ggplot2 in RStudio 2024.12.1 + 563 | Full article, Table 2, notes: the significant worse-than-dead severe/worst result was primarily driven by the worst state; severe states alone had mean difference −0.05, p = 0.170	Keep the inclusion decision, single Study, HEALTH_PREFERENCE_RESEARCH family, purpose, status, and design axes. Make these local repairs: (1) change iu1 and iu2 to preserve the exact instrument variant label “official Hungarian version of the EQ-5D-Y-3L”; keep registry_id empty for deterministic registry review. Add instrument_language “Hungarian” to ad1 and ad2, but do not infer that the interview language was Hungarian. (2) Change su4 for RStudio from QUANTITATIVE_ANALYSIS to VISUALIZATION_OR_REPORTING because the article identifies RStudio only as the environment used to generate the Bland–Altman plot. (3) Add a DIRECT_CURRENT_ACTIVITY/QUANTITATIVE_ANALYSIS MethodUse for the subgroup-classification rule: classification was based on the child-perspective value, and values equal to zero were assigned as better-than-dead or worse-than-dead according to whether conventional TTO or lead-time TTO was completed. Link it to sf3 and findings f3–f4 as supported by the record structure. (4) Amend f4 or add a separate finding to state that the significant worse-than-dead severe/worst difference was primarily driven by the worst state; report that severe states alone had mean difference −0.05 with p = 0.170. Do not change the existing overall and combined severe/worst values.	
A014	V2-P041	MINOR	Full article, Methods, Quality control (QC) report, indicator 1 | Full article, Results, Improvement of interviewers’ performance, first paragraph | Full article, Table 7, “Number of health states given a zero TTO value” row | Full article, Results, Problems and solutions	In finding f4, correct the denominator for the zero-TTO-value percentages. The 275 of 28.1% and 65 of 3.9% values use 980 pre-retraining and 1,680 post-retraining TTO health-state valuations, respectively, from 10 tasks in 98 and 168 interviews. Do not state the interviews themselves as the denominator for these percentages. In finding f1, remove outcome o1 from `about`: o1 is the part1 qualitative outcome about reported problems and solutions, while f1 is a part2 recruitment-flow finding. Link f1 to the relevant recruitment method and samples, such as mu1, sa5, sa6, and sa9, or create a part2 recruitment outcome if an Outcome link is required.	
A015	V2-P042	MINOR	Results > Descriptive results, second paragraph: 19.6% reported any cognition problem and 2.7% reported an extreme cognition problem among 5346 analyzed respondents. | Results > EQ-VAS by cognition level for various profiles, Table 2, row “All”: cognition-level counts are 4298, 949, and 157. They total 5404, not 5346. | Results > Dimension dependency, first paragraph: the reported Spearman coefficients apply to the 5346 respondents and pairwise comparisons of the six dimensions. | Results > Multivariate regression analysis, Table 4: R² is 0.456 for EQ-5D-3L and 0.469 for EQ-5D + C. | Results > Traumatic brain injury versus other injury: R² changes from 0.556 to 0.565 for TBI and from 0.445 to 0.458 for non-TBI.	Keep the conflicting cognition values unchanged and add a SourceConflict linked to sa4, f1, and f3. Record the descriptive-results claim of 5346 respondents, 19.6% with any cognition problem, and 2.7% with an extreme problem. Record the Table 2 claim of 4298, 949, and 157 respondents at cognition levels 1, 2, and 3, which totals 5404. In f2, change the correlation denominator from “six EQ-5D + C dimensions” to “5346 analyzed respondents”; retain the six dimensions as the comparison scope. In f4, assign 0.456 to the EQ-5D-3L model and use no self-comparator; assign 0.469 to the EQ-5D + C model with the EQ-5D-3L model as comparator. In f5, replace each R² range with separate model-specific values: 0.556 and 0.565 for TBI, and 0.445 and 0.458 for non-TBI. No change is needed to inclusion, support, Study unit, family, instruments, methods, or principal conclusions.	
A016	V2-P043	MINOR	Full article, Abstract, Results: cognition improved in TBI (delta 0.04) and PTSD (delta 0.05), with almost no change in respondents without TBI or PTSD. | Full article, Methods, HRQL data: missing IES-R items were handled with simple imputation based on the respondent’s other IES-R responses. | Full article, Methods, Data analysis, first paragraph: responder and non-responder characteristics were compared with Chi-square tests and Mann–Whitney U tests.	Keep the disposition, EuroQol support, publication form, single Study, primary family, purposes, design axes, instruments, and existing principal conclusions. Add a responsiveness Finding that reports the abstract’s selected aggregate results: cognition delta 0.04 for the TBI subgroup and delta 0.05 for the PTSD subgroup, with almost no change in respondents with neither condition; link it to o4, iu1, sf1, and sf2. Add MethodUse records for “simple imputation, based on responses to other items of the IES-R,” “Chi-square tests,” and “Mann–Whitney U tests.” Assign DIRECT_CURRENT_ACTIVITY and QUANTITATIVE_ANALYSIS to each method, and state their exact roles: IES-R missing-item imputation and responder-versus-non-responder comparisons, respectively.	
A017	V2-P044	MAJOR	Full article, Methods > Study population, first paragraph | Full article, Methods > Measures, EQ-5D-5L, EQ VAS, CIS fatigue, and cognition paragraphs | Full article, Methods > Data analyses, second paragraph and final two paragraphs | Full article, Results > Health outcomes, first paragraph and Table 1 | Full article, Results > Regression analyses and Tables 4–5 | Full article, Discussion > Main findings	Correct the main instrument roles. Add DIRECT_CURRENT_ACTIVITY/PREDICTOR_MEASURE uses for the EQ-5D-5L dimensions, CIS fatigue score, and cognition dimension where they are independent variables in the regressions. Add DIRECT_CURRENT_ACTIVITY/OUTCOME_MEASURE uses for CIS fatigue and cognition where they are dependent variables in the Table 4 regressions. Retain the CIS comparator use for the head-to-head and correlation analyses and the cognition measurement-property-test-object use. The SOURCE_STUDY_ACTIVITY/PREDICTOR_MEASURE roles for CIS and cognition are not supported; change them to OUTCOME_MEASURE or remove them if the source-study role cannot be established. Update Outcomes and Administrations to link to the applicable new uses, including the existing administration details for every duplicate scientific use of each collected instrument. Consolidate du1–du3 into one DataUse for the December 2018 online survey because they are variable groups from the same prior research data source with the same origin and level. Do not link the prevalence finding f1 to the measurement-property outcome o1; create or use a HEALTH_STATUS_OR_EQ_VAS outcome for fatigue and cognitive-problem prevalence and link f1 to it. Add the omitted distributional finding that 20 of 432 respondents (5%) had the 11111 profile, which the authors interpreted as a small ceiling effect.	
A018	V2-P045	MAJOR	Full article, Abstract—Background and Methods | Full article, Methodology—Instruments—EQ-5D-5L | Full article, Methodology—EQ-VT interview, items 2–5 | Full article, Methodology—Statistical analysis | Full article, Results—Respondents’ characteristics, Table 1 | Full article, Results—Feedback module results | Full article, Results—Modeling results, Table 3 and following paragraph | Full article, Discussion, paragraphs 1–4 and Figure 1 | Full article, Discussion—limitations, paragraphs 3–4	Keep the inclusion decision, EuroQol support, publication form, single Study, VALUE_SET_DEVELOPMENT family, study states, product, and principal value-set results. Make these changes: (1) add HEALTH_STATE_VALUATION as a lower-ranked purpose because the study directly elicited preferences with C-TTO and DCE; (2) correct the C-TTO flow: record 10,000 observations as collected or completed before exclusions, 1,164 as excluded, and 8,836 as analyzed. Do not label all 10,000 as ANALYZED; (3) add a separate DataUse for the census, NHTS, and labor-force estimates used as aggregate documentary comparison data in Table 1; (4) record the exact official English, Tagalog or Filipino, and Cebuano EQ-5D-5L or EQ-VT versions used. Keep these distinct from oral interviewer support in other Philippine languages; (5) add the EQ VAS as an exact instrument use and link outcome o4 to it; (6) remove md8 and su3 as EXPERIMENTAL_DESIGN uses. The article reports assignment to existing blocks and randomized presentation order, which belong in TaskDesign. It does not report that EQ-VT or the random-assignment procedure constructed the experimental design; (7) add an EQ-5D-5L SCORING_INPUT InstrumentUse for the health-state calculations. Link the Thai value-set ScoringUse to it instead of iu2, which has HEALTH_STATE_DESCRIPTION as its function; (8) add a ScoringUse for the Philippine EQ-5D-5L value set because the authors applied it to the 3,125 health states to generate the reported utilities; (9) revise ad2 and ad4 so that the software language and oral interviewer language support are separate. Do not imply that an unavailable EQ-VT language version was used. The source reports standardized translated EQ-5D-5L wording for describing health states, not a complete translated EQ-VT protocol; (10) keep scf1. Results and Table 3 identify the preferred model as the 8-parameter homoscedastic TTO-only random-intercept model, while the limitations section calls it a hybrid model; (11) keep scf2 and make the related finding explicitly table-specific. Table 3 gives pain/discomfort the largest coefficient and mobility the second largest, but the Discussion states the reverse order; (12) retain the finding that hybrid models did not materially improve performance over the TTO-only model and link it to the model-performance outcome.	
A019	V2-P046	MINOR	Full article, Methods—Data collection, paragraph beginning “During the data collection, respondents were asked…” | Full article, Results—Known-group validity assessment, paragraph beginning “The Sankey diagram…” | Full article, Table 4, anxiety-severity rows, moderate versus severe comparisons | Full article, Results—Qualitative content analysis, opening paragraphs | Extraction record, MethodUse mu3, TaskDesign td1 and td2, and Finding f4	Make these local corrections. (1) Delete MethodUse mu3. Random item order is a TaskDesign fact, not an EXPERIMENTAL_DESIGN method. Remove mu3 from td1.applies_to and keep the reported order only in td1.order. Do not infer a randomization unit because the article does not identify one. (2) Remove “understanding,” “relevance to health condition,” “acceptability,” and “perceived cognitive burden” from td2.attributes. These were categories produced by content analysis, not designed task attributes. Keep them in Finding f7. (3) Correct Finding f4 and add a SourceConflict. The Results narrative says there was no significant difference between moderate and severe anxiety, but Table 4 reports different results by dimension: composite A/D, p=0.629 and d=0.11; anxiety subdimension, p=0.260 and d=0.19; depression subdimension, p=0.018 and d=0.34. Record the table result and preserve the conflicting narrative claim instead of stating the no-difference result without qualification. Use n=185 versus n=104 as the denominator for these comparisons. (4) Replace the non-denominator text in the other f4 effect-size aggregates with the source group counts: n=173 versus n=104 for d=0.81 and n=109 versus n=101 for d=1.63.	
A020	V2-P047	MAJOR	Full article: Abstract, Purpose and Methods | Full article: Methods, paragraphs 1-3 and 9 | Full article: Results, paragraphs 3-4 and Table 2 | Full article: Discussion, paragraphs 1-2 | Extraction record: InstrumentUse iu1; Outcomes o1 and o2	Delete InstrumentUse iu1. The study examines the validity and obsolescence of three EQ-5D-3L value sets; it does not test a measurement property of the EQ-5D-3L instrument. Remove iu1 from instrument_use_ids in Outcomes o1 and o2. Keep iu2 and iu3 because they correctly record the source studies' use of EQ-5D-3L to describe and value health states. Add an UNMODELED_ASPECT Gap stating that the three existing value sets are current-study analysis objects, because the record cannot express that role directly. Keep the METHODS_RESEARCH family, study parts, data uses, model, findings, limitations, and SourceConflict sc1 unchanged.	The ontology cannot directly represent an existing value set as the object of a validity or obsolescence analysis when it is neither a current scoring input nor a new reusable product. This central source fact must not be represented as an instrument measurement-property test.
A021	V2-P048	MINOR	Full article — Methods > Study design and participants, paragraph 3: “Each condition had three patients, forming focus groups” conflicts with “Interviews were held individually at the hospital with guardians present.” | Full article — Methods > Study design and participants, paragraph 4: group interviews are explicitly described only for healthy participants, while the diseased participants are described as having individual interviews. | Full article — Results > Participants, paragraph 1 and Table 1: the text says half of the participants were female, but Table 1 reports 14/30 female (46.7%) and 16/30 male (53.3%).	Add two SourceConflict records. First, preserve the conflicting descriptions of the diseased-group interview format: condition-based “focus groups” versus individual hospital interviews. Link this conflict to s1, part3, mu1, and ad3. Keep ad3 as individual interviewer-led administration because that description is repeated and the participant notation identifies group interviews only for the healthy group, but do not silently discard the focus-group statement. Second, preserve the sex-distribution conflict between the Results narrative (“half” female) and Table 1 (14 female and 16 male), and link it to s1 and the formal participant sample. No other material change is needed.	
A022	V2-P049	MINOR	Introduction, final paragraph: the further aim was to reflect and report on the co-design process. | Methods—Data collection—Co-design workshops, second paragraph: participants completed the EQ-5D-Y-5L as a sensitisation task. | Methods—Feedback and optimisation sessions, second paragraph; Results—Feedback and optimisation sessions, final paragraph: mock patients completed the EQ-5D-Y-5L through Epic MyChart and clinicians reviewed the responses in Epic EMR. | Results—Final co-designed prototype, elements 2–6; Figure 2: the P-PROM ROCK Program is a multi-component implementation package, while the Clinical Decision Support Tool is only one component. | Methods—Feedback and optimisation sessions, second paragraph: post-role-play discussion produced a list of prototype changes; it was not a stopping rule. | Abstract—Results and Results—Participants: the source conflict between nine and 11 service providers is correctly recorded.	Keep the inclusion decision, EuroQol support, publication form, single Study, APPLIED_USE_RESEARCH family, three StudyParts, principal findings, limitations, and SourceConflict. Add a rank-2 METHOD_OR_PROTOCOL_QUALITY purpose for the stated aim to reflect and report on the co-design process. Add a part1 EQ-5D-Y-5L InstrumentUse with DIRECT_CURRENT_ACTIVITY context for the sensitisation completion and link it to td1 and the applicable Administration. Add a part3 EQ-5D-Y-5L InstrumentUse with DIRECT_CURRENT_ACTIVITY context and IMPLEMENTATION_OBJECT function for the mock workflow test; link it to td2 and ad6. Add a study-level Epic MyChart SoftwareUse with CURRENT_STUDY_OBJECT context and DATA_COLLECTION function because MyChart is part of the designed implementation workflow; retain su6 for its direct use during optimisation. Change prod1 from SOFTWARE_OR_DECISION_SUPPORT to IMPLEMENTATION_GUIDANCE because the P-PROM ROCK Program combines education, displays, workflow integration, family resources, and clinician resources. If the explicit one-page Clinical Decision Support Tool is retained as a separate Product, classify that separate product as SOFTWARE_OR_DECISION_SUPPORT. In td2, remove “Mock patient and mock clinician roles” from alternatives and remove the reported post-session discussion from stopping_rule; those facts are already represented by ad6 and the task order/procedure. Apply the same rule to td1: move its consensus statement from stopping_rule to order or procedure because the article does not report a formal stopping criterion.	
