entity_type	source_label	source_record_ids	decision	proposed_registry_id	canonical_label	parent_registry_id	variant_kind	language_code	jurisdiction	version	source_identifier	scope	aliases	note
Instrument	EQ- 5D-Y- 5L	CNF-P009	ALIAS_EXISTING	instrument:eq-5d-y-5l	EQ-5D-Y-5L	instrument:eq-5d-y	LEVEL_VERSION			5L		GLOBAL	EQ- 5D-Y- 5L	Exact semantic alias of the reviewed identity.
Instrument	EQ-5D proxy versions	CNF-P018	AMBIGUOUS											The plural label does not identify a level, language, respondent form, or exact proxy version.
Instrument	EQ-5D-3L descriptive system	CNF-P019	ALIAS_EXISTING	instrument:eq-5d-3l	EQ-5D-3L	instrument:eq-5d	LEVEL_VERSION			3L		GLOBAL	EQ-5D-3L descriptive system	Exact semantic alias of the reviewed identity.
Instrument	EQ-5D-5L questionnaire	CNF-P001	ALIAS_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ-5D-5L questionnaire	Exact semantic alias of the reviewed identity.
Instrument	EQ-HWB-9	CNF-P010	ALIAS_EXISTING	instrument:eq-hwb-s	EQ-HWB-S	instrument:eq-hwb	FORM_VERSION			SHORT		GLOBAL	EQ-HWB-9	Exact semantic alias of the reviewed identity.
Instrument	EQ-HWB/EQ-HWB-S	CNF-P016	SPLIT_RECORD											Split the EQ-HWB and EQ-HWB-S uses. They are distinct instruments.
Instrument	EQ-VAS instrument	CNF-P002	ALIAS_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ-VAS instrument	Exact semantic alias of the reviewed identity.
Instrument	EQ‐5D‐5L Alberta population norms	CNF-P013	TYPE_REPAIR	dataset:alberta-eq-5d-5l-population-norms	Alberta EQ-5D-5L population norms							GLOBAL	EQ‐5D‐5L Alberta population norms	Repair to a study-wide comparator dataset, not an instrument.
Instrument	Eastern Cooperative Oncology Group (ECOG) performance status	CNF-P004	ADD_GLOBAL	instrument:ecog-performance-status	ECOG Performance Status							GLOBAL	Eastern Cooperative Oncology Group (ECOG) performance status	New stable identity supported by the source.
Instrument	EuroQol’s EQ-5D-3L	CNF-P007	ALIAS_EXISTING	instrument:eq-5d-3l	EQ-5D-3L	instrument:eq-5d	LEVEL_VERSION			3L		GLOBAL	EuroQol’s EQ-5D-3L	Exact semantic alias of the reviewed identity.
Instrument	European quality of life five dimensions (EQ-5D)	CNF-P018	ALIAS_EXISTING	instrument:eq-5d	EQ-5D							GLOBAL	European quality of life five dimensions (EQ-5D)	Exact semantic alias of the reviewed identity.
Instrument	FSS	CNF-P014	ADD_GLOBAL	instrument:fatigue-severity-scale	Fatigue Severity Scale							GLOBAL	FSS	New stable identity supported by the source.
Instrument	HADS-A	CNF-P014	ADD_GLOBAL	instrument:hads-a	Hospital Anxiety and Depression Scale, Anxiety subscale		FORM_VERSION					GLOBAL	HADS-A	New stable identity supported by the source.
Instrument	HADS-D	CNF-P014	ADD_GLOBAL	instrument:hads-d	Hospital Anxiety and Depression Scale, Depression subscale		FORM_VERSION					GLOBAL	HADS-D	New stable identity supported by the source.
Instrument	HUI2	CNF-P009	ALIAS_EXISTING	instrument:hui2	Health Utilities Index Mark 2	instrument:hui	FORM_VERSION			Mark 2		GLOBAL	HUI2	Exact semantic alias of the reviewed identity.
Instrument	HUI3	CNF-P009	ALIAS_EXISTING	instrument:hui3	Health Utilities Index Mark 3	instrument:hui	FORM_VERSION			Mark 3		GLOBAL	HUI3	Exact semantic alias of the reviewed identity.
Instrument	Health Utility Index mark 3 [HUI3]	CNF-P018	ALIAS_EXISTING	instrument:hui3	Health Utilities Index Mark 3	instrument:hui	FORM_VERSION			Mark 3		GLOBAL	Health Utility Index mark 3 [HUI3]	Exact semantic alias of the reviewed identity.
Instrument	MSIS-29v2	CNF-P014	ADD_GLOBAL	instrument:msis-29-v2	MSIS-29 version 2		FORM_VERSION					GLOBAL	MSIS-29v2	New stable identity supported by the source.
Instrument	MSIS-8D	CNF-P014	ADD_GLOBAL	instrument:msis-8d	MSIS-8D							GLOBAL	MSIS-8D	New stable identity supported by the source.
Instrument	MSWS-12	CNF-P014	ADD_GLOBAL	instrument:msws-12	MS Walking Scale, 12-item version		FORM_VERSION					GLOBAL	MSWS-12	New stable identity supported by the source.
Instrument	PedsQL	CNF-P009	ADD_GLOBAL	instrument:pedsql	PedsQL							GLOBAL	PedsQL	New stable identity supported by the source.
Instrument	PedsQL 3.0 Cancer Module	CNF-P010	ADD_GLOBAL	instrument:pedsql-3-cancer-module	PedsQL 3.0 Cancer Module	instrument:pedsql	FORM_VERSION					GLOBAL	PedsQL 3.0 Cancer Module	New stable identity supported by the source.
Instrument	PedsQL generic core 4.0	CNF-P010	ADD_GLOBAL	instrument:pedsql-4-generic-core	PedsQL 4.0 Generic Core Scales	instrument:pedsql	FORM_VERSION					GLOBAL	PedsQL generic core 4.0	New stable identity supported by the source.
Instrument	Preparation for Decision Making Scale (PDMS)	CNF-P006	ADD_GLOBAL	instrument:preparation-decision-making-scale	Preparation for Decision Making Scale							GLOBAL	Preparation for Decision Making Scale (PDMS)	New stable identity supported by the source.
Instrument	QOL-ACC	CNF-P011	ADD_GLOBAL	instrument:qol-acc	Quality of Life-Aged Care Consumers							GLOBAL	QOL-ACC	New stable identity supported by the source.
Instrument	SF-6D	CNF-P018	ADD_GLOBAL	instrument:sf-6d	SF-6D							GLOBAL	SF-6D	Create the family identity; link the existing SF-6Dv1 identity to this family during registry application.
Instrument	Short Form-36 (SF-36)	CNF-P018	ADD_GLOBAL	instrument:sf-36	SF-36							GLOBAL	Short Form-36 (SF-36)	New stable identity supported by the source.
Instrument	System Usability Scale (SUS)	CNF-P006	ADD_GLOBAL	instrument:system-usability-scale	System Usability Scale							GLOBAL	System Usability Scale (SUS)	New stable identity supported by the source.
Instrument	VAS score Health	CNF-P015	ADD_SOURCE_SCOPED	instrument:cnf-p015-self-rated-health-vas	Study self-rated-health VAS		LOCAL_INSTRUMENT				10.1186/s12955-022-01989-9	CNF-P015	VAS score Health	The source does not identify this table covariate as EQ VAS.
Instrument	Vignette	CNF-P009	TYPE_REPAIR	task:health-state-vignette	Health-state vignette							GLOBAL	Vignette	Repair to a task stimulus or study material; a vignette is not an instrument identity.
Instrument	country-specific questionnaire designed for the Egyptian valuation study	CNF-P008	ADD_SOURCE_SCOPED	instrument:cnf-p008-egypt-valuation-questionnaire	Egypt valuation-study country questionnaire		LOCAL_INSTRUMENT				10.1136/bmjopen-2021-051727	CNF-P008	country-specific questionnaire designed for the Egyptian valuation study	Source-defined identity; do not merge globally without cross-source evidence.
Instrument	emotional lability questionnaire	CNF-P002	ADD_SOURCE_SCOPED	instrument:cnf-p002-emotional-lability-questionnaire	Study emotional-lability questionnaire		LOCAL_INSTRUMENT				10.1007/s11136-025-04145-0	CNF-P002	emotional lability questionnaire	Source-defined identity; do not merge globally without cross-source evidence.
Instrument	level of agreement with the medical doctor	CNF-P002	ADD_SOURCE_SCOPED	instrument:cnf-p002-doctor-agreement-scale	Study doctor-agreement scale		LOCAL_INSTRUMENT				10.1007/s11136-025-04145-0	CNF-P002	level of agreement with the medical doctor	Source-defined identity; do not merge globally without cross-source evidence.
Instrument	overall health assessment (OHA)	CNF-P010	ADD_GLOBAL	instrument:overall-health-assessment	Overall Health Assessment							GLOBAL	overall health assessment (OHA)	New stable identity supported by the source.
Instrument	revised individualized decision aid	CNF-P006	ADD_SOURCE_SCOPED	instrument:cnf-p006-revised-knee-decision-aid	Revised individualized knee decision aid		LOCAL_INSTRUMENT				10.1016/j.pecinn.2025.100421	CNF-P006	revised individualized decision aid	Source-defined identity; do not merge globally without cross-source evidence.
Instrument	self-rated EQ-5D-5L health state	CNF-P005	ALIAS_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	self-rated EQ-5D-5L health state	Exact semantic alias of the reviewed identity.
Instrument	simplified Chinese version of the EQ-5D-Y-3 L instrument	CNF-P003	ADD_GLOBAL	instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L, Simplified Chinese, China	instrument:eq-5d-y-3l	LANGUAGE_EDITION	zh-Hans	CN		10.1007/s11136-025-03917-y	GLOBAL	simplified Chinese version of the EQ-5D-Y-3 L instrument	New stable identity supported by the source.
Instrument	validated Dutch version of the Experiences in Close Relationships	CNF-P002	ADD_GLOBAL	instrument:experiences-close-relationships-nl	Experiences in Close Relationships, Dutch edition		LANGUAGE_EDITION	nl	NL			GLOBAL	validated Dutch version of the Experiences in Close Relationships	New stable identity supported by the source.
Instrument	web-EDSS	CNF-P014	ADD_GLOBAL	instrument:web-edss	web-EDSS							GLOBAL	web-EDSS	New stable identity supported by the source.
Method	ANOVA comparisons across severity levels	CNF-P010	ALIAS_EXISTING	method:analysis-of-variance	Analysis of variance							GLOBAL	ANOVA comparisons across severity levels	Exact semantic alias of the reviewed identity.
Method	ANOVAs with planned comparisons	CNF-P002	ALIAS_EXISTING	method:analysis-of-variance	Analysis of variance							GLOBAL	ANOVAs with planned comparisons	Exact semantic alias of the reviewed identity.
Method	Bayesian Markov chain Monte Carlo (MCMC) methods	CNF-P005	ADD_GLOBAL	method:bayesian-mcmc	Bayesian Markov chain Monte Carlo							GLOBAL	Bayesian Markov chain Monte Carlo (MCMC) methods	New stable identity supported by the source.
Method	Bonferroni correction for multiple comparisons	CNF-P002	ALIAS_EXISTING	method:bonferroni-correction	Bonferroni correction							GLOBAL	Bonferroni correction for multiple comparisons	Exact semantic alias of the reviewed identity.
Method	Chi square tests	CNF-P017	ALIAS_EXISTING	method:chi-square-test	Chi-square test							GLOBAL	Chi square tests	Exact semantic alias of the reviewed identity.
Method	Cohen’s d effect sizes	CNF-P010	ADD_GLOBAL	method:cohens-d	Cohen d effect size	method:standardized-effect-size	METHOD_VARIANT					GLOBAL	Cohen’s d effect sizes	New stable identity supported by the source.
Method	Cross validation of the MEs	CNF-P005	ALIAS_EXISTING	method:cross-validation	Cross-validation							GLOBAL	Cross validation of the MEs	Exact semantic alias of the proposed identity.
Method	DCE-death	CNF-P005	ADD_GLOBAL	method:dce-death	DCE with death	method:dce	METHOD_VARIANT					GLOBAL	DCE-death	New stable identity supported by the source.
Method	DCE-duration	CNF-P005	ADD_GLOBAL	method:dce-duration	DCE with duration	method:dce	METHOD_VARIANT					GLOBAL	DCE-duration	New stable identity supported by the source.
Method	Database search in Ovid MEDLINE, Ovid EMBASE, and EconLit	CNF-P009	ADD_SOURCE_SCOPED	method:cnf-p009-database-search	CNF-P009 database-search workflow		STUDY_ADAPTATION				10.1007/s40273-025-01493-0	CNF-P009	Database search in Ovid MEDLINE, Ovid EMBASE, and EconLit	Source-defined identity; do not merge globally without cross-source evidence.
Method	Descriptive statistics	CNF-P012	ADD_GLOBAL	method:descriptive-statistics	Descriptive statistics							GLOBAL	Descriptive statistics	New stable identity supported by the source.
Method	Descriptive statistics including proportions and their 95% confidence intervals (95% CIs)	CNF-P007	ALIAS_EXISTING	method:descriptive-statistics	Descriptive statistics							GLOBAL	Descriptive statistics including proportions and their 95% confidence intervals (95% CIs)	Exact semantic alias of the proposed identity.
Method	Descriptive summary	CNF-P009	ALIAS_EXISTING	method:narrative-synthesis	Narrative synthesis							GLOBAL	Descriptive summary	Exact semantic alias of the reviewed identity.
Method	Differential item functioning (DIF) analysis using a hybrid logistic ordinal regression/IRT approach	CNF-P016	ADD_GLOBAL	method:dif-hybrid-logistic-ordinal-irt	DIF analysis with hybrid ordinal-logistic and IRT approach		INTEGRATED_WORKFLOW					GLOBAL	Differential item functioning (DIF) analysis using a hybrid logistic ordinal regression/IRT approach	New stable identity supported by the source.
Method	EuroQol Valuation Technology (EQ-VT) (version 2.1)	CNF-P001	TYPE_REPAIR	protocol:eq-vt-2-1	EQ-VT 2.1	protocol:eq-vt	PROTOCOL_VERSION			2.1		GLOBAL	EuroQol Valuation Technology (EQ-VT) (version 2.1)	Repair from MethodUse to ProtocolUse.
Method	Forest plots	CNF-P009	ADD_GLOBAL	method:forest-plot	Forest plot							GLOBAL	Forest plots	New stable identity supported by the source.
Method	Glass’ Δ effect sizes and response means	CNF-P010	SPLIT_RECORD											Split Glass delta and response-mean summaries.
Method	Gwet’s AC1	CNF-P010	ADD_GLOBAL	method:gwet-ac1	Gwet AC1 coefficient	method:gwet-agreement-coefficient	METHOD_VARIANT					GLOBAL	Gwet’s AC1	New stable identity supported by the source.
Method	Item Response Theory analysis	CNF-P016	ADD_GLOBAL	method:item-response-theory-analysis	Item response theory analysis							GLOBAL	Item Response Theory analysis	New stable identity supported by the source.
Method	Kruskal Wallis U test	CNF-P004	ALIAS_EXISTING	method:kruskal-wallis-test	Kruskal-Wallis test							GLOBAL	Kruskal Wallis U test	Exact semantic alias of the reviewed identity.
Method	Kruskal-Wallis tests	CNF-P012	ALIAS_EXISTING	method:kruskal-wallis-test	Kruskal-Wallis test							GLOBAL	Kruskal-Wallis tests	Exact semantic alias of the reviewed identity.
Method	Level Sum Score (LSS) calculated by summing the scores across all five EQ-5D-5L dimensions	CNF-P012	TYPE_REPAIR	scoring:level-sum-score	Level sum score		PRODUCT_VERSION					GLOBAL	Level Sum Score (LSS) calculated by summing the scores across all five EQ-5D-5L dimensions	Repair from MethodUse to ScoringUse.
Method	Level sum score (LSS)	CNF-P009	TYPE_REPAIR	scoring:level-sum-score	Level sum score		PRODUCT_VERSION					GLOBAL	Level sum score (LSS)	Repair from MethodUse to ScoringUse.
Method	Loevinger’s homogeneity coefficients H	CNF-P020	ADD_GLOBAL	method:loevinger-h	Loevinger H coefficient							GLOBAL	Loevinger’s homogeneity coefficients H	New stable identity supported by the source.
Method	Mann-Whitney U tests	CNF-P012	ALIAS_EXISTING	method:mann-whitney-u-test	Mann-Whitney U test							GLOBAL	Mann-Whitney U tests	Exact semantic alias of the reviewed identity.
Method	Mann–Whitney-U test	CNF-P017	ALIAS_EXISTING	method:mann-whitney-u-test	Mann-Whitney U test							GLOBAL	Mann–Whitney-U test	Exact semantic alias of the reviewed identity.
Method	Mokken scale analysis	CNF-P020	ADD_GLOBAL	method:mokken-scale-analysis	Mokken scale analysis							GLOBAL	Mokken scale analysis	New stable identity supported by the source.
Method	Narrative summary	CNF-P009	ALIAS_EXISTING	method:narrative-synthesis	Narrative synthesis							GLOBAL	Narrative summary	Exact semantic alias of the reviewed identity.
Method	Ordinal logistic regression	CNF-P016	TYPE_REPAIR	model:ordinal-logit	Ordinal logistic model							GLOBAL	Ordinal logistic regression	Repair from MethodUse to ModelUse.
Method	Pearson's correlation	CNF-P015	ALIAS_EXISTING	method:pearson-correlation	Pearson correlation coefficient							GLOBAL	Pearson's correlation	Exact semantic alias of the reviewed identity.
Method	Pearson’s correlations	CNF-P002	ALIAS_EXISTING	method:pearson-correlation	Pearson correlation coefficient							GLOBAL	Pearson’s correlations	Exact semantic alias of the reviewed identity.
Method	QC tool	CNF-P008	ADD_SOURCE_SCOPED	method:cnf-p008-eq-vt-qc-tool	Egypt EQ-VT quality-control tool		STUDY_ADAPTATION				10.1136/bmjopen-2021-051727	CNF-P008	QC tool	Source-defined identity; do not merge globally without cross-source evidence.
Method	Qualtrics caregiver panel recruitment	CNF-P016	ADD_SOURCE_SCOPED	method:cnf-p016-qualtrics-panel-recruitment	Qualtrics caregiver-panel recruitment		STUDY_ADAPTATION				10.1007/s11136-025-04003-z	CNF-P016	Qualtrics caregiver panel recruitment	Source-defined identity; do not merge globally without cross-source evidence.
Method	Recruitment from Dynata existing voluntary panels	CNF-P012	ADD_SOURCE_SCOPED	method:cnf-p012-dynata-panel-recruitment	Dynata voluntary-panel recruitment		STUDY_ADAPTATION				10.1007/s11136-026-04285-x	CNF-P012	Recruitment from Dynata existing voluntary panels	Source-defined identity; do not merge globally without cross-source evidence.
Method	Self-reporting scoring system	CNF-P009	ADD_SOURCE_SCOPED	method:cnf-p009-self-report-scoring-category	Self-report scoring category		STUDY_ADAPTATION				10.1007/s40273-025-01493-0	CNF-P009	Self-reporting scoring system	This is the review authors' category for PedsQL studies, not a sufficiently defined global method.
Method	Shannon’s Index (H’) and Shannon’s Evenness Index (J’)	CNF-P016	SPLIT_RECORD											Split to the existing Shannon H and Shannon J method identities.
Method	Shapiro–Wilk test	CNF-P017	ADD_GLOBAL	method:shapiro-wilk-test	Shapiro-Wilk test							GLOBAL	Shapiro–Wilk test	New stable identity supported by the source.
Method	Spearman correlation coefficient	CNF-P004	ALIAS_EXISTING	method:spearman-rank-correlation	Spearman's rank correlation							GLOBAL	Spearman correlation coefficient	Exact semantic alias of the reviewed identity.
Method	Spearman rank-order coefficients	CNF-P016	ALIAS_EXISTING	method:spearman-rank-correlation	Spearman's rank correlation							GLOBAL	Spearman rank-order coefficients	Exact semantic alias of the reviewed identity.
Method	Spearman’s correlation coefficients	CNF-P014	ALIAS_EXISTING	method:spearman-rank-correlation	Spearman's rank correlation							GLOBAL	Spearman’s correlation coefficients	Exact semantic alias of the reviewed identity.
Method	Spearman’s correlations	CNF-P010	ALIAS_EXISTING	method:spearman-rank-correlation	Spearman's rank correlation							GLOBAL	Spearman’s correlations	Exact semantic alias of the reviewed identity.
Method	Survey Sampling International (SSI) online panel	CNF-P005	ADD_SOURCE_SCOPED	method:cnf-p005-ssi-panel-recruitment	SSI online-panel recruitment		STUDY_ADAPTATION				10.1007/s40273-018-0694-6	CNF-P005	Survey Sampling International (SSI) online panel	Source-defined identity; do not merge globally without cross-source evidence.
Method	TTO scores were flagged as inconsistent if more than one preference switch occurred	CNF-P002	ADD_GLOBAL	method:cnf-p002-multiple-switch-qc	Multiple-switch TTO consistency check		STUDY_ADAPTATION					GLOBAL	TTO scores were flagged as inconsistent if more than one preference switch occurred	New stable identity supported by the source.
Method	Time Trade-off (TTO) method	CNF-P002	ALIAS_EXISTING	method:tto	TTO							GLOBAL	Time Trade-off (TTO) method	Exact semantic alias of the reviewed identity.
Method	Wilcoxon Signed Rank Test for paired samples	CNF-P014	ALIAS_EXISTING	method:wilcoxon-signed-rank-test	Wilcoxon signed-rank test							GLOBAL	Wilcoxon Signed Rank Test for paired samples	Exact semantic alias of the reviewed identity.
Method	Youden index	CNF-P004	ADD_GLOBAL	method:youden-index	Youden index							GLOBAL	Youden index	New stable identity supported by the source.
Method	adapted coding framework from van Leeuwen et al. based on Tourangeau’s model of survey response	CNF-P011	ADD_SOURCE_SCOPED	method:cnf-p011-adapted-tourangeau-coding-framework	Adapted Tourangeau response-process coding framework		STUDY_ADAPTATION				10.1007/s40271-023-00647-6	CNF-P011	adapted coding framework from van Leeuwen et al. based on Tourangeau’s model of survey response	Source-defined identity; do not merge globally without cross-source evidence.
Method	anchor-based method	CNF-P004	ADD_GLOBAL	method:anchor-based-method	Anchor-based method							GLOBAL	anchor-based method	New stable identity supported by the source.
Method	asking them about their feedback	CNF-P008	ADD_SOURCE_SCOPED	method:cnf-p008-pictorial-tool-feedback	Pictorial-tool participant-feedback procedure		STUDY_ADAPTATION				10.1136/bmjopen-2021-051727	CNF-P008	asking them about their feedback	Source-defined identity; do not merge globally without cross-source evidence.
Method	automated item selection procedure (AISP)	CNF-P020	ADD_GLOBAL	method:automated-item-selection	Automated item selection procedure							GLOBAL	automated item selection procedure (AISP)	New stable identity supported by the source.
Method	backward selection method	CNF-P001	ADD_GLOBAL	method:backward-selection	Backward selection							GLOBAL	backward selection method	New stable identity supported by the source.
Method	best–worst scaling (BWS)	CNF-P009	ALIAS_EXISTING	method:bws	BWS							GLOBAL	best–worst scaling (BWS)	Exact semantic alias of the reviewed identity.
Method	best–worst scaling case 2 (BWS case 2)	CNF-P015	ADD_GLOBAL	method:bws-case-2	Best-worst scaling case 2	method:bws	METHOD_VARIANT					GLOBAL	best–worst scaling case 2 (BWS case 2)	New stable identity supported by the source.
Method	case-control matching procedure (1:1 exact matching based on sex and age)	CNF-P007	ADD_GLOBAL	method:exact-case-control-matching	Exact case-control matching		METHOD_VARIANT					GLOBAL	case-control matching procedure (1:1 exact matching based on sex and age)	New stable identity supported by the source.
Method	cognitive think-aloud interviews	CNF-P011	ADD_GLOBAL	method:cognitive-think-aloud-interview	Cognitive think-aloud interview	method:think-aloud	METHOD_VARIANT					GLOBAL	cognitive think-aloud interviews	New stable identity supported by the source.
Method	comparison with Alberta general population norms matched by age and sex	CNF-P013	KEEP_COMPOUND	method:cnf-p013-alberta-norm-matched-comparison	Age- and sex-matched Alberta norms comparison		STUDY_ADAPTATION				10.1002/hsr2.70308	CNF-P013	comparison with Alberta general population norms matched by age and sex	Keep as one integrated age- and sex-matched comparator workflow.
Method	composite time trade off (cTTO)	CNF-P008	ALIAS_EXISTING	method:ctto	cTTO	method:tto	METHOD_VARIANT					GLOBAL	composite time trade off (cTTO)	Exact semantic alias of the reviewed identity.
Method	computer-assisted personal interviews	CNF-P017	ADD_GLOBAL	method:computer-assisted-personal-interview	Computer-assisted personal interview	method:interview	METHOD_VARIANT					GLOBAL	computer-assisted personal interviews	New stable identity supported by the source.
Method	concurrent think-aloud techniques	CNF-P011	ADD_GLOBAL	method:concurrent-think-aloud	Concurrent think-aloud	method:think-aloud	METHOD_VARIANT					GLOBAL	concurrent think-aloud techniques	New stable identity supported by the source.
Method	cross-validation procedure	CNF-P001	ADD_GLOBAL	method:cross-validation	Cross-validation							GLOBAL	cross-validation procedure	New stable identity supported by the source.
Method	data saturation assessment	CNF-P011	ADD_GLOBAL	method:data-saturation-assessment	Data-saturation assessment							GLOBAL	data saturation assessment	New stable identity supported by the source.
Method	descriptive analysis by EQ‐5D‐5L dimension, index, and visual analog scale scores	CNF-P013	ALIAS_EXISTING	method:descriptive-analysis	descriptive analysis							GLOBAL	descriptive analysis by EQ‐5D‐5L dimension, index, and visual analog scale scores	Exact semantic alias of the reviewed identity.
Method	descriptive statistics	CNF-P006;CNF-P008;CNF-P015;CNF-P017	ALIAS_EXISTING	method:descriptive-statistics	Descriptive statistics							GLOBAL	descriptive statistics	Exact semantic alias of the proposed identity.
Method	distribution-based method	CNF-P004	ADD_GLOBAL	method:distribution-based-method	Distribution-based method							GLOBAL	distribution-based method	New stable identity supported by the source.
Method	effect size (ES)	CNF-P004	ALIAS_EXISTING	method:standardized-effect-size	Standardized effect size							GLOBAL	effect size (ES)	Exact semantic alias of the reviewed identity.
Method	effect size of change calculated as average change score divided by baseline score standard deviation	CNF-P013	ALIAS_EXISTING	method:standardized-effect-size	Standardized effect size							GLOBAL	effect size of change calculated as average change score divided by baseline score standard deviation	Exact semantic alias of the reviewed identity.
Method	face-to-face interview	CNF-P004	ADD_GLOBAL	method:face-to-face-interview	Face-to-face interview	method:interview	METHOD_VARIANT					GLOBAL	face-to-face interview	New stable identity supported by the source.
Method	framework adapted from the existing model of response issues by Penton et al.	CNF-P003	ADD_SOURCE_SCOPED	method:cnf-p003-adapted-penton-response-framework	Adapted Penton response-issue framework		STUDY_ADAPTATION				10.1007/s11136-025-03917-y	CNF-P003	framework adapted from the existing model of response issues by Penton et al.	Source-defined identity; do not merge globally without cross-source evidence.
Method	framework analysis	CNF-P011	ADD_GLOBAL	method:framework-analysis	Framework analysis							GLOBAL	framework analysis	New stable identity supported by the source.
Method	framework analysis method outlined by Ritchie & Spencer	CNF-P003	ALIAS_EXISTING	method:framework-analysis	Framework analysis							GLOBAL	framework analysis method outlined by Ritchie & Spencer	Exact semantic alias of the proposed identity.
Method	health state density curves (HSDCs)	CNF-P014	ADD_GLOBAL	method:health-state-density-curve	Health-state density curve							GLOBAL	health state density curves (HSDCs)	New stable identity supported by the source.
Method	health state density indices (HSDIs)	CNF-P014	ADD_GLOBAL	method:health-state-density-index	Health-state density index							GLOBAL	health state density indices (HSDIs)	New stable identity supported by the source.
Method	health state frequencies	CNF-P014	ADD_GLOBAL	method:health-state-frequency	Health-state frequency analysis							GLOBAL	health state frequencies	New stable identity supported by the source.
Method	heterogeneous DCE design algorithms	CNF-P005	ADD_GLOBAL	method:heterogeneous-dce-design	Heterogeneous DCE design algorithm	method:dce	METHOD_VARIANT					GLOBAL	heterogeneous DCE design algorithms	New stable identity supported by the source.
Method	independent t-tests	CNF-P014	ADD_GLOBAL	method:independent-t-test	Independent t-test	method:t-test	METHOD_VARIANT					GLOBAL	independent t-tests	New stable identity supported by the source.
Method	intraclass correlation coefficients	CNF-P010	ALIAS_EXISTING	method:intraclass-correlation-coefficient	Intraclass correlation coefficient							GLOBAL	intraclass correlation coefficients	Exact semantic alias of the reviewed identity.
Method	manifest invariant item ordering (MIIO)	CNF-P020	ADD_GLOBAL	method:manifest-invariant-item-ordering	Manifest invariant item ordering							GLOBAL	manifest invariant item ordering (MIIO)	New stable identity supported by the source.
Method	manifest monotonicity	CNF-P020	ADD_GLOBAL	method:manifest-monotonicity	Manifest monotonicity							GLOBAL	manifest monotonicity	New stable identity supported by the source.
Method	maximum likelihood	CNF-P015	ADD_GLOBAL	method:maximum-likelihood	Maximum-likelihood estimation							GLOBAL	maximum likelihood	New stable identity supported by the source.
Method	mean errors (MEs)	CNF-P005	ADD_GLOBAL	method:mean-error	Mean error							GLOBAL	mean errors (MEs)	New stable identity supported by the source.
