finding_id,study_id,publication_id,doi,publication_year,primary_research_family,outcome,outcome_family,statement,about_ids,n_values
P0018d6033430:FIND4,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,cTTO utility values and rescaled EQ-5D-5L value-set utilities,PREFERENCE_OR_UTILITY,"After rescaling, the preferred model assigned 1 to full health, 0.981 to state 11112, and -0.727 to state 55555.",P0018d6033430:O1,3
P0018d6033430:FIND5,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,,,"Mobility had the largest effect on utility decrement, and anxiety/depression had the smallest effect.",,0
P0018d6033430:FIND6,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,Known-groups discriminative ability of utilities from the preferred model,MEASUREMENT_PROPERTY,"Mean utilities decreased in the expected direction as NYHA, CCS, EQ VAS, and HeartQoL classes indicated worse health or functional capacity.",P0018d6033430:O3,4
P0018d6033430:FIND7,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,,,"Differences across all known-group classes were statistically significant, and most pairwise mean differences were at least 0.05.",,0
P0018d6033430:FIND8,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,,,The authors report that the completed product is the first EQ-5D-5L value set developed exclusively from patient preferences.,,0
P0041e193c954:F1,P0041e193c954:S1,doi:10.1017/s0266462324002459,10.1017/s0266462324002459,2024,HEALTH_PREFERENCE_RESEARCH,,,"Participants perceived health states associated with impaired mobility, anxiety/depression, and pain/discomfort as worse than death.",,0
P0041e193c954:F2,P0041e193c954:S1,doi:10.1017/s0266462324002459,10.1017/s0266462324002459,2024,HEALTH_PREFERENCE_RESEARCH,,,"Participants preferred death in these circumstances to avoid financial burden on themselves and their families, family caregiving time, loss of personhood, and loss of social status.",,0
P0076e3bd5c99:FIND1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"At baseline, parental carers of children with COVID-19 reported worse health and well-being than parents of healthy children on EQ-HWB-S, EQ-5D-5L, and EQ VAS.",,3
P0076e3bd5c99:FIND2,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"Among carers of children with COVID-19, the EQ-HWB-S identified substantially fewer respondents in full health than the EQ-5D-5L, consistent with a lower ceiling.",,1
P0076e3bd5c99:FIND3,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"Both instruments supported known-groups validity, but EQ-HWB-S showed stronger discrimination than EQ-5D-5L across child infection status, caregiving time, and work impact; EQ-HWB-S was especially sensitive to emotional and social caregiver burden.",,2
P0076e3bd5c99:FIND4,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"Adjusted gamma-log models associated child infection, severe or prolonged illness, and greater work impact with lower parental summary scores; longer daily caregiving time was associated with EQ-HWB-S but not significantly with EQ-5D-5L.",,0
P0076e3bd5c99:FIND5,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"Summary-score test-retest reliability was good and similar for EQ-HWB-S and EQ-5D-5L, while dimension agreement ranged from fair or moderate to good.",,3
P0076e3bd5c99:FIND6,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"Both instruments were responsive when children recovered or improved, with EQ-5D-5L summary scores slightly more responsive than EQ-HWB-S and EQ VAS showing the largest effects.",,2
P0076e3bd5c99:FIND7,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,,,"Child COVID-19 affected parental physical functioning more than emotional functioning; EQ-HWB-S better captured caregiving-related exhaustion, loneliness, cognition, and work or time burden, while EQ-5D-5L better captured physical recovery and changes in anxiety/depression.",,0
P00957738e538:F1,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,"Of 313 recruited respondents, 300 successfully completed the interview and entered the primary analysis; 40.0% reported full health and median EQ VAS was 80.",,3
P00957738e538:F2,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,"Among 3,000 cTTO observations, 20.0% were worse than dead and 78.7% were better than dead; values showed clustering at -1, 0, and 1.",P00957738e538:C1,2
P00957738e538:F3,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,"cTTO- and DCE-predicted values for all 243 EQ-5D-3L states had similar patterns, and the coefficient sets had relative and approximately linear agreement, which supported joint hybrid modeling.",P00957738e538:C2,0
P00957738e538:F4,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,"The heteroskedastic hybrid model without a constant was selected as the preferred model because it had the best AIC, BIC, MAE, and RMSE among the hybrid models; it predicted -0.503 for state 33333.",,1
P00957738e538:F5,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,"All hybrid models were logically consistent. Mobility produced the largest utility decrement, and anxiety/depression produced the smallest decrement in the preferred model.",,0
P00957738e538:F6,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,"Adding the 13 non-traders in sensitivity analysis increased the GLS prediction for state 33333 by 0.06 utility units, which the authors did not consider meaningful.",,1
P00957738e538:F7,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,,,The authors produced an interim Russian EQ-5D-5L crosswalk value set from the new EQ-5D-3L values with the Van Hout crosswalk algorithm.,,0
P010b702a1a0b:find_1,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,The targeted search selected 27 papers to inform the report; historical evidence also came from EuroQol grey literature and published books.,,1
P010b702a1a0b:find_10,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"Digital EQ VAS versions can differ from the paper form in response interaction, hash marks, and numerical labels. The review found that the measurement effect and equivalence of these digital formats were uncertain.",,0
P010b702a1a0b:find_2,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,The self-reported EQ VAS originated as a warm-up task that familiarized respondents with the visual analogue scale before they valued hypothetical health states.,,0
P010b702a1a0b:find_3,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"The original EQ VAS format reflected its valuation purpose: a vertical 20 cm line, 0-100 numerical scale, millimetre hash marks, extreme best-imaginable-health and worst-imaginable-health labels, and line-drawing responses. These features were not selected to measure self-reported overall health.",,0
P010b702a1a0b:find_4,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"In 1994, the EuroQol Group endorsed the EQ-5D profile and own-health VAS pages as an independent questionnaire, and the own-health page became known as the EQ VAS. In 2009, the response changed from drawing a line to writing a number, and the instructions were revised.",,0
P010b702a1a0b:find_5,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,The review found little literature that directly addressed a conceptual framework for the EQ VAS as a measure of self-rated general health.,,0
P010b702a1a0b:find_6,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"The relevant evidence was largely indirect: six studies addressed conceptual frameworks or measurement theories for general VAS scales rather than the EQ VAS, two qualitative studies gave direct insight into what EQ VAS respondents consider, and seven empirical EQ VAS studies examined associations with demographic, economic, behavioral, health, or environmental factors.",,3
P010b702a1a0b:find_7,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"Qualitative source studies showed variable interpretations of the EQ VAS endpoints. Best imaginable health included physical health, mental well-being, social relationships, treatment and medical conditions, and health knowledge or behavior; worst imaginable health included death, disease, and disability. Some respondents found best imaginable health difficult, unattainable, or hard to use as a reference.",,0
P010b702a1a0b:find_8,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"The synthesized psychometric evidence indicated satisfactory to strong construct validity in general and clinical populations, but validity was less consistent in Asian populations, and test-retest performance and responsiveness were less satisfactory.",,0
P010b702a1a0b:find_9,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,,,"The endpoint labels and hash marks can affect responses. The bipolar best-to-worst format, difficulty imagining the endpoints, possible endpoint aversion, and reports that the marks were too granular raised questions about whether the current format is optimal.",,0
P012214c3cce2:finding_1,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Frequency and severity of task-specific concerns,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Every interview had at least one minor or major concern. Two thirds had at least one major concern, and about one quarter had major concerns in three or more tasks.",P012214c3cce2:outcome_3,3
P012214c3cce2:finding_2,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Frequency and severity of task-specific concerns,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Major concerns were found for ranking, swing-weighting, levels-rating, and anchoring dead. Levels-rating and anchoring dead had the highest reported proportions. The abstract and main results give inconsistent swing-weighting totals.",P012214c3cce2:outcome_3,4
P012214c3cce2:finding_3,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Participant comprehension and engagement across the five OPUF tasks,USABILITY_OR_ACCEPTABILITY,"The pairwise choice task was the best understood task: 18 participants completed it as expected, and no major concerns were identified. Only two participants completed levels-rating without concerns, and nine completed anchoring dead as expected.",P012214c3cce2:outcome_2,4
P012214c3cce2:finding_4,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Frequency and severity of task-specific concerns,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Participants aged 50 years and older had higher descriptive rates of major concerns than younger participants for swing-weighting, levels-rating, and anchoring dead, but the small sample limited the comparison.",P012214c3cce2:outcome_3,3
P012214c3cce2:finding_5,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Validity of preference responses produced by the self-completed OPUF tasks,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Major validity problems included answering about current health instead of hypothetical states, reversing or reinterpreting scales, treating 100 as a complete improvement, and reinterpreting the anchoring-dead task. Minor concerns included assuming treatment or interactions between dimensions.",P012214c3cce2:outcome_1,0
P012214c3cce2:finding_6,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Participant comprehension and engagement across the five OPUF tasks,USABILITY_OR_ACCEPTABILITY,"Participants often missed optional information, read only bold text, or interacted with the interface before reading fully. Repeated 0–100 scales with different meanings, ambiguous EQ-HWB-S wording, and insufficient contextual information caused confusion.",P012214c3cce2:outcome_2,0
P012214c3cce2:finding_7,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Validity of preference responses produced by the self-completed OPUF tasks,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Existing OPUF quality checks would detect some reversed levels-rating responses or anchoring-dead responses of 100, but the interviews found other invalid interpretations that those quantitative checks would not flag.",P012214c3cce2:outcome_1,0
P012214c3cce2:finding_8,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,Feasibility of unsupervised online OPUF valuation and need for interviewer support,FEASIBILITY,"Participant suggestions included making optional information more prominent, explaining the survey purpose, adding context, and reversing the levels-rating display so that no problems appears at the bottom.",P012214c3cce2:outcome_4,0
P02434cacc68a:F1,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"Automated item selection placed all nine EQ-HWB-S items on one scale below an item-scalability lower bound of 0.448; at 0.448, it separated six psychosocial items from three physical items. Results were materially unchanged when the original mobility and concentration/thinking items replaced the composite items.",,4
P02434cacc68a:F2,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"The combined EQ-HWB-S formed a strong Mokken scale. The main results text and complete-case subgroup table reported stronger psychosocial and physical subscales, with the psychosocial coefficient higher than the physical coefficient; the source reports conflicting subscale values elsewhere.",,3
P02434cacc68a:F3,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"The combined dataset had no manifest monotonicity violations. In stratified single-scale analyses, mobility violated monotonicity among participants with long-term conditions, and mobility and daily activities violated monotonicity in the United Kingdom sample; no subscale violations occurred across the examined subgroups.",,0
P02434cacc68a:F4,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"Invariant item ordering was weak: all items in the single scale had violations, with backward selection removing No Control and Pain. The psychosocial subscale had no pairwise violations, but H-T values indicated that item ordering was generally unavailable or had low accuracy; the physical subscale violations appeared to be driven by Pain.",,3
P02434cacc68a:F5,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"Exploratory factor analysis supported a two-factor physical and psychosocial structure, but the dominant first factor also supported the practicality of a single overall score.",,2
P02434cacc68a:F6,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,Internal consistency was excellent for the overall and psychosocial scales and good for the physical subscale. All three level summary scores had moderate negative correlations with EQ VAS.,,3
P02434cacc68a:F7,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"The overall, psychosocial, and physical level summary scores discriminated between carers and non-carers and between participants with and without long-term conditions. Carers and participants with long-term conditions reported more symptoms and problems; results remained similar by country and after adjustment for age, gender, and race.",,3
P02434cacc68a:F8,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"Score distributions showed no problematic skew or irregular response patterns. Floor effects were larger for the physical subscale than for the full scale or psychosocial subscale, and no respondent had the worst possible full-scale score.",,4
P02434cacc68a:F9,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,,,"In the Australian subset, a composite sad/depressed item produced results similar to the sad item alone, with slightly better scalability.",,0
P0267f1a39279:F1,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,,,"Across the major cohort studies, myocarditis after COVID-19 mRNA vaccination was rare, occurred most often in young males, and was concentrated after the second dose.",,2
P0267f1a39279:F2,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,,,"The authors summarized overall cumulative post-vaccination myocarditis incidence as 0.6 to 4 cases per 100,000 vaccinated males and 0 to 2 cases per 100,000 vaccinated females.",,2
P0267f1a39279:F3,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,,,"Most vaccine-associated myocarditis cases had a mild or moderate, self-limiting course with rapid symptom resolution and normalization of cardiac findings.",,1
P0267f1a39279:F4,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,,,"Joint CAPACITY-COVID and LEOSS data showed that 37 of 16,368 hospitalized patients with SARS-CoV-2 infection had myocarditis; the text reports myocarditis and pericarditis diagnoses in 0.2% and 0.15% of patients, respectively.",,3
P0267f1a39279:F5,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,,,The reviewed evidence indicated that myocarditis risk in the context of SARS-CoV-2 infection was substantially higher than the risk after COVID-19 vaccination.,,2
P0267f1a39279:F6,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,,,A CDC benefit analysis estimated that one million second mRNA vaccine doses in males aged 12 to 17 would prevent thousands of COVID-19 cases and substantial numbers of severe outcomes over 17 weeks.,,4
P028e859a3a23:F1,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,HEALTH_STATUS_OR_EQ_VAS,"A quota sample of 1012 Slovenian adults, close to the general population on sex, age and NUTS-2 region, completed the valuation interviews; university-educated respondents were over-represented relative to the population.",P028e859a3a23:OU5,3
P028e859a3a23:F2,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,HEALTH_STATUS_OR_EQ_VAS,"Self-reported health of the sample was good: 38.5% reported no problems on any EQ-5D-5L dimension, problems were most frequent in pain/discomfort, and mean EQ VAS was 83.6.",P028e859a3a23:OU5,4
P028e859a3a23:F3,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Logical consistency of parameter estimates and completeness of valuation responses,METHOD_PERFORMANCE_OR_DATA_QUALITY,"There were no missing valuation responses; 582 respondents (57.5%) flagged at least one health state in the feedback module, 864 cTTO responses were removed, leaving 9256 cTTO observations for analysis.",P028e859a3a23:OU6,3
P028e859a3a23:F4,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Observed composite time trade-off values for the 86 valued EQ-5D-5L health states,PREFERENCE_OR_UTILITY,Observed mean cTTO values decreased with severity while their standard deviation increased; 29.6% of mean cTTO values were negative and most worse-than-dead responses were elicited at -1.,P028e859a3a23:OU1,4
P028e859a3a23:F5,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Tobit disutility coefficients for each EQ-5D-5L dimension level,PREFERENCE_OR_UTILITY,"All Tobit coefficients were negative and therefore logically consistent, and all dimension levels differed significantly from zero and from each other except UA5 (unable to perform usual activities).",P028e859a3a23:OU2 | P028e859a3a23:OU6,1
P028e859a3a23:F6,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Tobit disutility coefficients for each EQ-5D-5L dimension level,PREFERENCE_OR_UTILITY,"The largest disutilities came from pain/discomfort and anxiety/depression, and the error variance increased with severity on every dimension.",P028e859a3a23:OU2,4
P028e859a3a23:F7,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Predicted utility values for all 3125 EQ-5D-5L health states in the Slovenian value set,PREFERENCE_OR_UTILITY,"The Slovenian EQ-5D-5L value set ranges from -1.090 to 1, a wider evaluation space than the EQ-5D-3L and crosswalk value sets (-0.495 to 1), and its distribution is left-skewed rather than bimodal.",P028e859a3a23:OU3,1
P028e859a3a23:F8,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Proportion of health states valued as worse than dead,PREFERENCE_OR_UTILITY,"A slightly smaller share of EQ-5D-5L states than EQ-5D-3L states is worse than dead, while the minimum value is lower.",P028e859a3a23:OU4,1
P028e859a3a23:F9,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,Predicted utility values for all 3125 EQ-5D-5L health states in the Slovenian value set,PREFERENCE_OR_UTILITY,"Among Central and Eastern European value sets, Slovenian respondents gave the lowest value to state 55555, and self-care rather than usual activities was the least important dimension in Slovenia.",P028e859a3a23:OU3,1
P0366b5734a4e:F1,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,Cross-validated predictive accuracy of scaling factor and standalone models,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Under the additive specification, the scaling factor models had lower by-state cross-validation error than the standalone models for both bolt-ons.",P0366b5734a4e:O2,4
P0366b5734a4e:F2,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,Cross-validated predictive accuracy of scaling factor and standalone models,METHOD_PERFORMANCE_OR_DATA_QUALITY,"Under the CALE specification, the scaling factor models also had lower by-state cross-validation error than the corresponding standalone models for both bolt-ons.",P0366b5734a4e:O2,4
P0366b5734a4e:F3,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,"Model coefficients, monotonicity, and scaling behavior",METHOD_PERFORMANCE_OR_DATA_QUALITY,The estimated scaling parameters showed that the addition of vision or cognition compressed the main effects of the five core EQ-5D-5L dimensions by approximately 17% to 18%.,P0366b5734a4e:O3,4
P0366b5734a4e:F4,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,cTTO values for standard and bolt-on EQ-5D-5L health states,PREFERENCE_OR_UTILITY,"Bolt-on effects depended on severity: levels 1 to 3 generally increased values, whereas levels 4 or 5 decreased values; a level-5 bolt-on significantly decreased values in both arms except for health state 55555.",P0366b5734a4e:O1,0
